Tm,Fmb,ExpectedPointsRunning
Minnesota Vikings,26.0,26.85
St. Louis Rams,24.0,24.3
Denver Broncos,26.0,0.9
Philadelphia Eagles,22.0,-0.92
Pittsburgh Steelers,24.0,-1.37
Indianapolis Colts,20.0,-8.73
San Francisco 49ers,22.0,-10.85
Cincinnati Bengals,37.0,-13.04
Oakland Raiders,18.0,-14.12
Green Bay Packers,30.0,-15.85
Seattle Seahawks,35.0,-22.88
Dallas Cowboys,31.0,-23.66
New Orleans Saints,26.0,-25.75
Chicago Bears,27.0,-26.84
Jacksonville Jaguars,27.0,-31.24
Tampa Bay Buccaneers,16.0,-36.14
Buffalo Bills,28.0,-38.22
Carolina Panthers,25.0,-46.59
Baltimore Ravens,26.0,-48.51
Kansas City Chiefs,23.0,-50.25
Detroit Lions,21.0,-53.69
Miami Dolphins,12.0,-58.63
Washington Redskins,22.0,-63.83
New York Jets,18.0,-66.9
Arizona Cardinals,32.0,-68.06
Cleveland Browns,21.0,-69.18
Atlanta Falcons,27.0,-72.04
Tennessee Titans,24.0,-72.61
New York Giants,25.0,-73.75
New England Patriots,23.0,-79.06
San Diego Chargers,38.0,-104.85
Avg Team,25.0,-37.0
