Tm,Fmb,ExpectedPointsRunning
San Francisco 49ers,19.0,21.41
Kansas City Chiefs,19.0,20.01
St. Louis Rams,38.0,19.82
Indianapolis Colts,20.0,2.17
Minnesota Vikings,35.0,-2.92
New York Jets,22.0,-12.71
Pittsburgh Steelers,28.0,-13.34
Seattle Seahawks,24.0,-14.7
Jacksonville Jaguars,29.0,-29.38
Oakland Raiders,27.0,-30.0
Philadelphia Eagles,20.0,-30.53
Atlanta Falcons,27.0,-32.0
Buffalo Bills,26.0,-32.23
Tampa Bay Buccaneers,20.0,-34.5
New York Giants,40.0,-36.56
Denver Broncos,24.0,-39.0
Detroit Lions,24.0,-41.8
Washington Redskins,33.0,-49.97
Chicago Bears,21.0,-50.35
Dallas Cowboys,25.0,-52.46
Miami Dolphins,26.0,-53.23
New Orleans Saints,35.0,-55.65
San Diego Chargers,26.0,-57.72
New England Patriots,29.0,-59.72
Cincinnati Bengals,28.0,-60.58
Tennessee Titans,18.0,-64.67
Green Bay Packers,28.0,-67.53
Arizona Cardinals,26.0,-71.45
Baltimore Ravens,31.0,-74.55
Carolina Panthers,33.0,-76.5
Cleveland Browns,24.0,-90.43
Avg Team,26.6,-37.8
