Tm,Fmb
Chicago Bears,31.0
Los Angeles Rams,31.0
San Francisco 49ers,26.0
Washington Redskins,33.0
New York Jets,26.0
Cincinnati Bengals,32.0
Pittsburgh Steelers,40.0
New Orleans Saints,22.0
St. Louis Cardinals,32.0
Denver Broncos,36.0
New England Patriots,29.0
Indianapolis Colts,35.0
Green Bay Packers,17.0
Detroit Lions,36.0
Atlanta Falcons,39.0
Miami Dolphins,26.0
Los Angeles Raiders,42.0
Minnesota Vikings,39.0
Tampa Bay Buccaneers,36.0
Dallas Cowboys,35.0
Cleveland Browns,31.0
New York Giants,17.0
Houston Oilers,36.0
San Diego Chargers,35.0
Seattle Seahawks,24.0
Buffalo Bills,31.0
Kansas City Chiefs,34.0
Philadelphia Eagles,23.0
Avg Team,31.2
