Tm,Fmb,ExpectedPointsRunning
Minnesota Vikings,40.0,68.92
Kansas City Chiefs,7.0,67.78
San Francisco 49ers,15.0,34.81
Oakland Raiders,24.0,31.97
Denver Broncos,21.0,31.07
San Diego Chargers,16.0,12.19
Cincinnati Bengals,26.0,4.59
Philadelphia Eagles,28.0,0.74
Jacksonville Jaguars,12.0,-1.76
Atlanta Falcons,24.0,-7.28
Miami Dolphins,28.0,-7.4
New Orleans Saints,29.0,-9.3
Seattle Seahawks,23.0,-10.86
New England Patriots,24.0,-11.93
New York Jets,16.0,-27.62
Arizona Cardinals,26.0,-28.22
Tennessee Titans,20.0,-28.4
Buffalo Bills,29.0,-32.49
Washington Redskins,34.0,-33.04
Detroit Lions,14.0,-33.88
Baltimore Ravens,34.0,-34.52
Indianapolis Colts,26.0,-36.02
Pittsburgh Steelers,26.0,-37.55
St. Louis Rams,29.0,-37.63
Cleveland Browns,18.0,-38.06
Green Bay Packers,28.0,-40.32
Chicago Bears,29.0,-57.59
Dallas Cowboys,33.0,-65.69
Tampa Bay Buccaneers,24.0,-74.56
New York Giants,31.0,-83.01
Houston Texans,34.0,-96.2
Carolina Panthers,28.0,-101.45
Avg Team,24.9,-21.3
