Tm,Fmb,ExpectedPointsRunning
Minnesota Vikings,23.0,25.14
Philadelphia Eagles,19.0,22.32
Carolina Panthers,12.0,17.76
Green Bay Packers,19.0,16.22
Dallas Cowboys,18.0,10.56
Indianapolis Colts,14.0,5.06
Chicago Bears,21.0,-1.51
Washington Redskins,30.0,-8.25
Cleveland Browns,17.0,-9.49
Kansas City Chiefs,21.0,-9.9
San Diego Chargers,14.0,-10.93
Oakland Raiders,27.0,-11.83
Tennessee Titans,27.0,-12.25
Houston Texans,21.0,-17.63
Denver Broncos,27.0,-18.03
San Francisco 49ers,20.0,-18.1
New England Patriots,24.0,-19.61
Buffalo Bills,32.0,-21.26
New Orleans Saints,12.0,-22.06
New York Jets,15.0,-23.34
Atlanta Falcons,17.0,-27.53
Miami Dolphins,16.0,-36.94
Cincinnati Bengals,20.0,-43.09
Seattle Seahawks,26.0,-43.64
Detroit Lions,28.0,-43.92
St. Louis Rams,20.0,-48.54
Arizona Cardinals,22.0,-50.0
Tampa Bay Buccaneers,18.0,-52.12
Pittsburgh Steelers,16.0,-55.82
Jacksonville Jaguars,18.0,-60.08
Baltimore Ravens,15.0,-83.22
New York Giants,26.0,-85.03
Avg Team,20.5,-23.0
