Tm,Fmb,ExpectedPointsRunning
Carolina Panthers,13.0,66.46
Minnesota Vikings,20.0,43.75
New Orleans Saints,6.0,43.36
Philadelphia Eagles,23.0,31.28
New England Patriots,13.0,18.27
Buffalo Bills,16.0,5.5
Arizona Cardinals,24.0,-9.59
Detroit Lions,20.0,-11.64
Houston Texans,20.0,-13.04
San Diego Chargers,19.0,-14.23
Oakland Raiders,16.0,-16.75
Green Bay Packers,15.0,-17.44
Pittsburgh Steelers,16.0,-17.78
Denver Broncos,30.0,-19.17
Washington Redskins,25.0,-22.34
Chicago Bears,26.0,-27.11
New York Jets,25.0,-31.61
Cleveland Browns,22.0,-31.94
Tampa Bay Buccaneers,30.0,-31.99
Baltimore Ravens,24.0,-32.7
Dallas Cowboys,24.0,-33.68
San Francisco 49ers,14.0,-36.86
Miami Dolphins,28.0,-37.96
Atlanta Falcons,12.0,-38.04
Seattle Seahawks,22.0,-39.1
Cincinnati Bengals,17.0,-39.47
Indianapolis Colts,24.0,-41.92
Jacksonville Jaguars,27.0,-46.04
St. Louis Rams,27.0,-50.48
Tennessee Titans,17.0,-51.37
Kansas City Chiefs,17.0,-56.34
New York Giants,18.0,-63.61
Avg Team,20.3,-19.5
