Tm,Fmb,ExpectedPointsRunning
Atlanta Falcons,26.0,75.92
Kansas City Chiefs,20.0,35.42
New York Jets,19.0,33.71
St. Louis Rams,27.0,0.58
Detroit Lions,12.0,-5.28
Seattle Seahawks,19.0,-5.63
New York Giants,29.0,-7.77
Indianapolis Colts,19.0,-10.35
Minnesota Vikings,20.0,-11.07
San Diego Chargers,27.0,-11.81
Tennessee Titans,33.0,-14.31
Denver Broncos,23.0,-16.12
Pittsburgh Steelers,20.0,-22.9
Philadelphia Eagles,17.0,-23.88
New England Patriots,24.0,-29.37
Houston Texans,22.0,-29.44
Green Bay Packers,22.0,-30.47
Oakland Raiders,23.0,-31.69
Cincinnati Bengals,17.0,-33.1
Jacksonville Jaguars,23.0,-36.48
Dallas Cowboys,26.0,-38.91
Baltimore Ravens,26.0,-39.3
New Orleans Saints,23.0,-47.44
Carolina Panthers,23.0,-48.15
Miami Dolphins,42.0,-50.97
Chicago Bears,35.0,-52.78
Arizona Cardinals,34.0,-54.33
Buffalo Bills,26.0,-56.36
Washington Redskins,20.0,-74.9
Tampa Bay Buccaneers,32.0,-80.9
San Francisco 49ers,33.0,-81.94
Cleveland Browns,32.0,-89.03
Avg Team,24.8,-27.8
