Tm,Fmb
Detroit Lions,41.0
Dallas Cowboys,45.0
Kansas City Chiefs,36.0
Philadelphia Eagles,33.0
Pittsburgh Steelers,39.0
New York Jets,38.0
New Orleans Saints,40.0
Los Angeles Rams,34.0
St. Louis Cardinals,33.0
Miami Dolphins,26.0
Chicago Bears,37.0
Washington Redskins,32.0
Buffalo Bills,33.0
Oakland Raiders,42.0
New England Patriots,32.0
San Diego Chargers,39.0
Cincinnati Bengals,25.0
Atlanta Falcons,31.0
San Francisco 49ers,26.0
Cleveland Browns,38.0
Denver Broncos,26.0
Baltimore Colts,27.0
Houston Oilers,33.0
Tampa Bay Buccaneers,27.0
New York Giants,38.0
Green Bay Packers,31.0
Seattle Seahawks,41.0
Minnesota Vikings,39.0
Avg Team,34.4
