Tm,Fmb,ExpectedPointsRunning
Kansas City Chiefs,13.0,47.6
Denver Broncos,24.0,40.6
Philadelphia Eagles,21.0,30.14
Atlanta Falcons,22.0,22.26
San Diego Chargers,20.0,17.98
Green Bay Packers,19.0,13.45
Chicago Bears,25.0,12.07
Minnesota Vikings,31.0,7.86
Jacksonville Jaguars,27.0,-10.09
Seattle Seahawks,23.0,-10.12
Cincinnati Bengals,16.0,-14.97
Indianapolis Colts,25.0,-15.75
Oakland Raiders,25.0,-16.31
San Francisco 49ers,24.0,-18.49
St. Louis Rams,33.0,-21.07
Houston Texans,18.0,-23.81
Washington Redskins,21.0,-24.79
New York Jets,18.0,-26.65
New Orleans Saints,33.0,-27.29
Buffalo Bills,36.0,-39.33
Miami Dolphins,26.0,-41.33
Baltimore Ravens,37.0,-44.86
Cleveland Browns,32.0,-48.85
Detroit Lions,18.0,-50.02
Tampa Bay Buccaneers,23.0,-50.59
Dallas Cowboys,26.0,-52.48
New York Giants,35.0,-53.12
Arizona Cardinals,29.0,-55.33
Carolina Panthers,33.0,-64.55
Pittsburgh Steelers,24.0,-76.75
New England Patriots,25.0,-87.44
Tennessee Titans,24.0,-90.03
Avg Team,25.2,-24.1
