Tm,Fmb,ExpectedPointsRunning
Kansas City Chiefs,15.0,30.2
Minnesota Vikings,21.0,20.45
Buffalo Bills,28.0,19.54
Carolina Panthers,12.0,1.76
Dallas Cowboys,18.0,-8.73
Pittsburgh Steelers,16.0,-18.38
Tampa Bay Buccaneers,26.0,-18.91
Miami Dolphins,23.0,-19.49
New Orleans Saints,17.0,-19.87
Seattle Seahawks,17.0,-19.96
Chicago Bears,20.0,-20.72
San Francisco 49ers,21.0,-23.53
Green Bay Packers,24.0,-24.48
New York Jets,17.0,-27.8
St. Louis Rams,22.0,-30.95
New England Patriots,14.0,-32.37
Detroit Lions,17.0,-33.64
Arizona Cardinals,23.0,-34.46
New York Giants,23.0,-35.8
Oakland Raiders,27.0,-39.49
Philadelphia Eagles,25.0,-39.53
Cleveland Browns,28.0,-43.3
Baltimore Ravens,13.0,-46.34
Tennessee Titans,25.0,-49.87
Cincinnati Bengals,17.0,-50.08
Jacksonville Jaguars,25.0,-51.9
Washington Redskins,26.0,-56.28
Houston Texans,22.0,-57.39
Indianapolis Colts,19.0,-57.39
Denver Broncos,16.0,-58.86
Atlanta Falcons,26.0,-62.96
San Diego Chargers,20.0,-66.3
Avg Team,20.7,-30.5
