Tm,Fmb,ExpectedPointsRunning
New England Patriots,17.0,46.77
New York Giants,18.0,32.2
Carolina Panthers,12.0,26.42
Houston Texans,28.0,17.97
New York Jets,22.0,11.48
Jacksonville Jaguars,23.0,9.18
Denver Broncos,18.0,5.37
San Diego Chargers,18.0,1.79
New Orleans Saints,18.0,-6.46
Kansas City Chiefs,20.0,-8.7
Atlanta Falcons,18.0,-11.66
Seattle Seahawks,20.0,-12.57
Buffalo Bills,33.0,-13.47
Washington Redskins,20.0,-13.52
Detroit Lions,31.0,-15.8
Green Bay Packers,25.0,-15.98
Dallas Cowboys,29.0,-16.01
Minnesota Vikings,31.0,-25.28
Cleveland Browns,17.0,-25.6
Miami Dolphins,18.0,-25.91
Indianapolis Colts,13.0,-28.63
Tampa Bay Buccaneers,21.0,-28.96
Philadelphia Eagles,16.0,-29.13
Baltimore Ravens,28.0,-30.94
San Francisco 49ers,36.0,-31.66
Chicago Bears,19.0,-35.53
St. Louis Rams,18.0,-44.03
Tennessee Titans,18.0,-44.24
Oakland Raiders,28.0,-44.99
Pittsburgh Steelers,28.0,-62.68
Cincinnati Bengals,27.0,-63.28
Arizona Cardinals,27.0,-63.88
Avg Team,22.3,-17.1
