Tm,Fmb,ExpectedPointsRunning
Buffalo Bills,15.0,59.91
Dallas Cowboys,22.0,39.96
Atlanta Falcons,8.0,20.78
New Orleans Saints,17.0,15.68
Cincinnati Bengals,20.0,1.28
Green Bay Packers,21.0,-3.65
Tennessee Titans,16.0,-4.29
Indianapolis Colts,16.0,-4.97
Washington Redskins,19.0,-6.75
New York Jets,24.0,-8.5
Baltimore Ravens,19.0,-11.25
Arizona Cardinals,27.0,-14.69
Cleveland Browns,26.0,-15.44
San Francisco 49ers,29.0,-16.25
Pittsburgh Steelers,15.0,-16.84
Detroit Lions,9.0,-17.32
Philadelphia Eagles,24.0,-17.58
Chicago Bears,26.0,-19.89
Kansas City Chiefs,18.0,-24.46
Carolina Panthers,13.0,-24.98
Miami Dolphins,26.0,-29.06
San Diego Chargers,22.0,-32.24
Seattle Seahawks,22.0,-33.05
New England Patriots,27.0,-36.1
Oakland Raiders,17.0,-38.09
Houston Texans,20.0,-39.31
Jacksonville Jaguars,23.0,-44.63
Los Angeles Rams,24.0,-51.81
Denver Broncos,24.0,-57.61
New York Giants,22.0,-60.21
Tampa Bay Buccaneers,19.0,-68.53
Minnesota Vikings,20.0,-78.99
Avg Team,20.3,-20.0
