Tm,Fmb
San Francisco 49ers,25.0
Los Angeles Raiders,24.0
New Orleans Saints,33.0
Cincinnati Bengals,29.0
Pittsburgh Steelers,37.0
Indianapolis Colts,36.0
Washington Redskins,26.0
Los Angeles Rams,26.0
Philadelphia Eagles,44.0
Seattle Seahawks,31.0
Minnesota Vikings,28.0
Denver Broncos,29.0
Chicago Bears,33.0
Houston Oilers,32.0
St. Louis Cardinals,23.0
Dallas Cowboys,30.0
Buffalo Bills,41.0
Green Bay Packers,35.0
Kansas City Chiefs,41.0
New England Patriots,36.0
Cleveland Browns,33.0
New York Jets,33.0
Miami Dolphins,37.0
New York Giants,38.0
Detroit Lions,29.0
Tampa Bay Buccaneers,35.0
San Diego Chargers,38.0
Atlanta Falcons,27.0
Avg Team,32.5
