Tm,Fmb,ExpectedPointsRunning
Jacksonville Jaguars,26.0,27.38
Green Bay Packers,20.0,21.84
Miami Dolphins,27.0,21.26
Baltimore Ravens,19.0,19.07
Tennessee Titans,27.0,16.97
Carolina Panthers,23.0,2.15
Dallas Cowboys,20.0,-0.72
Philadelphia Eagles,23.0,-2.51
New York Jets,24.0,-4.45
New England Patriots,17.0,-9.88
Atlanta Falcons,19.0,-11.06
New Orleans Saints,25.0,-12.64
Cleveland Browns,21.0,-20.76
San Francisco 49ers,24.0,-24.01
Oakland Raiders,30.0,-30.32
Cincinnati Bengals,24.0,-30.48
Pittsburgh Steelers,21.0,-31.47
Detroit Lions,25.0,-32.24
Denver Broncos,15.0,-32.94
Buffalo Bills,24.0,-33.29
Chicago Bears,26.0,-34.43
St. Louis Rams,24.0,-34.48
New York Giants,30.0,-34.65
Washington Redskins,30.0,-38.59
Arizona Cardinals,32.0,-40.86
Indianapolis Colts,11.0,-41.43
Seattle Seahawks,33.0,-41.72
Kansas City Chiefs,31.0,-44.25
Tampa Bay Buccaneers,25.0,-51.85
San Diego Chargers,14.0,-54.28
Houston Texans,21.0,-60.27
Minnesota Vikings,19.0,-65.49
Avg Team,23.4,-22.2
