Tm,Fmb,ExpectedPointsRunning
San Francisco 49ers,26.0,54.58
Washington Redskins,26.0,49.66
New England Patriots,14.0,23.03
Carolina Panthers,22.0,20.16
Seattle Seahawks,16.0,14.14
Minnesota Vikings,21.0,12.36
Indianapolis Colts,21.0,5.52
New York Giants,13.0,3.39
Tampa Bay Buccaneers,16.0,-4.23
Cincinnati Bengals,19.0,-6.56
New Orleans Saints,13.0,-7.95
Buffalo Bills,23.0,-11.09
Kansas City Chiefs,26.0,-18.14
New York Jets,32.0,-18.59
Cleveland Browns,22.0,-20.42
Baltimore Ravens,14.0,-26.13
Chicago Bears,20.0,-28.41
Tennessee Titans,21.0,-28.56
Green Bay Packers,16.0,-28.93
Houston Texans,12.0,-29.02
Jacksonville Jaguars,20.0,-30.19
Detroit Lions,24.0,-34.12
Miami Dolphins,25.0,-38.29
St. Louis Rams,24.0,-38.58
Dallas Cowboys,20.0,-45.66
San Diego Chargers,24.0,-48.67
Philadelphia Eagles,37.0,-50.24
Atlanta Falcons,9.0,-50.54
Pittsburgh Steelers,33.0,-58.31
Denver Broncos,22.0,-59.03
Arizona Cardinals,25.0,-68.3
Oakland Raiders,22.0,-69.74
Avg Team,21.2,-19.9
