Tm,Fmb,ExpectedPointsRunning
San Diego Chargers,19.0,56.26
Atlanta Falcons,18.0,39.93
Jacksonville Jaguars,16.0,32.23
Philadelphia Eagles,26.0,17.96
New York Giants,23.0,10.21
Washington Redskins,20.0,-4.89
Tennessee Titans,29.0,-5.03
Indianapolis Colts,13.0,-5.99
Denver Broncos,29.0,-7.3
Houston Texans,28.0,-8.3
Dallas Cowboys,21.0,-8.83
New England Patriots,27.0,-10.27
St. Louis Rams,20.0,-14.91
Chicago Bears,26.0,-25.23
Kansas City Chiefs,25.0,-27.08
San Francisco 49ers,24.0,-27.47
Cincinnati Bengals,25.0,-29.92
New Orleans Saints,23.0,-30.28
Pittsburgh Steelers,27.0,-32.16
Seattle Seahawks,21.0,-32.88
Minnesota Vikings,31.0,-35.81
Carolina Panthers,21.0,-39.88
Tampa Bay Buccaneers,27.0,-42.14
Miami Dolphins,19.0,-44.36
Buffalo Bills,28.0,-47.56
New York Jets,21.0,-48.67
Green Bay Packers,25.0,-53.68
Detroit Lions,26.0,-58.22
Baltimore Ravens,21.0,-60.44
Arizona Cardinals,31.0,-62.08
Cleveland Browns,23.0,-74.58
Oakland Raiders,32.0,-78.56
Avg Team,23.9,-23.7
