Tm,Fmb,ExpectedPointsRunning
Philadelphia Eagles,33.0,59.56
New England Patriots,9.0,45.5
Jacksonville Jaguars,23.0,38.34
Houston Texans,15.0,29.35
Oakland Raiders,32.0,4.28
New York Jets,23.0,-7.46
Dallas Cowboys,28.0,-8.3
Kansas City Chiefs,15.0,-10.27
Tampa Bay Buccaneers,24.0,-16.44
Minnesota Vikings,20.0,-23.58
Arizona Cardinals,33.0,-23.61
Atlanta Falcons,12.0,-27.41
Cleveland Browns,29.0,-28.21
San Francisco 49ers,22.0,-28.23
Indianapolis Colts,14.0,-31.5
Buffalo Bills,33.0,-31.93
Detroit Lions,20.0,-34.08
Green Bay Packers,20.0,-35.49
New Orleans Saints,23.0,-36.1
Washington Redskins,29.0,-36.32
Chicago Bears,19.0,-44.87
Pittsburgh Steelers,22.0,-45.75
New York Giants,26.0,-46.48
San Diego Chargers,25.0,-50.53
St. Louis Rams,14.0,-51.21
Baltimore Ravens,22.0,-54.86
Seattle Seahawks,18.0,-58.26
Miami Dolphins,24.0,-61.17
Tennessee Titans,22.0,-62.13
Denver Broncos,29.0,-64.53
Carolina Panthers,31.0,-66.92
Cincinnati Bengals,21.0,-81.08
Avg Team,22.8,-27.8
