Tm,Fmb,ExpectedPointsRunning
Denver Broncos,19.0,46.55
Seattle Seahawks,18.0,45.16
San Diego Chargers,22.0,28.3
Kansas City Chiefs,23.0,24.12
Atlanta Falcons,26.0,17.43
New York Giants,17.0,-6.54
Cincinnati Bengals,18.0,-10.64
Indianapolis Colts,14.0,-13.61
Houston Texans,30.0,-15.86
Detroit Lions,21.0,-25.6
Oakland Raiders,26.0,-28.65
Jacksonville Jaguars,27.0,-32.89
Pittsburgh Steelers,22.0,-34.41
Miami Dolphins,31.0,-34.89
Tampa Bay Buccaneers,16.0,-39.4
New England Patriots,19.0,-39.61
St. Louis Rams,24.0,-48.27
Philadelphia Eagles,34.0,-48.79
Buffalo Bills,26.0,-51.38
New Orleans Saints,23.0,-51.55
Chicago Bears,32.0,-54.15
Washington Redskins,29.0,-54.51
Green Bay Packers,31.0,-55.2
Tennessee Titans,27.0,-58.54
New York Jets,36.0,-58.54
Cleveland Browns,27.0,-62.56
Minnesota Vikings,25.0,-63.2
San Francisco 49ers,31.0,-63.62
Baltimore Ravens,28.0,-64.05
Carolina Panthers,23.0,-68.73
Dallas Cowboys,36.0,-68.91
Arizona Cardinals,26.0,-100.73
Avg Team,25.2,-34.2
