Year,#Dr,#Dr_Defense,#Dr_Defense_Low_Rank,#Dr_High_Rank,1stD,1stD_Defense,1stD_Defense_Low_Rank,1stD_High_Rank,1stDpass,1stDpass_Defense,1stDpass_Defense_Low_Rank,1stDpass_High_Rank,1stDrun,1stDrun_Defense,1stDrun_Defense_Low_Rank,1stDrun_High_Rank,1stPy,1stPy_Defense,1stPy_Defense_Low_Rank,1stPy_High_Rank,2PA,2PA_Defense,2PM,2PM_Defense,ANY/A,ANY/A_Defense,ANY/A_Defense_Low_Rank,ANY/A_High_Rank,APYd,APYd_High_Rank,AY/A,AY/A_Defense,AY/A_Defense_Low_Rank,AY/A_High_Rank,AllTD,AvgDriveTime,AvgDriveTime_Defense,AvgDriveTime_Defense_Low_Rank,AvgDriveTime_High_Rank,AvgFieldPositionDifferential,AvgFieldPositionDifferential_High_Rank,AvgStartingPosition,AvgStartingPosition_Defense,AvgStartingPosition_Defense_Low_Rank,AvgStartingPosition_High_Rank,Cmp,Cmp%,Cmp%_Defense,Cmp%_Defense_Low_Rank,Cmp%_High_Rank,Cmp_Defense,Cmp_Defense_Low_Rank,Cmp_High_Rank,DefensivePtsScored,DefensivePtsScored_High_Rank,Dscore,Dscore_Rank,ExpectedPoints,ExpectedPointsPassing,ExpectedPointsPassing_Defense,ExpectedPointsPassing_Defense_High_Rank,ExpectedPointsPassing_High_Rank,ExpectedPointsRunning,ExpectedPointsRunning_Defense,ExpectedPointsRunning_Defense_High_Rank,ExpectedPointsRunning_High_Rank,ExpectedPoints_Defense,ExpectedPoints_Defense_High_Rank,ExpectedPoints_High_Rank,FG%,FG%_Defense,FG%_Defense_Low_Rank,FG%_High_Rank,FGA019,FGA2029,FGA3039,FGA4049,FGA50Plus,FGM019,FGM2029,FGM3039,FGM4049,FGM50Plus,FL,FL_Defense,FL_Defense_High_Rank,FL_Low_Rank,FantasyDstScore,FantasyDstScore_Rank,FantasyOffenseScore,FantasyOffenseScore_Rank,FantasyPassScore,FantasyPassScore_Rank,FantasyRushScore,FantasyRushScore_Rank,Fmb,FmbTD,FmbTD_Defense,Fmb_Low_Rank,FumbleLostPercent,FumbleLostPercent_Low_Rank,GameControlPlusBalance,GameControlPlusBalance_Rank,GameControlScore,GameControlScore_Rank,Int,Int%,Int%_Defense,Int%_Defense_High_Rank,Int%_Low_Rank,IntTD,IntTD_Defense,Int_Defense,Int_Defense_High_Rank,Int_Low_Rank,Job,KickRet,KickRet_Defense,KickRet_Defense_Low_Rank,KickRet_High_Rank,KrTD,KrTD_Defense,KrTD_Defense_Low_Rank,KrTD_High_Rank,KrYds,KrYds_Defense,KrYds_Defense_Low_Rank,KrYds_High_Rank,NY/A,NY/A_Defense,NY/A_Defense_Low_Rank,NY/A_High_Rank,Oscore,Oscore_Rank,OthTD,OthTD_Defense,PF,PF_Defense,PF_Defense_Low_Rank,PF_Differential,PF_Differential_High_Rank,PF_High_Rank,PassAtt,PassAtt_Defense,PassAtt_Defense_Low_Rank,PassAtt_High_Rank,PassPercent,PassPercent_Defense,PassPercent_Defense_High_Rank,PassPercent_High_Rank,PassRun1dRatio,PassRun1dRatio_High_Rank,PassTD,PassTD%,PassTD%_Defense,PassTD%_Defense_Low_Rank,PassTD%_High_Rank,PassTD_Defense,PassTD_Defense_Low_Rank,PassTD_High_Rank,PassTdPercent,PassTdPercent_Defense,PassTdPercent_Defense_High_Rank,PassTdPercent_High_Rank,PassYdPercent,PassYdPercent_Defense,PassYdPercent_Defense_High_Rank,PassYdPercent_High_Rank,PassYds,PassYds_Defense,PassYds_Defense_Low_Rank,PassYds_High_Rank,Pen,PenYds,PenYds_Defense,PenYds_Defense_Low_Rank,PenYds_Low_Rank,Pen_Defense,Pen_Defense_Low_Rank,Pen_Low_Rank,Penalty1dPercent,Penalty1dPercent_Defense,Penalty1dPercent_Defense_High_Rank,Penalty1dPercent_High_Rank,Plays/Drive,Plays/Drive_Defense,Plays/Drive_Defense_Low_Rank,Plays/Drive_High_Rank,Ply,Ply_Defense,Ply_Defense_Low_Rank,Ply_High_Rank,Pnt,PntBlck,PntBlck_Defense,PntBlck_Defense_Low_Rank,PntBlck_Low_Rank,PntRet_Defense,PntRet_Defense_Low_Rank,PntYds,PntYds_Defense,PntYds_Defense_Low_Rank,PntYds_High_Rank,Pnt_Defense,Pnt_Defense_Low_Rank,Pnt_High_Rank,PrTD,PrTD_Defense,PrTD_Defense_Low_Rank,PrTD_High_Rank,PrYds,PrYds_Defense,PrYds_Defense_Low_Rank,PrYds_High_Rank,Pts/Drive,Pts/Drive_Defense,Pts/Drive_Defense_Low_Rank,Pts/Drive_High_Rank,PuntRet,PuntRet_High_Rank,QbRating,QbRating_Defense,QbRating_Defense_Low_Rank,QbRating_High_Rank,RawPassYds,RawPassYds_High_Rank,RunPass1dRatio,RunPass1dRatio_High_Rank,RunPercent,RunPercent_Defense,RunPercent_Defense_High_Rank,RunPercent_High_Rank,RunTdPercent,RunTdPercent_Defense,RunTdPercent_Defense_High_Rank,RunTdPercent_High_Rank,RunYdPercent,RunYdPercent_Defense,RunYdPercent_Defense_High_Rank,RunYdPercent_High_Rank,RushAtt,RushAtt_Defense,RushAtt_Defense_Low_Rank,RushAtt_High_Rank,RushTD,RushTD_Defense,RushTD_Defense_Low_Rank,RushTD_High_Rank,RushYds,RushYds_Defense,RushYds_Defense_Low_Rank,RushYds_High_Rank,STscore,STscore_Rank,Sc%,Sc%_Defense,Sc%_Defense_Low_Rank,Sc%_High_Rank,Sfty,Sfty_Defense,Sk,Sk%,Sk%_Defense,Sk%_Defense_High_Rank,Sk%_Low_Rank,SkYds,SkYds_Defense,SkYds_Defense_High_Rank,SkYds_Low_Rank,Sk_Defense,Sk_Defense_High_Rank,Sk_Low_Rank,TFGA,TFGA_Defense,TFGA_Defense_Low_Rank,TFGA_High_Rank,TFGM,TFGM_Defense,TFGM_Defense_Low_Rank,TFGM_High_Rank,TO,TO%,TO%_Defense,TO%_Defense_High_Rank,TO%_Low_Rank,TO_Defense,TO_Defense_High_Rank,TO_Differential,TO_Differential_High_Rank,TO_Low_Rank,ThreePhaseScore,ThreePhaseScore_Rank,TimeOfPossession,TimeOfPossession_Defense,TimeOfPossession_High_Rank,Tm,TotalYds,TotalYds_Defense,TotalYds_Defense_Low_Rank,TotalYds_High_Rank,XP%,XP%_Defense,XP%_Defense_Low_Rank,XP%_High_Rank,XPA,XPA_Defense,XPA_Defense_Low_Rank,XPA_High_Rank,XPM,XPM_Defense,XPM_Defense_Low_Rank,XPM_High_Rank,Y/Apass,Y/Apass_Defense,Y/Apass_Defense_Low_Rank,Y/Apass_High_Rank,Y/Arun,Y/Arun_Defense,Y/Arun_Defense_Low_Rank,Y/Arun_High_Rank,Y/C,Y/C_Defense,Y/C_Defense_Low_Rank,Y/C_High_Rank,Y/KR,Y/KR_Defense,Y/KR_Defense_Low_Rank,Y/KR_High_Rank,Y/PR,Y/PR_Defense,Y/PR_Defense_Low_Rank,Y/PR_High_Rank,Y/Play,Y/Play_Defense,Y/Play_Defense_Low_Rank,Y/Play_High_Rank,Y/Pnt,Y/Pnt_Defense,Y/Pnt_Defense_Low_Rank,Y/Pnt_High_Rank,Yds/Drive,Yds/Drive_Defense,Yds/Drive_Defense_Low_Rank,Yds/Drive_High_Rank,Yds_Differential,Yds_Differential_High_Rank,YppYprRatio,YppYprRatio_Defense,YppYprRatio_Defense_High_Rank,YppYprRatio_High_Rank
2013.0,200.0,204.0,29.0,9.0,329.0,309.0,13.0,11.5,205.0,208.0,27.5,11.0,84.0,68.0,2.5,22.0,40.0,33.0,25.0,2.0,4.0,0.0,1.0,0.0,5.7,5.1,6.5,17.5,6626.0,24.0,6.6,6.0,7.0,17.0,41.0,149.0,138.0,2.0,19.5,0.8999999999999986,12.0,28.9,28.0,17.0,9.0,363.0,63.2,58.7,7.0,10.0,367.0,27.0,14.5,34.0,4.0,6.833333333333332,5.0,-11.6,48.42,13.96,5.0,19.0,-50.0,57.01,6.0,27.0,77.66,3.0,20.0,83.3,78.1,4.0,21.0,0.0,11.0,8.0,12.0,5.0,0.0,9.0,7.0,11.0,3.0,9.0,10.0,17.5,12.0,10.0,5.0,17.91875,21.0,15.15,16.0,20.6875,22.0,22.0,1.0,0.0,22.0,0.4090909090909091,9.0,12.753030303030306,9.0,10.9,10.0,22.0,3.8,3.2,8.0,29.0,4.0,1.0,20.0,6.0,29.0,DC,27.0,54.0,28.5,29.5,0.0,0.0,12.5,19.0,540.0,1298.0,30.0,30.0,6.5,5.5,5.0,10.5,17.5,18.0,0.0,0.0,379.0,324.0,7.0,55.0,10.5,16.5,574.0,625.0,30.0,17.0,0.5930568948891032,0.6449136276391555,1.0,15.0,2.4404761904761907,10.0,24.0,4.2,4.6,19.0,17.0,29.0,23.5,16.5,0.6666666666666666,0.8529411764705882,1.0,16.0,0.722121977625406,0.7340027564481197,3.0,10.0,4002.0,3728.0,14.0,13.0,96.0,744.0,960.0,27.0,8.0,111.0,28.0,14.5,0.121580547112462,0.10679611650485436,10.0,6.0,5.4,5.3,6.0,23.0,1037.0,1042.0,19.5,14.0,78.0,0.0,0.0,16.5,9.0,36.0,18.0,3566.0,0.0,16.5,15.0,88.0,26.5,16.5,0.0,0.0,12.0,22.5,198.0,321.0,17.0,28.0,1.71,1.53,6.0,20.0,34.0,15.0,83.9,80.2,8.0,19.0,4291.0,13.0,0.4097560975609756,23.0,0.4069431051108968,0.3550863723608445,32.0,18.0,0.33333333333333337,0.1470588235294118,32.0,17.0,0.27787802237459397,0.26599724355188026,30.0,23.0,422.0,370.0,2.0,20.0,12.0,5.0,3.0,19.0,1540.0,1351.0,1.0,23.0,21.11111111111111,30.0,33.0,28.9,6.0,17.0,2.0,1.0,41.0,6.7,7.0,10.0,16.5,289.0,337.0,3.0,20.0,47.0,6.5,14.5,36.0,32.0,21.5,7.5,30.0,25.0,12.0,10.5,31.0,15.5,13.7,11.5,29.0,30.0,7.5,-1.0,17.0,27.0,14.606060606060606,10.0,29800.0,28152.0,8.0,ARI,5542.0,5079.0,6.0,12.0,100.0,100.0,19.0,14.0,37.0,33.0,8.0,19.5,37.0,33.0,8.0,19.5,7.5,6.5,6.0,9.0,3.6,3.7,2.5,27.5,11.8,11.1,6.5,12.5,20.0,24.0,20.5,31.5,5.8,8.9,15.5,31.0,5.3,4.9,5.5,17.0,45.7,0.0,16.5,11.5,27.7,24.9,4.0,20.0,463.0,7.0,2.083333333333333,1.7567567567567566,11.0,2.0
2014.0,181.0,188.0,22.0,17.0,302.0,300.0,2.5,23.0,191.0,195.0,17.0,17.0,67.0,77.0,6.5,30.0,44.0,28.0,11.0,1.5,5.0,0.0,2.0,0.0,6.2,6.2,16.5,14.0,6015.0,31.0,6.8,7.0,15.5,19.0,32.0,158.0,154.0,12.0,15.0,0.8999999999999986,15.0,26.9,26.0,6.0,21.0,320.0,56.3,63.0,17.0,31.0,365.0,24.5,24.5,24.0,7.0,16.333333333333332,18.0,-15.68,55.43,-31.99,7.0,18.0,-59.05,27.44,13.0,30.0,3.41,7.0,23.0,87.9,78.1,3.0,9.0,0.0,5.0,14.0,11.0,3.0,0.0,5.0,12.0,10.0,2.0,5.0,7.0,24.5,4.0,16.583333333333332,17.0,20.8,28.0,15.1,16.0,26.5,30.0,16.0,1.0,0.0,7.0,0.3125,4.5,17.820202020202014,18.0,16.6,18.0,12.0,2.1,3.1,10.0,8.5,3.0,1.0,18.0,8.5,10.0,DC,22.0,37.0,16.5,30.0,0.0,0.0,13.5,19.0,417.0,967.0,20.0,32.0,6.4,6.8,24.5,18.0,20.916666666666668,23.0,0.0,0.0,310.0,299.0,5.0,11.0,16.0,24.0,568.0,579.0,25.0,15.0,0.6002014098690835,0.6079207920792079,6.0,15.0,2.8507462686567164,7.0,21.0,3.7,3.8,8.0,24.5,22.0,8.0,20.5,0.7777777777777778,0.7096774193548387,13.0,5.0,0.7443315089913995,0.7048039382108301,8.0,4.0,3808.0,4152.0,29.0,14.0,91.0,707.0,1192.0,32.0,5.0,130.0,31.0,6.0,0.1456953642384106,0.09333333333333334,21.0,1.0,5.7,5.5,9.0,19.0,993.0,1010.0,14.0,26.0,92.0,2.0,0.0,16.5,31.0,32.0,17.0,3815.0,3544.0,20.0,6.0,78.0,20.5,4.0,1.0,0.0,10.0,7.0,277.0,284.0,18.0,14.0,1.52,1.55,5.0,27.0,26.0,26.0,81.8,86.0,11.0,25.0,3990.0,16.0,0.3507853403141361,26.0,0.3997985901309165,0.3920792079207921,27.0,18.0,0.2222222222222222,0.29032258064516125,20.0,28.0,0.25566849100860045,0.2951960617891699,25.0,29.0,397.0,396.0,8.0,24.0,6.0,9.0,9.0,30.0,1308.0,1739.0,13.0,31.0,20.148148148148152,26.0,30.9,29.8,6.0,23.5,0.0,0.0,28.0,4.7,5.7,25.5,9.0,182.0,244.0,16.0,9.0,35.0,24.0,6.5,33.0,32.0,17.0,13.0,29.0,25.0,13.0,10.5,17.0,9.4,12.8,15.5,5.0,25.0,16.5,8.0,5.0,4.5,19.040404040404038,26.0,28598.0,28952.0,20.0,ARI,5116.0,5891.0,24.0,24.0,100.0,100.0,20.0,13.5,27.0,32.0,7.0,29.5,27.0,32.0,7.5,29.5,7.0,7.6,23.0,22.0,3.3,4.4,25.5,32.0,12.5,12.0,23.5,3.5,19.0,26.1,26.0,32.0,10.7,8.9,15.5,9.0,5.2,5.8,25.5,22.5,41.5,45.4,21.5,31.0,28.3,31.3,25.0,23.0,-775.0,27.0,2.121212121212121,1.7272727272727268,16.0,2.0
2015.0,199.0,194.0,26.0,3.5,329.0,271.0,1.0,14.0,210.0,185.0,9.0,9.5,99.0,62.0,1.0,10.0,20.0,24.0,5.0,30.5,0.0,0.0,0.0,1.0,6.4,5.4,7.0,13.5,7231.0,7.0,6.8,6.2,6.0,22.0,44.0,151.0,145.0,5.0,19.0,1.3999999999999986,12.0,29.2,27.8,19.0,8.5,362.0,59.9,57.1,1.0,26.5,343.0,9.5,15.0,0.0,31.5,4.666666666666667,2.0,55.82,95.9,-23.17,8.0,11.0,-27.8,71.94,2.0,14.0,54.43,4.0,13.0,81.8,89.7,26.0,23.0,0.0,6.0,10.0,14.0,3.0,0.0,6.0,10.0,9.0,2.0,8.0,12.0,9.5,10.5,12.0,8.0,12.88125,10.0,13.7,14.0,12.0625,11.0,17.0,0.0,2.0,9.0,0.4705882352941176,14.5,10.741582491582491,7.0,8.5,7.0,16.0,2.6,3.0,5.0,22.0,0.0,0.0,18.0,5.0,23.0,HC,37.0,49.0,29.5,11.0,0.0,0.0,13.5,19.0,771.0,1168.0,30.0,17.0,6.5,5.9,7.0,14.5,13.583333333333336,11.0,0.0,1.0,387.0,314.0,9.0,73.0,8.0,11.0,604.0,601.0,23.0,15.0,0.5828677839851024,0.631786771964462,4.0,19.0,2.121212121212121,19.0,33.0,5.5,4.2,13.5,9.0,25.0,16.0,8.5,0.75,0.8620689655172413,1.0,12.0,0.6847257383966244,0.7381326010200079,2.0,21.0,4057.0,3763.0,13.0,13.0,96.0,787.0,767.0,3.0,4.0,90.0,1.0,5.5,0.06079027355623101,0.08856088560885607,22.0,31.0,5.6,5.4,3.5,20.5,1074.0,1013.0,14.0,6.0,80.0,1.0,0.0,11.0,27.0,37.0,19.0,3448.0,4042.0,29.0,15.0,86.0,27.5,13.0,0.0,2.0,31.0,22.5,422.0,470.0,29.0,6.0,1.95,1.45,4.5,11.0,49.0,2.0,88.0,79.0,6.0,19.0,4170.0,15.0,0.4714285714285714,14.0,0.4171322160148976,0.36821322803553796,29.0,14.0,0.25,0.13793103448275867,32.0,21.0,0.3152742616033756,0.2618673989799921,31.0,12.0,448.0,373.0,4.5,10.0,11.0,4.0,1.0,16.5,1868.0,1335.0,2.0,10.0,23.271604938271604,32.0,35.7,28.4,5.0,14.0,0.0,0.0,22.0,3.5,6.1,17.5,2.0,113.0,278.0,10.0,1.0,39.0,12.5,2.0,33.0,29.0,15.5,10.0,27.0,26.0,16.5,15.0,24.0,11.6,14.4,6.0,18.0,30.0,3.5,6.0,8.5,19.0,12.983164983164984,9.0,30049.0,28130.0,10.0,NYJ,5925.0,5098.0,4.0,10.0,97.7,90.9,9.5,8.0,43.0,33.0,11.0,9.0,42.0,30.0,11.0,7.5,6.9,6.7,7.0,24.5,4.2,3.6,3.5,13.0,11.5,11.8,22.5,12.5,20.8,23.8,14.0,26.5,8.6,12.7,30.0,14.5,5.5,5.0,4.5,14.0,43.1,47.0,30.5,28.0,29.6,26.2,3.5,20.0,827.0,4.0,1.6428571428571428,1.8611111111111112,8.0,25.0
2016.0,184.0,181.0,11.0,18.5,291.0,318.0,12.5,27.0,166.0,203.0,19.5,29.0,97.0,86.0,7.0,14.0,28.0,29.0,13.0,19.5,1.0,0.0,1.0,1.0,4.5,7.2,28.5,30.5,6477.0,25.0,5.2,7.9,28.0,30.0,27.0,160.0,157.0,14.0,17.0,-2.599999999999998,27.0,27.1,29.7,26.0,27.0,311.0,56.5,63.7,19.0,31.0,347.0,13.0,28.0,6.0,22.5,18.25,20.0,-38.59,-25.88,-138.14,28.0,30.0,-8.5,56.13,3.0,10.0,-83.73,22.0,29.0,87.1,87.1,21.5,8.0,0.0,13.0,11.0,3.0,4.0,0.0,12.0,10.0,3.0,2.0,9.0,6.0,26.0,17.5,23.125,28.0,20.9125,27.0,25.7,31.0,16.125,17.0,24.0,0.0,3.0,24.5,0.375,8.5,23.67474747474748,30.0,25.9,28.0,25.0,4.5,1.5,28.0,32.0,0.0,1.0,8.0,30.0,32.0,HC,43.0,29.0,13.0,2.0,0.0,1.0,29.0,19.5,881.0,665.0,14.0,7.5,5.9,6.8,25.0,24.0,25.25,30.0,1.0,1.0,275.0,409.0,28.0,-134.0,29.0,30.0,550.0,545.0,8.0,23.5,0.5832502492522432,0.5720000000000001,25.0,21.0,1.7113402061855667,26.0,16.0,2.9,5.5,27.5,27.5,30.0,26.0,28.5,0.6153846153846154,0.7317073170731707,6.0,21.0,0.6579347000759301,0.7114436941047636,11.0,25.0,3466.0,3898.0,17.0,27.0,93.0,837.0,651.0,1.0,8.0,74.0,1.0,4.5,0.09621993127147767,0.09119496855345913,18.0,17.0,5.6,5.7,15.5,24.0,1003.0,1000.0,10.0,24.0,76.0,1.0,0.0,13.0,29.0,35.0,21.0,3059.0,3184.0,16.0,22.0,72.0,17.5,14.0,0.0,0.0,12.0,20.0,149.0,319.0,23.0,32.0,1.47,2.03,21.5,28.0,27.0,23.5,67.6,98.5,30.0,32.0,3645.0,28.0,0.5843373493975904,7.0,0.4167497507477568,0.4280000000000001,8.0,12.0,0.3846153846153846,0.2682926829268293,27.0,12.0,0.3420652999240699,0.2885563058952364,22.0,8.0,418.0,428.0,23.0,13.0,10.0,11.0,11.0,23.5,1802.0,1581.0,11.0,12.0,20.64814814814815,28.0,29.3,37.6,20.0,27.0,0.0,0.0,35.0,6.0,4.7,28.0,21.0,179.0,179.0,27.0,8.5,27.0,29.0,17.0,31.0,31.0,15.0,19.5,27.0,27.0,18.0,16.5,34.0,17.9,7.2,29.0,31.0,14.0,28.5,-20.0,31.5,31.0,21.449494949494948,30.0,29440.0,28417.0,19.0,NYJ,5268.0,5479.0,11.0,26.0,92.3,97.8,27.0,20.0,26.0,45.0,28.0,29.0,24.0,44.0,29.0,29.0,6.6,7.5,23.5,25.0,4.3,3.7,4.5,13.5,11.7,11.7,21.0,12.0,20.5,22.9,24.0,22.0,5.5,9.1,20.0,31.5,5.3,5.5,15.5,20.0,40.3,44.2,9.0,32.0,28.7,30.2,14.0,23.0,-211.0,23.0,1.5348837209302326,2.0270270270270268,2.0,26.0
