Year,#Dr,#Dr_Defense,#Dr_Defense_Low_Rank,#Dr_High_Rank,1stD,1stD_Defense,1stD_Defense_Low_Rank,1stD_High_Rank,1stDpass,1stDpass_Defense,1stDpass_Defense_Low_Rank,1stDpass_High_Rank,1stDrun,1stDrun_Defense,1stDrun_Defense_Low_Rank,1stDrun_High_Rank,1stPy,1stPy_Defense,1stPy_Defense_Low_Rank,1stPy_High_Rank,2PA,2PA_Defense,2PM,2PM_Defense,ANY/A,ANY/A_Defense,ANY/A_Defense_Low_Rank,ANY/A_High_Rank,APYd,APYd_High_Rank,AY/A,AY/A_Defense,AY/A_Defense_Low_Rank,AY/A_High_Rank,AllTD,AvgDriveTime,AvgDriveTime_Defense,AvgDriveTime_High_Rank,AvgFieldPositionDifferential,AvgFieldPositionDifferential_High_Rank,AvgStartingPosition,AvgStartingPosition_Defense,AvgStartingPosition_Defense_Low_Rank,AvgStartingPosition_High_Rank,Cmp,Cmp%,Cmp%_Defense,Cmp%_Defense_Low_Rank,Cmp%_High_Rank,Cmp_Defense,Cmp_Defense_Low_Rank,Cmp_High_Rank,DefensivePtsScored,DefensivePtsScored_High_Rank,Dscore,Dscore_Rank,ExpectedPoints,ExpectedPointsPassing,ExpectedPointsPassing_Defense,ExpectedPointsPassing_Defense_High_Rank,ExpectedPointsPassing_High_Rank,ExpectedPointsRunning,ExpectedPointsRunning_Defense,ExpectedPointsRunning_Defense_High_Rank,ExpectedPointsRunning_High_Rank,ExpectedPoints_Defense,ExpectedPoints_Defense_High_Rank,ExpectedPoints_High_Rank,FG%,FG%_Defense,FG%_Defense_Low_Rank,FG%_High_Rank,FGA019,FGA2029,FGA3039,FGA4049,FGA50Plus,FGM019,FGM2029,FGM3039,FGM4049,FGM50Plus,FL,FL_Defense,FL_Defense_High_Rank,FL_Low_Rank,FantasyDstScore,FantasyDstScore_Rank,FantasyOffenseScore,FantasyOffenseScore_Rank,FantasyPassScore,FantasyPassScore_Rank,FantasyRushScore,FantasyRushScore_Rank,Fmb,FmbTD,FmbTD_Defense,FumbleLostPercent,FumbleLostPercent_Low_Rank,GameControlPlusBalance,GameControlPlusBalance_Rank,GameControlScore,GameControlScore_Rank,Int,Int%,Int%_Defense,Int%_Defense_High_Rank,Int%_Low_Rank,IntTD,IntTD_Defense,Int_Defense,Int_Defense_High_Rank,Int_Low_Rank,Job,KickRet,KickRet_Defense,KickRet_Defense_Low_Rank,KickRet_High_Rank,KrTD,KrTD_Defense,KrTD_Defense_Low_Rank,KrTD_High_Rank,KrYds,KrYds_Defense,KrYds_Defense_Low_Rank,KrYds_High_Rank,NY/A,NY/A_Defense,NY/A_Defense_Low_Rank,NY/A_High_Rank,Oscore,Oscore_Rank,OthTD,OthTD_Defense,PF,PF_Defense,PF_Defense_Low_Rank,PF_Differential,PF_Differential_High_Rank,PF_High_Rank,PassAtt,PassAtt_Defense,PassAtt_Defense_Low_Rank,PassAtt_High_Rank,PassPercent,PassPercent_Defense,PassPercent_Defense_High_Rank,PassPercent_High_Rank,PassRun1dRatio,PassRun1dRatio_High_Rank,PassTD,PassTD%,PassTD%_Defense,PassTD%_Defense_Low_Rank,PassTD%_High_Rank,PassTD_Defense,PassTD_Defense_Low_Rank,PassTD_High_Rank,PassTdPercent,PassTdPercent_Defense,PassTdPercent_Defense_High_Rank,PassTdPercent_High_Rank,PassYdPercent,PassYdPercent_Defense,PassYdPercent_Defense_High_Rank,PassYdPercent_High_Rank,PassYds,PassYds_Defense,PassYds_Defense_Low_Rank,PassYds_High_Rank,Pen,PenYds,PenYds_Defense,PenYds_Defense_Low_Rank,PenYds_Low_Rank,Pen_Defense,Pen_Defense_Low_Rank,Pen_Low_Rank,Penalty1dPercent,Penalty1dPercent_Defense,Penalty1dPercent_Defense_High_Rank,Penalty1dPercent_High_Rank,Plays/Drive,Plays/Drive_Defense,Plays/Drive_Defense_Low_Rank,Plays/Drive_High_Rank,Ply,Ply_Defense,Ply_Defense_Low_Rank,Ply_High_Rank,Pnt,PntBlck,PntBlck_Defense,PntBlck_Defense_Low_Rank,PntBlck_Low_Rank,PntRet_Defense,PntRet_Defense_Low_Rank,PntYds,PntYds_Defense,PntYds_Defense_Low_Rank,PntYds_High_Rank,Pnt_Defense,Pnt_Defense_Low_Rank,Pnt_High_Rank,PrTD,PrTD_Defense,PrTD_Defense_Low_Rank,PrTD_High_Rank,PrYds,PrYds_Defense,PrYds_Defense_Low_Rank,PrYds_High_Rank,Pts/Drive,Pts/Drive_Defense,Pts/Drive_Defense_Low_Rank,Pts/Drive_High_Rank,PuntRet,PuntRet_High_Rank,QbRating,QbRating_Defense,QbRating_Defense_Low_Rank,QbRating_High_Rank,RawPassYds,RawPassYds_High_Rank,RunPass1dRatio,RunPass1dRatio_High_Rank,RunPercent,RunPercent_Defense,RunPercent_Defense_High_Rank,RunPercent_High_Rank,RunTdPercent,RunTdPercent_Defense,RunTdPercent_Defense_High_Rank,RunTdPercent_High_Rank,RunYdPercent,RunYdPercent_Defense,RunYdPercent_Defense_High_Rank,RunYdPercent_High_Rank,RushAtt,RushAtt_Defense,RushAtt_Defense_Low_Rank,RushAtt_High_Rank,RushTD,RushTD_Defense,RushTD_Defense_Low_Rank,RushTD_High_Rank,RushYds,RushYds_Defense,RushYds_Defense_Low_Rank,RushYds_High_Rank,STscore,STscore_Rank,Sc%,Sc%_Defense,Sc%_Defense_Low_Rank,Sc%_High_Rank,Sfty,Sfty_Defense,Sk,Sk%,Sk%_Defense,Sk%_Defense_High_Rank,Sk%_Low_Rank,SkYds,SkYds_Defense,SkYds_Defense_High_Rank,SkYds_Low_Rank,Sk_Defense,Sk_Defense_High_Rank,Sk_Low_Rank,TFGA,TFGA_Defense,TFGA_Defense_Low_Rank,TFGA_High_Rank,TFGM,TFGM_Defense,TFGM_Defense_Low_Rank,TFGM_High_Rank,TO,TO%,TO%_Defense,TO%_Defense_High_Rank,TO%_Low_Rank,TO_Defense,TO_Defense_High_Rank,TO_Differential,TO_Differential_High_Rank,TO_Low_Rank,ThreePhaseScore,ThreePhaseScore_Rank,TimeOfPossession,TimeOfPossession_Defense,TimeOfPossession_High_Rank,Tm,TotalYds,TotalYds_Defense,TotalYds_Defense_Low_Rank,TotalYds_High_Rank,XP%,XP%_Defense,XP%_Defense_Low_Rank,XP%_High_Rank,XPA,XPA_Defense,XPA_Defense_Low_Rank,XPA_High_Rank,XPM,XPM_Defense,XPM_Defense_Low_Rank,XPM_High_Rank,Y/Apass,Y/Apass_Defense,Y/Apass_Defense_Low_Rank,Y/Apass_High_Rank,Y/Arun,Y/Arun_Defense,Y/Arun_Defense_Low_Rank,Y/Arun_High_Rank,Y/C,Y/C_Defense,Y/C_Defense_Low_Rank,Y/C_High_Rank,Y/KR,Y/KR_Defense,Y/KR_Defense_Low_Rank,Y/KR_High_Rank,Y/PR,Y/PR_Defense,Y/PR_Defense_Low_Rank,Y/PR_High_Rank,Y/Play,Y/Play_Defense,Y/Play_Defense_Low_Rank,Y/Play_High_Rank,Y/Pnt,Y/Pnt_Defense,Y/Pnt_Defense_Low_Rank,Y/Pnt_High_Rank,Yds/Drive,Yds/Drive_Defense,Yds/Drive_Defense_Low_Rank,Yds/Drive_High_Rank,Yds_Differential,Yds_Differential_High_Rank,YppYprRatio,YppYprRatio_Defense,YppYprRatio_Defense_High_Rank,YppYprRatio_High_Rank
2013.0,182.0,186.0,9.0,27.5,307.0,282.0,4.0,20.5,160.0,156.0,1.0,28.0,116.0,83.0,9.0,4.0,31.0,43.0,31.0,14.5,1.0,0.0,0.0,0.0,7.3,3.2,1.0,5.0,6970.0,21.0,8.7,4.0,1.0,3.0,45.0,161.0,158.0,6.0,5.199999999999998,4.0,31.0,25.8,6.0,3.0,267.0,63.6,59.0,10.0,9.0,309.0,3.0,30.0,28.0,9.0,2.833333333333333,1.0,50.15,111.62,102.85,1.0,6.0,-43.64,44.59,12.0,24.0,149.91,1.0,11.0,94.3,96.3,29.0,2.0,0.0,11.0,9.0,12.0,3.0,0.0,10.0,9.0,11.0,3.0,10.0,11.0,12.5,20.0,5.916666666666668,2.0,11.99375,7.0,14.55,15.0,9.4375,6.0,26.0,1.0,1.0,0.38461538461538464,6.0,7.102479338842976,1.0,4.8,1.0,9.0,2.1,5.3,1.0,10.0,3.0,0.0,28.0,1.0,3.5,DC,33.0,44.0,21.0,25.0,0.0,0.0,12.5,19.0,698.0,1056.0,21.0,27.0,7.0,4.8,1.0,5.5,11.583333333333336,9.0,0.0,1.0,417.0,231.0,1.0,186.0,2.0,8.5,420.0,524.0,7.0,31.0,0.4768756423432682,0.5737373737373738,18.0,31.0,1.3793103448275863,30.0,27.0,6.4,3.1,4.0,2.0,16.0,2.0,10.0,0.6585365853658537,0.8,3.0,18.0,0.5966076696165191,0.6285975331201462,29.0,29.0,3236.0,2752.0,1.0,26.0,128.0,1183.0,879.0,21.0,32.0,98.0,16.0,32.0,0.1009771986970684,0.1524822695035461,1.0,12.0,5.5,5.5,11.5,17.5,973.0,990.0,6.0,29.0,76.0,2.0,0.0,16.5,31.0,21.0,4.0,3159.0,0.0,16.5,26.0,82.0,19.5,21.5,0.0,0.0,12.0,22.5,579.0,82.0,2.0,3.0,2.12,1.17,1.0,7.5,52.0,2.0,102.4,63.4,1.0,5.0,3508.0,26.0,0.725,3.0,0.5231243576567317,0.42626262626262623,15.0,2.0,0.3414634146341463,0.2,30.0,15.0,0.4033923303834809,0.3714024668798538,4.0,4.0,509.0,422.0,10.0,2.0,14.0,4.0,1.5,14.5,2188.0,1626.0,7.5,4.0,15.262626262626267,10.0,40.7,24.7,1.0,5.0,2.0,0.0,44.0,9.5,7.7,5.0,32.0,272.0,298.0,8.0,16.5,44.0,8.5,21.5,35.0,27.0,5.5,10.5,33.0,26.0,15.0,6.5,19.0,9.3,19.4,1.0,6.0,39.0,1.0,20.0,1.0,5.5,9.404958677685954,1.0,29302.0,29388.0,14.0,SEA,5424.0,4378.0,1.0,17.0,100.0,100.0,19.0,14.0,44.0,17.0,1.0,9.5,44.0,17.0,1.0,9.0,8.4,5.8,1.0,2.0,4.3,3.9,9.0,12.5,13.1,9.9,1.0,3.0,21.2,24.0,20.5,27.5,11.1,3.9,2.0,9.0,5.6,4.4,1.0,9.0,41.6,0.0,16.5,29.0,29.7,23.4,1.0,11.5,1046.0,3.0,1.9534883720930245,1.4871794871794872,28.0,8.0
2014.0,175.0,171.0,2.5,26.5,328.0,277.0,1.0,14.0,160.0,175.0,3.5,29.0,144.0,70.0,3.0,1.0,24.0,32.0,17.5,26.5,1.0,0.0,0.0,0.0,6.7,5.0,3.0,9.5,7306.0,12.0,7.9,5.8,5.0,5.0,43.0,178.0,157.0,2.0,4.800000000000002,2.0,30.5,25.7,4.0,3.0,287.0,63.2,61.7,12.0,15.0,313.0,1.0,30.5,20.0,11.0,4.833333333333333,1.0,135.41,88.28,-20.84,6.0,12.0,65.66,71.63,2.0,1.0,50.43,3.0,6.0,83.8,87.5,25.5,17.0,0.0,10.0,10.0,13.0,4.0,0.0,10.0,10.0,9.0,2.0,7.0,11.0,12.5,7.0,11.916666666666664,7.0,9.6625,4.0,17.45,20.0,1.875,1.0,23.0,0.0,0.0,0.3043478260869565,2.0,6.418870523415978,1.0,2.2,1.0,7.0,1.5,2.6,15.0,3.5,2.0,0.0,13.0,19.0,3.0,DC,39.0,43.0,21.0,14.0,0.0,0.0,13.5,19.0,820.0,1035.0,22.0,17.0,6.6,5.5,3.5,13.5,8.416666666666666,5.0,1.0,1.0,394.0,254.0,1.0,140.0,2.0,10.0,454.0,507.0,1.0,32.0,0.485798237022527,0.5887445887445888,13.0,31.0,1.1111111111111112,32.0,20.0,4.4,3.4,4.0,14.5,17.0,2.0,24.0,0.5,0.68,17.0,30.5,0.540585495675316,0.6948993916705662,14.0,32.0,3250.0,2970.0,1.0,27.0,130.0,1009.0,613.0,1.0,27.0,70.0,1.0,32.0,0.07317073170731707,0.11552346570397112,6.0,30.0,6.0,5.5,9.0,8.5,1021.0,924.0,1.0,14.5,62.0,1.0,0.0,16.5,21.0,17.0,1.0,2688.0,3630.0,23.0,28.5,83.0,26.0,26.5,0.0,1.0,26.0,21.5,252.0,195.0,7.0,19.0,2.13,1.39,2.0,8.5,36.0,12.0,95.1,80.4,5.5,8.0,3492.0,26.0,0.9,1.0,0.5142017629774731,0.4112554112554112,20.0,2.0,0.5,0.31999999999999995,16.0,2.5,0.459414504324684,0.3051006083294337,19.0,1.0,525.0,380.0,4.0,2.0,20.0,8.0,6.0,1.0,2762.0,1304.0,3.0,1.0,21.33838383838384,30.0,40.6,26.9,2.5,5.0,1.0,1.0,42.0,8.5,6.8,12.0,24.0,242.0,234.0,18.0,18.5,37.0,20.0,20.5,37.0,24.0,6.5,5.0,31.0,21.0,6.5,5.0,14.0,6.9,12.3,20.0,1.0,24.0,20.5,10.0,4.0,3.0,10.637741046831957,2.0,31150.0,26847.0,2.0,SEA,6012.0,4274.0,1.0,9.0,100.0,100.0,20.0,13.5,41.0,25.0,1.5,11.5,41.0,25.0,1.5,11.5,7.7,6.3,2.0,6.5,5.3,3.4,2.0,1.0,12.2,10.2,2.0,8.0,21.0,24.1,19.0,30.0,7.0,11.5,30.0,25.0,5.9,4.6,1.0,6.5,43.4,43.7,9.0,26.0,34.2,25.0,2.0,5.0,1738.0,1.0,1.4528301886792454,1.8529411764705883,10.0,29.0
2015.0,174.0,172.0,1.0,29.5,359.0,335.0,24.0,3.0,230.0,197.0,17.0,5.0,95.0,107.0,29.0,13.0,34.0,31.0,18.0,13.0,3.0,0.0,1.0,0.0,6.2,6.2,15.5,17.5,7130.0,10.0,6.9,6.6,11.5,20.0,38.0,178.0,159.0,1.5,-0.10000000000000142,14.5,27.0,27.1,11.5,19.0,410.0,66.0,66.0,26.0,8.0,370.0,21.0,5.0,24.0,8.0,17.666666666666668,16.0,60.21,132.47,-87.55,19.0,7.0,-62.96,26.97,20.0,31.0,-53.03,17.0,10.0,80.6,76.9,4.0,29.0,1.0,6.0,8.0,13.0,3.0,1.0,6.0,7.0,8.0,3.0,13.0,8.0,24.0,29.0,18.416666666666668,21.5,15.725,18.0,12.95,13.0,18.5,19.0,26.0,3.0,0.0,0.5,20.0,15.316528925619837,13.0,13.6,10.0,17.0,2.7,2.7,9.5,23.0,1.0,1.0,15.0,11.0,24.5,HC,26.0,22.0,3.5,28.0,0.0,0.0,13.5,19.0,667.0,599.0,10.5,24.0,6.7,6.7,22.5,10.0,15.75,13.0,0.0,1.0,339.0,345.0,14.0,-6.0,15.0,21.5,621.0,561.0,15.5,8.0,0.608574091332712,0.5823293172690763,19.0,15.0,2.4210526315789482,13.0,21.0,3.4,3.4,5.0,25.0,19.0,4.0,24.0,0.6176470588235294,0.4871794871794872,32.0,25.5,0.7316624895572263,0.697950377562028,14.0,7.0,4379.0,3882.0,18.0,6.0,100.0,969.0,728.0,1.0,22.0,95.0,3.0,8.0,0.0947075208913649,0.09253731343283582,21.0,18.0,6.3,5.9,27.0,2.0,1073.0,996.0,6.0,7.0,59.0,1.0,0.0,11.0,27.0,28.0,7.0,2735.0,2944.0,4.0,29.0,65.0,5.0,30.5,0.0,0.0,11.5,22.5,255.0,272.0,16.0,23.0,1.84,1.94,17.5,18.0,27.0,31.0,87.8,86.9,12.0,21.0,4599.0,6.0,0.4130434782608696,20.0,0.391425908667288,0.4176706827309237,14.0,18.0,0.38235294117647056,0.5128205128205128,1.0,7.5,0.26833751044277365,0.30204962243797195,19.0,26.0,420.0,416.0,15.0,16.0,13.0,20.0,31.5,13.0,1606.0,1680.0,14.0,19.0,17.8989898989899,22.0,34.5,34.3,16.0,17.0,0.0,0.0,32.0,4.9,3.3,32.0,9.0,220.0,117.0,32.0,12.0,19.0,32.0,9.0,31.0,26.0,3.0,16.5,25.0,20.0,3.0,19.5,30.0,17.2,13.4,9.0,31.0,23.0,17.0,-7.0,27.0,27.0,17.033057851239672,17.0,30972.0,27348.0,1.5,ATL,5985.0,5562.0,16.0,7.0,100.0,100.0,30.0,3.0,34.0,39.0,17.5,23.0,34.0,39.0,19.5,16.5,7.4,7.1,12.5,12.0,3.8,4.0,12.5,26.0,11.2,10.8,5.5,20.5,25.7,27.2,30.5,4.0,9.4,9.7,21.0,11.5,5.6,5.6,22.0,10.5,46.4,45.3,20.5,8.0,34.2,32.3,27.0,4.0,423.0,10.0,1.9473684210526316,1.775,16.5,7.0
2016.0,204.0,208.0,29.0,8.0,379.0,358.0,29.5,2.0,239.0,232.0,32.0,2.0,108.0,95.0,20.0,7.0,32.0,31.0,16.5,13.5,6.0,0.0,2.0,6.0,9.0,6.3,18.5,1.0,7645.0,2.0,10.1,7.0,16.0,1.0,63.0,170.0,165.0,4.5,3.1000000000000014,5.0,29.5,26.4,3.0,8.5,374.0,69.6,64.4,22.0,3.0,422.0,31.0,12.0,30.0,3.0,22.83333333333333,27.0,299.18,286.22,-126.32,25.0,1.0,20.78,-2.17,28.0,3.0,-125.47,27.0,1.0,91.9,85.2,18.0,3.0,0.0,12.0,8.0,9.0,8.0,0.0,12.0,7.0,9.0,6.0,4.0,10.0,12.5,2.0,18.08333333333333,19.0,4.5125,1.0,3.65,1.0,5.375,3.0,8.0,2.0,0.0,0.5,23.0,8.656611570247932,2.0,3.9,2.0,7.0,1.3,1.8,24.0,5.5,3.0,2.0,12.0,19.0,5.0,HC,23.0,40.0,25.5,30.0,0.0,0.0,13.0,19.5,484.0,905.0,28.0,29.0,8.2,6.2,13.0,1.0,2.083333333333333,1.0,0.0,0.0,540.0,406.0,27.0,134.0,2.0,1.0,537.0,655.0,32.0,26.0,0.5768844221105528,0.6506137865911237,3.0,22.0,2.212962962962963,18.0,38.0,7.1,4.7,23.0,1.0,31.0,28.0,2.5,0.6551724137931034,0.6739130434782609,15.0,13.5,0.7102059221403878,0.7184711230846944,9.0,12.0,4725.0,4267.0,28.0,3.0,104.0,848.0,974.0,24.0,9.5,113.0,23.5,13.5,0.08443271767810026,0.08659217877094973,21.5,22.0,5.9,6.2,29.5,11.5,995.0,1059.0,26.0,26.0,48.0,0.0,0.0,13.0,13.5,23.0,5.0,2244.0,3176.0,15.0,31.0,66.0,8.0,32.0,0.0,0.0,12.0,20.0,273.0,221.0,11.0,12.0,2.98,2.24,27.5,1.0,24.0,26.0,116.8,92.5,22.0,1.0,4960.0,2.0,0.4518828451882845,15.0,0.4231155778894472,0.3493862134088763,30.0,11.0,0.3448275862068966,0.32608695652173914,18.0,19.5,0.2897940778596122,0.2815288769153056,24.0,21.0,421.0,370.0,5.0,12.0,20.0,15.0,19.5,3.5,1928.0,1672.0,17.0,5.0,15.959595959595955,15.0,52.9,39.4,24.0,1.0,0.0,0.0,37.0,6.4,4.9,26.5,24.0,235.0,228.0,14.5,19.0,34.0,17.0,21.5,37.0,27.0,6.0,6.5,34.0,23.0,8.0,4.5,11.0,5.9,12.5,13.0,2.0,22.0,16.0,11.0,4.5,1.5,13.413223140495866,5.0,34680.0,34320.0,4.0,ATL,6653.0,5939.0,25.0,2.0,98.2,92.1,12.0,6.0,57.0,38.0,16.0,1.0,56.0,35.0,17.0,1.0,9.2,6.9,12.5,1.0,4.6,4.5,26.5,5.0,13.3,10.7,7.5,1.0,21.0,22.6,21.5,20.0,11.4,9.6,24.5,5.0,6.7,5.6,21.0,1.0,46.8,48.1,31.0,7.0,38.7,34.3,26.0,1.0,714.0,4.0,2.0,1.5333333333333334,29.0,4.5
