Rk,Tm,G,#Dr,Plays,Sc%,TO%,Plays,Yds,Start,Time,Pts
1,San Francisco 49ers,16,176,1015,28.4,18.8,5.8,28.0,Own 30.9,2:37,1.47
2,Minnesota Vikings,16,177,1024,39.5,9.0,5.8,31.8,Own 31.0,2:47,2.02
3,Pittsburgh Steelers,16,178,939,18.5,13.5,5.3,23.0,Own 29.0,2:21,1.10
4,Atlanta Falcons,16,180,981,33.9,15.0,5.5,32.2,Own 30.1,2:35,1.95
5,New York Jets,16,182,1058,28.0,20.9,5.8,28.1,Own 29.5,2:42,1.48
6,Buffalo Bills,16,182,1006,39.0,9.3,5.5,28.9,Own 36.6,2:44,2.12
7,Seattle Seahawks,16,184,1064,32.1,13.6,5.8,28.3,Own 29.9,2:38,1.61
8,Dallas Cowboys,16,186,1021,31.7,10.2,5.5,24.6,Own 34.7,2:35,1.64
9,Miami Dolphins,16,186,980,25.3,13.4,5.3,24.6,Own 28.8,2:34,1.42
10,Detroit Lions,16,187,1042,34.2,10.7,5.6,29.4,Own 31.1,2:41,1.99
11,Arizona Cardinals,16,187,1103,31.6,11.8,5.9,30.3,Own 31.9,2:47,1.72
12,Denver Broncos,16,187,990,30.5,17.1,5.3,25.4,Own 31.7,2:28,1.60
13,Jacksonville Jaguars,16,187,1091,28.9,11.8,5.8,27.0,Own 31.9,2:44,1.47
14,St. Louis Rams,16,188,978,25.5,18.1,5.2,23.6,Own 33.2,2:25,1.36
15,New England Patriots,16,188,1057,27.7,17.6,5.6,28.4,Own 29.8,2:31,1.30
16,Tampa Bay Buccaneers,16,190,979,27.9,18.9,5.2,24.3,Own 29.2,2:24,1.43
17,Washington Redskins,16,190,1011,27.9,16.8,5.3,25.4,Own 30.2,2:30,1.45
18,Kansas City Chiefs,16,190,1037,32.1,11.6,5.5,27.9,Own 30.5,2:37,1.68
19,Oakland Raiders,16,191,1036,30.4,12.0,5.4,26.4,Own 30.1,2:27,1.60
20,Indianapolis Colts,16,193,1040,41.5,11.4,5.4,29.5,Own 34.4,2:26,2.28
21,New Orleans Saints,16,193,979,37.3,13.5,5.1,26.3,Own 33.1,2:32,2.05
22,Chicago Bears,16,193,1051,18.7,18.7,5.4,25.6,Own 29.2,2:27,0.93
23,Tennessee Titans,16,194,1025,34.0,11.3,5.3,28.3,Own 31.6,2:21,1.93
24,Green Bay Packers,16,194,1069,23.7,17.5,5.5,25.3,Own 30.9,2:31,1.21
25,Cincinnati Bengals,16,198,1044,27.8,13.1,5.3,24.2,Own 35.9,2:31,1.50
26,New York Giants,16,199,1026,27.6,13.6,5.2,24.8,Own 32.9,2:27,1.47
27,San Diego Chargers,16,199,1060,30.2,15.1,5.3,24.5,Own 30.7,2:25,1.59
28,Carolina Panthers,16,199,1088,31.7,16.6,5.5,29.6,Own 30.1,2:38,1.71
29,Philadelphia Eagles,16,199,1052,21.1,14.1,5.3,23.5,Own 29.6,2:32,1.02
30,Baltimore Ravens,16,204,1043,22.1,13.2,5.1,21.8,Own 32.4,2:23,1.17
31,Cleveland Browns,16,204,1124,26.5,20.1,5.5,25.9,Own 31.5,2:31,1.36
,League Total,,5885,32013,29.5,14.5,5.4,26.6,Own 31.4,2:32,1.56
