Rk,Tm,G,#Dr,Plays,Sc%,TO%,Plays,Yds,Start,Time,Pts
1,Washington Redskins,16,148,832,37.2,8.8,5.6,27.8,Own 33.8,2:36,2.03
2,New York Giants,16,155,867,25.8,13.5,5.6,26.2,Own 30.3,2:35,1.32
3,Atlanta Falcons,16,159,871,27.7,25.8,5.5,28.1,Own 26.2,2:28,1.56
4,St. Louis Rams,16,162,809,29.0,11.7,5.0,22.8,Own 32.6,2:22,1.61
5,Tennessee Oilers,16,163,906,33.1,8.0,5.6,28.8,Own 30.3,2:35,1.71
6,Carolina Panthers,16,168,904,39.9,15.5,5.4,30.8,Own 30.6,2:36,2.17
7,Baltimore Ravens,16,172,987,31.4,11.6,5.7,28.8,Own 30.7,2:43,1.62
8,Pittsburgh Steelers,16,173,937,27.7,15.0,5.4,25.3,Own 28.4,2:27,1.32
9,Indianapolis Colts,16,174,1000,39.7,10.3,5.7,30.9,Own 31.7,2:44,2.16
10,Cincinnati Bengals,16,180,1018,39.4,10.6,5.7,31.9,Own 33.0,2:47,2.16
11,Chicago Bears,16,183,964,35.5,13.1,5.3,26.9,Own 32.1,2:36,1.92
12,Tampa Bay Buccaneers,16,185,934,28.1,11.4,5.0,23.1,Own 30.7,2:22,1.43
13,Buffalo Bills,16,185,957,30.3,14.6,5.2,24.5,Own 30.2,2:26,1.69
14,Kansas City Chiefs,16,186,1013,30.1,14.5,5.4,25.3,Own 32.2,2:32,1.74
15,Dallas Cowboys,16,189,1015,25.9,13.8,5.4,27.8,Own 25.7,2:25,1.46
16,Detroit Lions,16,190,1028,33.2,10.5,5.4,26.6,Own 31.7,2:34,1.79
17,Philadelphia Eagles,16,192,1043,30.7,7.8,5.4,26.3,Own 32.5,2:33,1.65
18,Oakland Raiders,16,193,981,26.9,14.5,5.1,22.0,Own 33.1,2:24,1.37
19,New Orleans Saints,16,193,1078,32.6,16.6,5.6,29.1,Own 31.6,2:39,1.75
20,Green Bay Packers,16,197,1057,29.9,13.2,5.4,24.3,Own 30.2,2:26,1.57
21,New England Patriots,16,198,1123,33.3,15.2,5.7,26.5,Own 32.3,2:38,1.71
22,Seattle Seahawks,16,199,1159,27.6,19.6,5.8,28.2,Own 29.1,2:38,1.47
23,San Diego Chargers,16,200,968,27.5,12.0,4.8,20.4,Own 35.2,2:09,1.47
24,Minnesota Vikings,16,206,1158,26.7,18.0,5.6,28.3,Own 27.7,2:37,1.48
25,New York Jets,16,209,1108,25.8,15.8,5.3,24.4,Own 31.1,2:20,1.35
26,Miami Dolphins,16,210,1078,26.2,17.6,5.1,25.0,Own 30.8,2:20,1.36
27,Jacksonville Jaguars,16,213,1225,32.9,16.0,5.8,28.8,Own 29.2,2:36,1.68
28,Denver Broncos,16,213,1115,23.9,16.9,5.2,25.6,Own 28.4,2:18,1.39
29,Arizona Cardinals,16,217,1192,32.7,17.5,5.5,26.8,Own 33.0,2:30,1.81
30,San Francisco 49ers,16,220,1140,30.0,16.4,5.2,26.7,Own 31.4,2:17,1.68
,League Total,,5632,30467,30.6,14.3,5.4,26.5,Own 30.8,2:30,1.64
