Rk,Tm,G,#Dr,Plays,Sc%,TO%,Plays,Yds,Start,Time,Pts
1,Minnesota Vikings,16,166,1046,41.6,13.3,6.3,35.3,Own 31.8,2:55,2.33
2,Jacksonville Jaguars,16,174,1000,26.4,16.1,5.7,29.4,Own 28.7,2:44,1.37
3,Pittsburgh Steelers,16,174,909,25.9,17.2,5.2,23.7,Own 28.3,2:23,1.28
4,New England Patriots,16,175,1007,24.0,20.0,5.8,28.4,Own 30.8,2:37,1.34
5,Houston Texans,16,178,1000,32.6,16.9,5.6,30.5,Own 30.2,2:43,1.79
6,New York Jets,16,178,986,25.3,16.9,5.5,27.3,Own 29.5,2:35,1.41
7,Indianapolis Colts,16,178,1073,35.4,18.5,6.0,33.1,Own 30.7,2:49,1.92
8,Green Bay Packers,16,181,993,34.3,7.7,5.5,30.5,Own 31.7,2:37,2.02
9,St. Louis Rams,16,181,1045,37.6,7.7,5.8,29.5,Own 32.4,2:37,1.94
10,San Diego Chargers,16,183,1021,29.5,17.5,5.6,29.2,Own 29.2,2:30,1.63
11,Philadelphia Eagles,16,183,1063,25.1,13.1,5.8,28.0,Own 29.8,2:47,1.39
12,Kansas City Chiefs,16,183,988,38.8,10.9,5.4,32.9,Own 31.3,2:26,2.26
13,Oakland Raiders,16,183,1097,37.2,9.8,6.0,32.3,Own 31.0,2:54,2.23
14,Atlanta Falcons,16,185,1017,29.7,16.8,5.5,28.1,Own 29.6,2:40,1.74
15,Dallas Cowboys,16,185,983,35.7,10.8,5.3,28.5,Own 30.0,2:32,2.04
16,Carolina Panthers,16,187,1049,30.5,19.8,5.6,28.8,Own 29.9,2:35,1.71
17,Tampa Bay Buccaneers,16,187,992,26.2,13.4,5.3,24.3,Own 32.0,2:35,1.41
18,Detroit Lions,16,189,1091,29.6,12.2,5.8,28.5,Own 29.1,2:43,1.71
19,New York Giants,16,191,1031,31.9,14.7,5.4,26.9,Own 32.9,2:36,1.82
20,Denver Broncos,16,192,944,28.1,9.9,4.9,23.1,Own 32.4,2:17,1.53
21,Tennessee Titans,16,192,1005,36.5,14.6,5.2,29.7,Own 31.3,2:22,2.07
22,Buffalo Bills,16,192,1010,27.6,19.3,5.3,22.0,Own 31.1,2:28,1.37
23,Seattle Seahawks,16,193,1079,35.2,18.1,5.6,29.1,Own 32.2,2:35,1.91
24,New Orleans Saints,16,194,1101,36.6,16.5,5.7,31.5,Own 30.0,2:38,1.92
25,San Francisco 49ers,16,195,1045,37.9,9.7,5.4,28.0,Own 34.7,2:34,2.14
26,Cincinnati Bengals,16,195,1063,31.8,16.4,5.5,27.4,Own 31.7,2:31,1.65
27,Cleveland Browns,16,195,1054,32.3,12.3,5.4,26.7,Own 33.0,2:39,1.77
28,Washington Redskins,16,198,996,20.7,12.6,5.0,21.6,Own 30.9,2:19,1.11
29,Baltimore Ravens,16,199,1043,24.6,16.6,5.2,24.1,Own 29.5,2:28,1.20
30,Arizona Cardinals,16,203,1019,27.1,14.8,5.0,25.1,Own 29.4,2:19,1.40
31,Miami Dolphins,16,205,1039,25.4,11.2,5.1,23.8,Own 31.0,2:28,1.39
32,Chicago Bears,16,216,1083,26.9,13.4,5.0,25.0,Own 32.5,2:21,1.40
,League Total,,6010,32872,30.8,14.3,5.5,27.8,Own 30.9,2:34,1.69
