Rk,Tm,G,#Dr,Plays,Sc%,TO%,Plays,Yds,Start,Time,Pts
1,San Diego Chargers,16,168,1020,34.5,14.3,6.1,30.9,Own 29.0,2:52,1.82
2,Jacksonville Jaguars,16,168,1010,38.1,14.3,6.0,33.6,Own 29.3,2:52,2.10
3,Atlanta Falcons,16,171,1025,32.2,15.2,6.0,32.6,Own 27.9,2:50,1.78
4,Pittsburgh Steelers,16,178,996,28.7,12.4,5.6,27.4,Own 28.7,2:33,1.51
5,Washington Redskins,16,178,1036,33.7,9.6,5.8,28.7,Own 31.8,2:49,1.66
6,New England Patriots,16,179,961,25.1,14.0,5.4,28.4,Own 27.4,2:26,1.45
7,Indianapolis Colts,16,179,1120,33.0,14.0,6.3,30.3,Own 28.9,2:53,1.64
8,Dallas Cowboys,16,181,1005,24.3,11.6,5.6,27.9,Own 26.1,2:29,1.30
9,Carolina Panthers,16,181,1003,26.5,19.3,5.5,27.9,Own 31.0,2:38,1.44
10,New York Giants,16,182,974,38.5,11.5,5.4,28.5,Own 31.6,2:31,2.30
11,Houston Texans,16,182,997,30.8,13.2,5.5,28.5,Own 27.1,2:28,1.71
12,St. Louis Rams,16,184,1038,35.3,10.3,5.6,32.4,Own 28.0,2:43,2.06
13,Denver Broncos,16,185,1038,31.4,15.7,5.6,27.0,Own 27.6,2:36,1.57
14,Cincinnati Bengals,16,185,1009,28.6,13.5,5.5,25.8,Own 31.4,2:28,1.51
15,Baltimore Ravens,16,186,1018,26.3,16.7,5.5,25.8,Own 26.9,2:40,1.33
16,Cleveland Browns,16,186,1108,36.0,8.6,6.0,33.5,Own 28.6,2:45,1.88
17,Miami Dolphins,16,186,1007,38.7,11.3,5.4,30.0,Own 30.7,2:26,2.00
18,Green Bay Packers,16,186,965,25.3,21.0,5.2,24.5,Own 31.1,2:19,1.49
19,New York Jets,16,187,976,20.3,14.4,5.2,21.6,Own 28.8,2:27,1.02
20,Minnesota Vikings,16,188,966,28.2,11.7,5.1,25.9,Own 27.7,2:20,1.51
21,Tampa Bay Buccaneers,16,190,1071,36.8,14.2,5.6,30.7,Own 31.1,2:40,2.03
22,Tennessee Titans,16,190,1065,36.3,13.7,5.6,30.8,Own 32.3,2:41,2.08
23,Buffalo Bills,16,192,1114,28.6,16.7,5.8,28.3,Own 29.7,2:43,1.55
24,Detroit Lions,16,192,1063,43.8,10.4,5.5,32.6,Own 35.8,2:35,2.42
25,Oakland Raiders,16,193,1063,36.3,7.8,5.5,30.1,Own 30.7,2:38,1.92
26,Chicago Bears,16,193,1066,35.2,13.5,5.5,28.0,Own 32.1,2:38,1.95
27,New Orleans Saints,16,194,1076,31.4,18.0,5.5,29.5,Own 28.5,2:25,1.64
28,Arizona Cardinals,16,196,1064,27.6,13.8,5.4,28.3,Own 28.5,2:28,1.54
29,Seattle Seahawks,16,196,1056,33.7,10.7,5.4,29.1,Own 29.4,2:39,1.91
30,Philadelphia Eagles,16,197,1061,29.9,17.3,5.4,26.0,Own 31.7,2:35,1.67
31,Kansas City Chiefs,16,201,1099,35.8,13.4,5.5,30.8,Own 30.7,2:37,1.93
32,San Francisco 49ers,16,206,1084,26.7,15.5,5.3,25.2,Own 29.6,2:21,1.31
,League Total,,5960,33154,31.8,13.7,5.6,28.7,Own 29.7,2:35,1.72
