Rk,Tm,G,#Dr,Plays,Sc%,TO%,Plays,Yds,Start,Time,Pts
1,New York Jets,16,165,1039,36.4,12.7,6.3,33.1,Own 30.3,3:01,1.92
2,San Francisco 49ers,16,169,1008,34.9,14.8,6.0,30.3,Own 31.4,2:42,1.92
3,Jacksonville Jaguars,16,176,1076,31.8,14.8,6.1,30.3,Own 30.6,2:51,1.70
4,Denver Broncos,16,177,1018,34.5,10.7,5.8,27.3,Own 32.3,2:43,1.85
5,Tennessee Titans,16,177,998,27.1,14.7,5.6,28.0,Own 28.1,2:29,1.58
6,Seattle Seahawks,16,177,1109,34.5,15.8,6.3,33.1,Own 31.4,2:52,1.92
7,Indianapolis Colts,16,178,989,31.5,12.4,5.6,27.5,Own 32.1,2:38,1.73
8,Cincinnati Bengals,16,179,1007,38.5,10.6,5.6,29.3,Own 35.5,2:47,2.18
9,St. Louis Rams,16,181,976,30.9,14.4,5.4,27.7,Own 29.6,2:36,1.59
10,Oakland Raiders,16,181,1020,28.7,16.6,5.6,27.4,Own 30.2,2:34,1.64
11,Kansas City Chiefs,16,182,1113,39.6,16.5,6.1,34.3,Own 31.4,2:45,2.20
12,New York Giants,16,185,1016,27.0,12.4,5.5,26.6,Own 32.3,2:30,1.44
13,Minnesota Vikings,16,187,991,36.9,12.3,5.3,30.7,Own 31.1,2:28,2.13
14,Arizona Cardinals,16,187,1076,36.4,12.3,5.8,32.1,Own 31.8,2:43,2.07
15,New England Patriots,16,187,1066,32.1,15.5,5.7,28.8,Own 31.0,2:39,1.82
16,Pittsburgh Steelers,16,188,1008,29.8,16.5,5.4,25.6,Own 34.2,2:22,1.66
17,Miami Dolphins,16,188,1004,30.3,14.4,5.3,24.8,Own 32.2,2:26,1.53
18,Buffalo Bills,16,188,1026,33.5,10.1,5.5,27.4,Own 33.3,2:30,1.94
19,Cleveland Browns,16,189,1063,31.7,13.2,5.6,28.2,Own 31.8,2:35,1.63
20,Atlanta Falcons,16,190,1026,27.9,19.5,5.4,28.0,Own 29.0,2:27,1.57
21,Baltimore Ravens,16,191,1111,32.5,15.7,5.8,27.9,Own 32.8,2:42,1.66
22,Washington Redskins,16,192,1042,33.3,13.0,5.4,24.8,Own 35.5,2:32,1.69
23,Philadelphia Eagles,16,194,1031,20.6,18.0,5.3,24.3,Own 28.4,2:23,1.09
24,San Diego Chargers,16,196,1087,31.6,13.8,5.5,30.8,Own 28.9,2:33,1.79
25,New Orleans Saints,16,196,1099,33.7,18.4,5.6,29.3,Own 28.9,2:35,1.89
26,Tampa Bay Buccaneers,16,197,986,17.8,18.3,5.0,20.4,Own 28.8,2:20,0.90
27,Green Bay Packers,16,198,1009,27.3,21.7,5.1,25.1,Own 33.2,2:18,1.59
28,Detroit Lions,16,202,1152,37.1,11.4,5.7,30.2,Own 30.0,2:45,2.02
29,Chicago Bears,16,202,1131,36.6,13.4,5.6,27.6,Own 34.4,2:36,1.83
30,Dallas Cowboys,16,209,1119,28.2,13.9,5.4,25.1,Own 33.7,2:28,1.46
31,Houston Texans,16,210,1090,29.0,8.6,5.2,24.7,Own 33.6,2:26,1.58
32,Carolina Panthers,16,212,1052,25.5,14.2,5.0,21.8,Own 30.7,2:19,1.33
,League Total,,6030,33538,31.4,14.4,5.6,27.8,Own 31.5,2:34,1.71
