Rk,Tm,G,#Dr,Plays,Sc%,TO%,Plays,Yds,Start,Time,Pts
1,Indianapolis Colts,16,167,980,26.9,18.0,5.9,29.4,Own 30.4,2:50,1.43
2,Houston Texans,16,174,1043,42.0,7.5,6.0,33.4,Own 30.4,2:59,2.29
3,Denver Broncos,16,176,1003,25.0,18.2,5.7,28.3,Own 27.9,2:29,1.43
4,Buffalo Bills,16,177,1056,33.9,16.4,6.0,30.9,Own 30.0,2:48,1.94
5,Kansas City Chiefs,16,177,997,31.6,15.8,5.6,29.4,Own 31.9,2:31,1.76
6,New Orleans Saints,16,179,986,37.4,9.5,5.5,27.8,Own 31.9,2:38,1.93
7,Cincinnati Bengals,16,179,1004,34.6,23.5,5.6,30.2,Own 30.6,2:36,1.87
8,Cleveland Browns,16,179,1056,32.4,11.7,5.9,28.2,Own 33.4,2:52,1.64
9,Pittsburgh Steelers,16,181,1028,27.1,14.9,5.7,25.0,Own 30.7,2:35,1.36
10,New England Patriots,16,182,1028,33.0,9.3,5.6,29.0,Own 29.0,2:37,1.78
11,Oakland Raiders,16,184,1067,38.6,10.3,5.8,28.7,Own 32.6,2:46,1.94
12,New York Jets,16,184,1082,35.9,15.2,5.9,26.7,Own 32.6,2:55,1.86
13,Detroit Lions,16,184,1036,31.5,16.8,5.6,27.9,Own 31.0,2:43,1.68
14,Tampa Bay Buccaneers,16,184,983,27.7,15.2,5.3,24.2,Own 31.4,2:35,1.38
15,Jacksonville Jaguars,16,185,990,24.9,14.1,5.4,25.1,Own 26.6,2:29,1.31
16,Seattle Seahawks,16,187,1083,30.5,12.8,5.8,27.0,Own 29.4,2:40,1.41
17,Carolina Panthers,16,187,1009,25.1,19.8,5.4,24.2,Own 30.6,2:30,1.27
18,San Diego Chargers,16,188,1028,28.7,10.1,5.5,26.2,Own 32.7,2:25,1.59
19,Minnesota Vikings,16,189,1062,34.4,15.9,5.6,27.3,Own 33.4,2:38,1.81
20,Baltimore Ravens,16,190,1029,28.9,12.6,5.4,24.0,Own 33.6,2:31,1.42
21,Dallas Cowboys,16,190,974,27.4,13.2,5.1,25.3,Own 30.3,2:20,1.47
22,Atlanta Falcons,16,190,1031,32.1,14.7,5.4,27.3,Own 30.2,2:34,1.72
23,Green Bay Packers,16,192,1003,31.8,10.9,5.2,24.3,Own 34.5,2:27,1.62
24,St. Louis Rams,16,193,1040,38.3,12.4,5.4,29.0,Own 33.0,2:29,2.15
25,Tennessee Titans,16,195,987,33.8,9.7,5.1,26.0,Own 29.2,2:22,1.94
26,Washington Redskins,16,196,1012,26.5,13.8,5.2,24.3,Own 31.7,2:20,1.41
27,Miami Dolphins,16,196,1102,29.6,13.3,5.6,25.7,Own 28.8,2:39,1.58
28,Arizona Cardinals,16,198,960,30.3,13.1,4.8,23.9,Own 32.8,2:19,1.70
29,New York Giants,16,200,1079,26.5,17.0,5.4,26.1,Own 28.6,2:26,1.44
30,San Francisco 49ers,16,201,1127,37.8,10.9,5.6,31.1,Own 35.0,2:38,2.07
31,Chicago Bears,16,203,1064,19.7,15.3,5.2,22.1,Own 30.4,2:29,0.97
32,Philadelphia Eagles,16,209,1065,29.2,11.5,5.1,24.8,Own 32.0,2:27,1.62
,League Total,,5996,32994,31.0,13.8,5.5,26.9,Own 31.2,2:34,1.65
