Rk,Tm,G,#Dr,Plays,Sc%,TO%,Plays,Yds,Start,Time,Pts
1,New Orleans Saints,16,173,982,31.8,12.7,5.7,28.2,Own 29.6,2:39,1.58
2,Jacksonville Jaguars,16,174,973,40.2,9.8,5.6,34.1,Own 28.2,2:36,2.29
3,Houston Texans,16,174,1037,40.2,10.3,6.0,34.7,Own 29.7,2:53,2.33
4,Cleveland Browns,16,176,1077,34.1,15.3,6.1,31.8,Own 28.7,2:58,1.77
5,New England Patriots,16,176,1082,30.7,21.0,6.1,33.2,Own 28.2,2:51,1.72
6,Tampa Bay Buccaneers,16,177,1012,29.4,14.7,5.7,30.0,Own 29.3,2:40,1.67
7,Pittsburgh Steelers,16,179,1004,25.7,17.3,5.6,24.7,Own 30.2,2:33,1.22
8,Atlanta Falcons,16,180,980,26.1,16.1,5.4,29.6,Own 24.3,2:30,1.49
9,Miami Dolphins,16,181,1019,31.5,9.9,5.6,27.3,Own 30.9,2:36,1.61
10,Indianapolis Colts,16,181,1046,37.0,10.5,5.8,30.0,Own 28.8,2:42,1.91
11,Green Bay Packers,16,182,998,25.3,16.5,5.5,27.0,Own 29.1,2:32,1.24
12,Cincinnati Bengals,16,182,990,35.2,13.2,5.4,29.2,Own 29.7,2:32,1.85
13,Tennessee Titans,16,183,1187,37.7,13.1,6.5,32.1,Own 29.0,3:00,1.79
14,Minnesota Vikings,16,184,1000,28.8,12.5,5.4,27.2,Own 29.8,2:36,1.63
15,San Diego Chargers,16,184,955,26.1,12.5,5.2,23.7,Own 32.5,2:20,1.48
16,Baltimore Ravens,16,185,1039,29.2,13.5,5.6,27.3,Own 27.2,2:35,1.46
17,Dallas Cowboys,16,188,1004,36.7,15.4,5.3,29.8,Own 29.7,2:28,2.04
18,St. Louis Rams,16,191,1055,33.0,12.6,5.5,28.1,Own 28.4,2:27,1.58
19,Buffalo Bills,16,191,1110,39.3,10.5,5.8,30.3,Own 33.9,2:48,2.14
20,Seattle Seahawks,16,192,1104,35.9,9.9,5.8,30.6,Own 31.2,2:42,1.99
21,Detroit Lions,16,192,1025,31.3,13.5,5.3,28.5,Own 30.5,2:33,1.79
22,Kansas City Chiefs,16,192,1052,28.1,10.9,5.5,27.4,Own 26.8,2:27,1.55
23,Philadelphia Eagles,16,194,1019,31.4,17.0,5.3,26.9,Own 27.7,2:22,1.83
24,San Francisco 49ers,16,195,1066,31.8,11.3,5.5,26.9,Own 30.0,2:35,1.65
25,Carolina Panthers,16,196,1093,35.2,14.3,5.6,27.4,Own 33.4,2:40,1.87
26,Chicago Bears,16,196,1029,25.0,17.9,5.3,25.4,Own 30.9,2:29,1.32
27,Denver Broncos,16,199,1092,40.7,8.0,5.5,31.4,Own 32.1,2:34,2.27
28,New York Jets,16,201,1002,26.4,13.9,5.0,22.9,Own 28.1,2:16,1.49
29,New York Giants,16,202,1001,28.7,18.3,5.0,24.4,Own 32.8,2:10,1.55
30,Washington Redskins,16,203,1089,32.5,12.3,5.4,30.7,Own 31.0,2:36,1.72
31,Arizona Cardinals,16,204,1143,39.7,13.2,5.6,29.2,Own 32.3,2:40,2.00
32,Oakland Raiders,16,205,1019,31.2,9.3,5.0,25.2,Own 31.4,2:16,1.78
,League Total,,6012,33284,32.4,13.3,5.5,28.5,Own 29.9,2:35,1.74
