Rk,Tm,G,#Dr,Plays,Sc%,TO%,Plays,Yds,Start,Time,Pts
1,Indianapolis Colts,16,156,994,38.5,16.7,6.4,34.1,Own 30.7,3:07,2.08
2,Houston Texans,16,168,1008,37.5,13.1,6.0,32.1,Own 31.3,2:56,2.03
3,St. Louis Rams,16,176,986,34.7,17.0,5.6,30.5,Own 30.2,2:38,1.99
4,Atlanta Falcons,16,179,1023,31.8,13.4,5.7,29.7,Own 28.3,2:43,1.72
5,Washington Redskins,16,179,1031,38.5,5.6,5.8,31.8,Own 29.7,2:42,2.03
6,Arizona Cardinals,16,181,1052,37.6,18.2,5.8,30.6,Own 31.9,2:39,1.94
7,New England Patriots,16,182,981,23.6,18.7,5.4,25.7,Own 28.6,2:30,1.17
8,Kansas City Chiefs,16,182,1031,31.9,14.8,5.7,28.8,Own 29.9,2:40,1.66
9,New York Jets,16,182,1044,28.0,13.7,5.7,29.1,Own 29.8,2:33,1.57
10,Dallas Cowboys,16,183,999,32.2,15.3,5.5,28.2,Own 30.4,2:32,1.78
11,Denver Broncos,16,184,1062,32.6,14.7,5.8,28.3,Own 33.5,2:40,1.54
12,Detroit Lions,16,185,1066,37.8,15.1,5.8,29.9,Own 31.5,2:48,2.00
13,Tampa Bay Buccaneers,16,186,1045,31.7,10.2,5.6,28.2,Own 31.4,2:47,1.75
14,Cincinnati Bengals,16,186,1063,30.6,14.5,5.7,30.5,Own 29.3,2:42,1.76
15,Philadelphia Eagles,16,186,1082,30.1,15.1,5.8,28.2,Own 29.2,2:44,1.55
16,Buffalo Bills,16,187,1055,28.9,11.8,5.6,28.1,Own 29.6,2:44,1.55
17,Jacksonville Jaguars,16,187,1002,23.0,12.8,5.4,24.2,Own 29.0,2:23,1.25
18,San Francisco 49ers,16,187,1057,39.0,13.9,5.7,29.4,Own 32.2,2:43,2.09
19,New York Giants,16,187,1086,33.2,15.0,5.8,29.2,Own 31.6,2:38,1.85
20,Pittsburgh Steelers,16,188,1003,27.7,15.4,5.3,25.6,Own 33.1,2:28,1.49
21,Miami Dolphins,16,188,1030,27.1,12.8,5.5,24.5,Own 29.8,2:33,1.43
22,New Orleans Saints,16,189,948,26.5,9.0,5.0,25.9,Own 29.1,2:23,1.56
23,Tennessee Titans,16,189,1095,37.6,13.2,5.8,31.1,Own 30.7,2:47,2.06
24,Oakland Raiders,16,189,1023,33.3,11.6,5.4,24.0,Own 35.1,2:41,1.68
25,San Diego Chargers,16,191,1012,28.8,13.6,5.3,25.2,Own 28.3,2:23,1.53
26,Minnesota Vikings,16,192,1017,30.2,16.7,5.3,25.0,Own 31.3,2:23,1.41
27,Cleveland Browns,16,193,1072,31.1,14.0,5.6,28.5,Own 30.5,2:34,1.64
28,Baltimore Ravens,16,195,960,19.5,20.0,4.9,21.6,Own 28.4,2:14,1.02
29,Carolina Panthers,16,195,1021,28.7,10.8,5.2,24.3,Own 29.4,2:28,1.52
30,Seattle Seahawks,16,196,1019,29.6,11.7,5.2,26.6,Own 29.8,2:28,1.60
31,Green Bay Packers,16,201,1029,31.8,16.4,5.1,25.5,Own 29.8,2:20,1.71
32,Chicago Bears,16,209,1050,20.6,19.6,5.0,22.5,Own 29.3,2:17,1.10
,League Total,,5958,32946,30.9,14.2,5.5,27.6,Own 30.4,2:35,1.65
