Tm,PF_Defense,TotalYds_Defense,Ply_Defense,Y/Play_Defense,TO_Defense,FL_Defense,1stD_Defense,Cmp_Defense,PassAtt_Defense,PassYds_Defense,PassTD_Defense,Int_Defense,NY/A_Defense,1stDpass_Defense,RushAtt_Defense,RushYds_Defense,RushTD_Defense,Y/Arun_Defense,1stDrun_Defense,Pen_Defense,PenYds_Defense,1stPy_Defense,Sc%_Defense,TO%_Defense
Miami Dolphins,250.0,5039.0,989.0,5.1,43.0,17.0,288.0,277.0,480.0,3002.0,19.0,26.0,5.7,147.0,460.0,2037.0,11.0,4.4,122.0,95.0,837.0,19.0,0.0,0.0
Detroit Lions,286.0,5216.0,1061.0,4.9,37.0,15.0,324.0,297.0,515.0,3112.0,21.0,22.0,5.6,161.0,503.0,2104.0,11.0,4.2,133.0,117.0,1062.0,30.0,0.0,0.0
New England Patriots,289.0,5576.0,1102.0,5.1,36.0,19.0,326.0,277.0,514.0,3295.0,19.0,17.0,6.0,172.0,549.0,2281.0,9.0,4.2,129.0,84.0,674.0,25.0,0.0,0.0
San Francisco 49ers,293.0,5189.0,1032.0,5.0,42.0,18.0,302.0,322.0,526.0,3253.0,23.0,24.0,5.6,181.0,449.0,1936.0,10.0,4.3,98.0,91.0,793.0,23.0,0.0,0.0
Chicago Bears,301.0,5132.0,1023.0,5.0,38.0,17.0,286.0,249.0,490.0,3132.0,15.0,21.0,5.8,154.0,482.0,2000.0,20.0,4.1,113.0,86.0,687.0,19.0,0.0,0.0
Cincinnati Bengals,302.0,4327.0,973.0,4.4,39.0,16.0,276.0,288.0,502.0,2828.0,17.0,23.0,5.2,156.0,430.0,1499.0,16.0,3.5,96.0,100.0,871.0,24.0,0.0,0.0
Pittsburgh Steelers,303.0,4732.0,1006.0,4.7,45.0,17.0,278.0,238.0,447.0,2899.0,19.0,28.0,5.8,151.0,509.0,1833.0,14.0,3.6,100.0,96.0,782.0,27.0,0.0,0.0
Philadelphia Eagles,322.0,5447.0,1099.0,5.0,23.0,15.0,310.0,247.0,430.0,2792.0,20.0,8.0,6.0,149.0,633.0,2655.0,14.0,4.2,144.0,94.0,755.0,17.0,0.0,0.0
Denver Broncos,327.0,5609.0,1099.0,5.1,47.0,20.0,321.0,307.0,552.0,3671.0,18.0,27.0,6.2,185.0,509.0,1938.0,14.0,3.8,119.0,138.0,1097.0,17.0,0.0,0.0
New York Jets,331.0,5301.0,1058.0,5.0,36.0,14.0,298.0,269.0,463.0,2923.0,22.0,22.0,5.7,151.0,547.0,2378.0,13.0,4.3,126.0,96.0,784.0,21.0,0.0,0.0
Washington Redskins,332.0,5264.0,970.0,5.4,61.0,27.0,290.0,301.0,570.0,3975.0,28.0,34.0,6.4,196.0,349.0,1289.0,9.0,3.7,76.0,80.0,710.0,18.0,0.0,0.0
New Orleans Saints,337.0,4691.0,1024.0,4.6,39.0,16.0,289.0,271.0,496.0,2691.0,20.0,23.0,4.9,159.0,472.0,2000.0,11.0,4.2,108.0,96.0,814.0,22.0,0.0,0.0
Los Angeles Raiders,338.0,4748.0,1024.0,4.6,36.0,16.0,285.0,282.0,531.0,3162.0,20.0,20.0,5.4,170.0,436.0,1586.0,13.0,3.6,86.0,109.0,947.0,29.0,0.0,0.0
Cleveland Browns,342.0,5142.0,1029.0,5.0,32.0,10.0,309.0,280.0,469.0,3077.0,22.0,22.0,6.1,155.0,528.0,2065.0,15.0,3.9,138.0,105.0,940.0,16.0,0.0,0.0
Los Angeles Rams,344.0,5392.0,1078.0,5.0,44.0,20.0,311.0,319.0,556.0,3611.0,18.0,24.0,6.1,179.0,489.0,1781.0,21.0,3.6,118.0,89.0,804.0,14.0,0.0,0.0
New York Giants,347.0,4994.0,1039.0,4.8,36.0,13.0,289.0,283.0,493.0,3261.0,26.0,23.0,6.1,167.0,502.0,1733.0,10.0,3.5,98.0,114.0,927.0,24.0,0.0,0.0
Minnesota Vikings,348.0,5487.0,1104.0,5.0,48.0,23.0,318.0,263.0,478.0,2903.0,23.0,25.0,5.5,150.0,579.0,2584.0,16.0,4.5,147.0,92.0,759.0,21.0,0.0,0.0
Buffalo Bills,351.0,5809.0,1078.0,5.4,31.0,18.0,332.0,286.0,480.0,3306.0,22.0,13.0,6.5,148.0,566.0,2503.0,14.0,4.4,148.0,128.0,1298.0,36.0,0.0,0.0
Baltimore Colts,354.0,5640.0,1045.0,5.4,36.0,16.0,321.0,281.0,488.0,3522.0,31.0,20.0,6.7,166.0,516.0,2118.0,13.0,4.1,123.0,82.0,666.0,32.0,0.0,0.0
Dallas Cowboys,360.0,5427.0,1025.0,5.3,48.0,21.0,286.0,299.0,558.0,3928.0,27.0,27.0,6.4,181.0,410.0,1499.0,12.0,3.7,82.0,100.0,873.0,23.0,0.0,0.0
Kansas City Chiefs,367.0,5386.0,1089.0,4.9,51.0,21.0,319.0,261.0,500.0,3111.0,21.0,30.0,5.8,158.0,554.0,2275.0,18.0,4.1,136.0,105.0,837.0,25.0,0.0,0.0
Tampa Bay Buccaneers,380.0,5397.0,1093.0,4.9,41.0,18.0,320.0,300.0,490.0,3315.0,15.0,23.0,6.2,172.0,561.0,2082.0,19.0,3.7,124.0,105.0,799.0,24.0,0.0,0.0
Atlanta Falcons,389.0,5826.0,1023.0,5.7,30.0,15.0,342.0,313.0,493.0,3517.0,28.0,15.0,6.7,187.0,499.0,2309.0,20.0,4.6,139.0,81.0,710.0,16.0,0.0,0.0
Seattle Seahawks,397.0,6029.0,1075.0,5.6,54.0,28.0,351.0,311.0,521.0,3831.0,33.0,26.0,6.8,195.0,511.0,2198.0,14.0,4.3,128.0,91.0,725.0,28.0,0.0,0.0
St. Louis Cardinals,428.0,5005.0,1021.0,4.9,48.0,20.0,286.0,290.0,519.0,3167.0,24.0,28.0,5.5,161.0,443.0,1838.0,23.0,4.1,107.0,102.0,819.0,18.0,0.0,0.0
Green Bay Packers,439.0,6403.0,1156.0,5.5,31.0,12.0,366.0,300.0,518.0,3762.0,20.0,19.0,6.7,187.0,597.0,2641.0,28.0,4.4,171.0,110.0,965.0,8.0,0.0,0.0
Houston Oilers,460.0,5632.0,1031.0,5.5,29.0,15.0,332.0,252.0,424.0,2845.0,26.0,14.0,6.3,150.0,576.0,2787.0,23.0,4.8,161.0,104.0,825.0,21.0,0.0,0.0
