Tm,PF_Defense,TotalYds_Defense,Ply_Defense,Y/Play_Defense,TO_Defense,FL_Defense,1stD_Defense,Cmp_Defense,PassAtt_Defense,PassYds_Defense,PassTD_Defense,Int_Defense,NY/A_Defense,1stDpass_Defense,RushAtt_Defense,RushYds_Defense,RushTD_Defense,Y/Arun_Defense,1stDrun_Defense,Pen_Defense,PenYds_Defense,1stPy_Defense,Sc%_Defense,TO%_Defense
Kansas City Chiefs,241.0,4549.0,1047.0,4.3,33.0,17.0,289.0,329.0,596.0,3222.0,16.0,16.0,5.0,178.0,404.0,1327.0,7.0,3.3,83.0,108.0,828.0,28.0,0.0,0.0
San Francisco 49ers,258.0,4398.0,999.0,4.4,34.0,8.0,264.0,330.0,611.0,3337.0,19.0,26.0,5.1,192.0,348.0,1061.0,5.0,3.0,57.0,74.0,556.0,15.0,0.0,0.0
Dallas Cowboys,291.0,5044.0,1001.0,5.0,25.0,6.0,303.0,293.0,523.0,3272.0,17.0,19.0,5.9,165.0,442.0,1772.0,13.0,4.0,113.0,112.0,913.0,25.0,0.0,0.0
Green Bay Packers,314.0,5155.0,1029.0,5.0,16.0,3.0,303.0,351.0,616.0,3640.0,25.0,13.0,5.6,188.0,374.0,1515.0,12.0,4.1,99.0,98.0,738.0,16.0,0.0,0.0
Indianapolis Colts,316.0,5027.0,1016.0,4.9,26.0,13.0,304.0,336.0,569.0,3570.0,23.0,13.0,6.0,182.0,418.0,1457.0,8.0,3.5,92.0,111.0,935.0,30.0,0.0,0.0
San Diego Chargers,323.0,5074.0,1020.0,5.0,27.0,10.0,313.0,321.0,543.0,3383.0,16.0,17.0,5.8,178.0,441.0,1691.0,15.0,3.8,112.0,117.0,951.0,23.0,0.0,0.0
Houston Oilers,324.0,4651.0,983.0,4.7,38.0,17.0,267.0,289.0,553.0,3125.0,24.0,21.0,5.4,157.0,400.0,1526.0,11.0,3.8,85.0,118.0,962.0,25.0,0.0,0.0
Carolina Panthers,325.0,5027.0,1072.0,4.7,37.0,16.0,288.0,310.0,586.0,3451.0,15.0,21.0,5.5,175.0,450.0,1576.0,17.0,3.5,99.0,112.0,808.0,14.0,0.0,0.0
Pittsburgh Steelers,327.0,4561.0,943.0,4.8,34.0,12.0,272.0,314.0,531.0,3240.0,24.0,22.0,5.7,181.0,370.0,1321.0,9.0,3.6,67.0,101.0,931.0,24.0,0.0,0.0
Miami Dolphins,332.0,5244.0,1000.0,5.2,30.0,16.0,309.0,327.0,556.0,3569.0,30.0,14.0,6.1,192.0,415.0,1675.0,7.0,4.0,93.0,82.0,739.0,24.0,0.0,0.0
Oakland Raiders,332.0,5104.0,1016.0,5.0,33.0,22.0,293.0,301.0,527.0,3310.0,14.0,11.0,5.8,177.0,446.0,1794.0,15.0,4.0,90.0,94.0,730.0,26.0,0.0,0.0
