Tm,PF_Defense,TotalYds_Defense,Ply_Defense,Y/Play_Defense,TO_Defense,FL_Defense,1stD_Defense,Cmp_Defense,PassAtt_Defense,PassYds_Defense,PassTD_Defense,Int_Defense,NY/A_Defense,1stDpass_Defense,RushAtt_Defense,RushYds_Defense,RushTD_Defense,Y/Arun_Defense,1stDrun_Defense,Pen_Defense,PenYds_Defense,1stPy_Defense,Sc%_Defense,TO%_Defense
New Orleans Saints,202.0,4075.0,949.0,4.3,38.0,20.0,246.0,287.0,511.0,2470.0,13.0,18.0,4.3,146.0,381.0,1605.0,8.0,4.2,86.0,77.0,729.0,14.0,0.0,0.0
Pittsburgh Steelers,225.0,4658.0,949.0,4.9,43.0,21.0,266.0,252.0,478.0,2817.0,15.0,22.0,5.5,146.0,435.0,1841.0,6.0,4.2,99.0,104.0,814.0,21.0,0.0,0.0
San Francisco 49ers,236.0,4787.0,943.0,5.1,29.0,12.0,277.0,320.0,551.0,3369.0,20.0,17.0,5.7,174.0,351.0,1418.0,5.0,4.0,90.0,79.0,651.0,13.0,0.0,0.0
San Diego Chargers,241.0,4227.0,907.0,4.7,36.0,11.0,250.0,271.0,491.0,2832.0,17.0,25.0,5.2,157.0,365.0,1395.0,10.0,3.8,80.0,98.0,798.0,13.0,0.0,0.0
Dallas Cowboys,243.0,3931.0,873.0,4.5,31.0,14.0,241.0,263.0,484.0,2687.0,16.0,17.0,5.1,147.0,345.0,1244.0,11.0,3.6,68.0,94.0,727.0,26.0,0.0,0.0
Philadelphia Eagles,245.0,4412.0,959.0,4.6,37.0,13.0,242.0,263.0,517.0,2931.0,20.0,24.0,5.1,146.0,387.0,1481.0,4.0,3.8,73.0,86.0,683.0,23.0,0.0,0.0
Minnesota Vikings,249.0,4515.0,997.0,4.5,42.0,14.0,293.0,320.0,508.0,2782.0,12.0,28.0,5.0,154.0,438.0,1733.0,11.0,4.0,113.0,98.0,768.0,26.0,0.0,0.0
Washington Redskins,255.0,4438.0,911.0,4.9,34.0,11.0,249.0,258.0,466.0,2742.0,15.0,23.0,5.4,138.0,406.0,1696.0,11.0,4.2,89.0,85.0,709.0,22.0,0.0,0.0
Houston Oilers,258.0,4211.0,907.0,4.6,31.0,11.0,254.0,248.0,445.0,2577.0,20.0,20.0,5.2,139.0,412.0,1634.0,6.0,4.0,93.0,114.0,886.0,22.0,0.0,0.0
Cleveland Browns,275.0,4757.0,963.0,4.9,33.0,20.0,281.0,291.0,486.0,3152.0,23.0,13.0,5.9,170.0,429.0,1605.0,5.0,3.7,86.0,93.0,764.0,25.0,0.0,0.0
Miami Dolphins,281.0,4583.0,976.0,4.7,32.0,14.0,273.0,294.0,512.0,2983.0,16.0,18.0,5.4,168.0,428.0,1600.0,9.0,3.7,92.0,89.0,679.0,13.0,0.0,0.0
Los Angeles Raiders,281.0,4516.0,974.0,4.6,19.0,7.0,264.0,243.0,450.0,2833.0,11.0,12.0,5.7,135.0,478.0,1683.0,17.0,3.5,104.0,98.0,755.0,25.0,0.0,0.0
Kansas City Chiefs,282.0,4324.0,949.0,4.6,39.0,15.0,256.0,253.0,458.0,2537.0,19.0,24.0,5.0,145.0,441.0,1787.0,12.0,4.1,97.0,124.0,959.0,14.0,0.0,0.0
Buffalo Bills,283.0,4604.0,991.0,4.6,35.0,12.0,278.0,305.0,520.0,3209.0,19.0,23.0,5.7,185.0,427.0,1395.0,8.0,3.3,77.0,118.0,933.0,16.0,0.0,0.0
Green Bay Packers,296.0,5098.0,923.0,5.5,34.0,19.0,277.0,277.0,483.0,3277.0,16.0,15.0,6.3,170.0,406.0,1821.0,12.0,4.5,89.0,98.0,830.0,18.0,0.0,0.0
Indianapolis Colts,302.0,5074.0,1004.0,5.1,35.0,15.0,314.0,260.0,470.0,2900.0,14.0,20.0,5.7,164.0,495.0,2174.0,16.0,4.4,129.0,101.0,836.0,21.0,0.0,0.0
Seattle Seahawks,312.0,4583.0,987.0,4.6,31.0,11.0,247.0,251.0,428.0,2661.0,11.0,20.0,5.6,129.0,513.0,1922.0,14.0,3.7,96.0,100.0,776.0,22.0,0.0,0.0
New York Jets,315.0,4880.0,961.0,5.1,39.0,18.0,276.0,257.0,465.0,2961.0,19.0,21.0,5.9,146.0,460.0,1919.0,13.0,4.2,110.0,82.0,808.0,20.0,0.0,0.0
Denver Broncos,329.0,5083.0,1001.0,5.1,31.0,16.0,283.0,268.0,462.0,3120.0,21.0,15.0,6.1,156.0,489.0,1963.0,10.0,4.0,105.0,96.0,715.0,22.0,0.0,0.0
Phoenix Cardinals,332.0,5126.0,915.0,5.6,28.0,12.0,281.0,276.0,452.0,3491.0,24.0,16.0,7.3,163.0,436.0,1635.0,13.0,3.8,101.0,100.0,826.0,17.0,0.0,0.0
Detroit Lions,332.0,5058.0,976.0,5.2,32.0,11.0,308.0,296.0,487.0,3217.0,20.0,21.0,6.2,168.0,460.0,1841.0,14.0,4.0,119.0,111.0,871.0,21.0,0.0,0.0
Chicago Bears,361.0,4952.0,953.0,5.2,30.0,16.0,274.0,261.0,442.0,3004.0,20.0,14.0,6.2,144.0,468.0,1948.0,14.0,4.2,109.0,90.0,780.0,21.0,0.0,0.0
New England Patriots,363.0,5048.0,1000.0,5.0,29.0,15.0,292.0,258.0,459.0,3097.0,22.0,14.0,6.5,149.0,521.0,1951.0,15.0,3.7,112.0,90.0,673.0,31.0,0.0,0.0
Cincinnati Bengals,364.0,5333.0,1024.0,5.2,33.0,17.0,319.0,288.0,489.0,3326.0,24.0,16.0,6.2,168.0,490.0,2007.0,15.0,4.1,126.0,95.0,797.0,25.0,0.0,0.0
Tampa Bay Buccaneers,365.0,5185.0,985.0,5.3,33.0,13.0,296.0,293.0,508.0,3510.0,25.0,20.0,6.5,175.0,441.0,1675.0,15.0,3.8,100.0,74.0,563.0,21.0,0.0,0.0
New York Giants,367.0,5043.0,923.0,5.5,26.0,12.0,287.0,270.0,440.0,3031.0,22.0,14.0,6.5,155.0,458.0,2012.0,17.0,4.4,115.0,93.0,744.0,17.0,0.0,0.0
Los Angeles Rams,383.0,5523.0,1005.0,5.5,33.0,15.0,319.0,305.0,507.0,3293.0,18.0,18.0,6.1,175.0,467.0,2230.0,22.0,4.8,130.0,102.0,778.0,14.0,0.0,0.0
Atlanta Falcons,414.0,5549.0,934.0,5.9,23.0,12.0,304.0,277.0,439.0,3255.0,24.0,11.0,6.9,172.0,464.0,2294.0,20.0,4.9,109.0,92.0,761.0,23.0,0.0,0.0
Avg Team,299.7,4770.5,958.5,5.0,32.7,14.2,276.7,275.2,478.9,3002.3,18.4,18.5,5.8,156.6,439.0,1768.2,11.9,4.0,99.9,95.75,771.8928571428571,20.2,0.0,0.0
