Tm,PF_Defense,TotalYds_Defense,Ply_Defense,Y/Play_Defense,TO_Defense,FL_Defense,1stD_Defense,Cmp_Defense,PassAtt_Defense,PassYds_Defense,PassTD_Defense,Int_Defense,NY/A_Defense,1stDpass_Defense,RushAtt_Defense,RushYds_Defense,RushTD_Defense,Y/Arun_Defense,1stDrun_Defense,Pen_Defense,PenYds_Defense,1stPy_Defense,Sc%_Defense,TO%_Defense
Indianapolis Colts,238.0,4550.0,1003.0,4.5,45.0,25.0,276.0,250.0,501.0,2760.0,19.0,20.0,5.1,161.0,463.0,1790.0,6.0,3.9,97.0,85.0,689.0,18.0,0.0,0.0
Cleveland Browns,239.0,4264.0,902.0,4.7,36.0,13.0,251.0,246.0,467.0,2831.0,15.0,23.0,5.7,134.0,401.0,1433.0,7.0,3.6,86.0,120.0,1008.0,31.0,0.0,0.0
San Francisco 49ers,253.0,4095.0,933.0,4.4,38.0,13.0,250.0,224.0,467.0,2484.0,13.0,25.0,4.9,132.0,429.0,1611.0,8.0,3.8,95.0,80.0,660.0,23.0,0.0,0.0
Chicago Bears,282.0,4215.0,989.0,4.3,24.0,11.0,261.0,255.0,507.0,2802.0,24.0,13.0,4.9,158.0,412.0,1413.0,5.0,3.4,77.0,120.0,1108.0,26.0,0.0,0.0
New Orleans Saints,283.0,4350.0,924.0,4.7,48.0,18.0,270.0,246.0,489.0,2800.0,25.0,30.0,5.2,155.0,388.0,1550.0,6.0,4.0,81.0,84.0,685.0,34.0,0.0,0.0
Washington Redskins,285.0,5022.0,1021.0,4.9,34.0,11.0,296.0,276.0,527.0,3343.0,19.0,23.0,5.8,177.0,441.0,1679.0,10.0,3.8,104.0,97.0,801.0,15.0,0.0,0.0
Denver Broncos,288.0,4813.0,941.0,5.1,47.0,19.0,277.0,261.0,456.0,2796.0,15.0,28.0,5.7,148.0,454.0,2017.0,16.0,4.4,103.0,96.0,785.0,26.0,0.0,0.0
Los Angeles Raiders,289.0,4364.0,938.0,4.7,28.0,15.0,267.0,224.0,425.0,2727.0,18.0,13.0,5.8,135.0,469.0,1637.0,12.0,3.5,98.0,95.0,652.0,34.0,0.0,0.0
New England Patriots,293.0,4877.0,1053.0,4.6,42.0,21.0,293.0,273.0,520.0,3099.0,17.0,21.0,5.5,159.0,490.0,1778.0,13.0,3.6,112.0,110.0,846.0,22.0,0.0,0.0
Pittsburgh Steelers,299.0,4920.0,962.0,5.1,44.0,17.0,289.0,290.0,481.0,3310.0,22.0,27.0,6.5,170.0,455.0,1610.0,8.0,3.5,94.0,95.0,771.0,25.0,0.0,0.0
