Tm,PF_Defense,TotalYds_Defense,Ply_Defense,Y/Play_Defense,TO_Defense,FL_Defense,1stD_Defense,Cmp_Defense,PassAtt_Defense,PassYds_Defense,PassTD_Defense,Int_Defense,NY/A_Defense,1stDpass_Defense,RushAtt_Defense,RushYds_Defense,RushTD_Defense,Y/Arun_Defense,1stDrun_Defense,Pen_Defense,PenYds_Defense,1stPy_Defense,Sc%_Defense,TO%_Defense,ExpectedPoints_Defense
Pittsburgh Steelers,227.0,4348.0,964.0,4.5,15.0,4.0,264.0,289.0,530.0,2751.0,15.0,11.0,4.9,156.0,399.0,1597.0,7.0,4.0,82.0,96.0,777.0,26.0,26.0,8.3,35.32
San Francisco 49ers,229.0,4931.0,974.0,5.1,38.0,15.0,267.0,333.0,579.0,3695.0,20.0,23.0,6.0,190.0,353.0,1236.0,3.0,3.5,53.0,98.0,867.0,24.0,23.3,18.7,95.67
Baltimore Ravens,266.0,4622.0,1002.0,4.6,26.0,11.0,269.0,288.0,535.0,3140.0,11.0,15.0,5.4,166.0,419.0,1482.0,10.0,3.5,79.0,103.0,1032.0,24.0,26.6,13.8,133.31
Houston Texans,278.0,4571.0,960.0,4.8,27.0,10.0,270.0,279.0,538.0,3035.0,18.0,17.0,5.2,166.0,378.0,1536.0,8.0,4.1,73.0,88.0,686.0,31.0,29.8,13.8,99.11
Cleveland Browns,307.0,5318.0,1035.0,5.1,20.0,11.0,301.0,265.0,469.0,2959.0,16.0,9.0,5.9,149.0,534.0,2359.0,12.0,4.4,124.0,90.0,726.0,28.0,33.3,11.5,-17.46
Miami Dolphins,313.0,5522.0,1043.0,5.3,19.0,3.0,310.0,350.0,590.0,3992.0,24.0,16.0,6.3,198.0,412.0,1530.0,8.0,3.7,88.0,112.0,975.0,24.0,29.7,8.7,10.24
Seattle Seahawks,315.0,5315.0,1049.0,5.1,31.0,9.0,310.0,324.0,543.0,3518.0,18.0,22.0,6.1,174.0,473.0,1797.0,10.0,3.8,96.0,96.0,907.0,40.0,28.6,14.8,54.83
Tennessee Titans,317.0,5682.0,1080.0,5.3,23.0,12.0,324.0,369.0,591.0,3629.0,21.0,11.0,5.9,187.0,461.0,2053.0,10.0,4.5,111.0,99.0,812.0,26.0,31.0,12.3,-2.54
Cincinnati Bengals,323.0,5060.0,1009.0,5.0,22.0,12.0,284.0,319.0,539.0,3385.0,21.0,10.0,5.8,170.0,425.0,1675.0,14.0,3.9,94.0,101.0,878.0,20.0,28.5,11.0,32.41
Philadelphia Eagles,328.0,5198.0,982.0,5.3,24.0,9.0,289.0,301.0,518.0,3397.0,27.0,15.0,6.0,173.0,414.0,1801.0,11.0,4.4,84.0,97.0,813.0,32.0,27.7,12.3,20.35
Jacksonville Jaguars,329.0,5008.0,979.0,5.1,28.0,11.0,268.0,326.0,513.0,3341.0,21.0,17.0,6.1,175.0,435.0,1667.0,14.0,3.8,73.0,105.0,895.0,20.0,29.2,13.3,53.14
Kansas City Chiefs,338.0,5333.0,991.0,5.4,26.0,6.0,291.0,257.0,454.0,3221.0,23.0,20.0,6.7,169.0,508.0,2112.0,14.0,4.2,96.0,108.0,834.0,26.0,31.9,13.8,9.95
New Orleans Saints,339.0,5895.0,1010.0,5.8,16.0,7.0,326.0,362.0,626.0,4157.0,24.0,9.0,6.3,196.0,351.0,1738.0,11.0,5.0,92.0,109.0,912.0,38.0,34.1,8.8,-68.42
Chicago Bears,341.0,5607.0,1048.0,5.4,31.0,11.0,291.0,383.0,631.0,4065.0,22.0,20.0,6.1,199.0,384.0,1542.0,10.0,4.0,75.0,98.0,719.0,17.0,30.5,14.3,61.1
New England Patriots,342.0,6577.0,1064.0,6.2,34.0,11.0,370.0,386.0,619.0,4703.0,26.0,23.0,7.1,245.0,405.0,1874.0,13.0,4.6,101.0,115.0,907.0,24.0,32.6,17.1,-84.74
Dallas Cowboys,347.0,5491.0,972.0,5.6,25.0,10.0,305.0,336.0,545.0,3906.0,24.0,15.0,6.7,199.0,385.0,1585.0,10.0,4.1,78.0,85.0,650.0,28.0,33.3,13.3,-24.08
