Tm,PF_Defense,TotalYds_Defense,Ply_Defense,Y/Play_Defense,TO_Defense,FL_Defense,1stD_Defense,Cmp_Defense,PassAtt_Defense,PassYds_Defense,PassTD_Defense,Int_Defense,NY/A_Defense,1stDpass_Defense,RushAtt_Defense,RushYds_Defense,RushTD_Defense,Y/Arun_Defense,1stDrun_Defense,Pen_Defense,PenYds_Defense,1stPy_Defense,Sc%_Defense,TO%_Defense,ExpectedPoints_Defense
Pittsburgh Steelers,223.0,3795.0,974.0,3.9,29.0,9.0,240.0,301.0,533.0,2511.0,12.0,20.0,4.3,149.0,390.0,1284.0,7.0,3.3,73.0,91.0,801.0,18.0,22.9,14.4,207.33
Tennessee Titans,234.0,4698.0,1022.0,4.6,31.0,11.0,276.0,342.0,575.0,3196.0,12.0,20.0,5.2,166.0,403.0,1502.0,12.0,3.7,81.0,93.0,750.0,29.0,23.2,15.5,106.35
Baltimore Ravens,244.0,4177.0,928.0,4.5,34.0,8.0,228.0,276.0,528.0,2875.0,17.0,26.0,5.1,152.0,366.0,1302.0,4.0,3.6,58.0,114.0,792.0,18.0,21.5,17.4,245.0
Philadelphia Eagles,289.0,4389.0,994.0,4.4,29.0,14.0,248.0,284.0,525.0,2913.0,19.0,15.0,5.1,144.0,421.0,1476.0,7.0,3.5,79.0,81.0,598.0,25.0,25.3,13.6,169.75
New York Giants,294.0,4672.0,931.0,5.0,22.0,5.0,268.0,296.0,503.0,3139.0,17.0,17.0,5.8,165.0,386.0,1533.0,14.0,4.0,78.0,111.0,866.0,25.0,28.9,12.1,28.74
Washington Redskins,296.0,4621.0,933.0,5.0,18.0,5.0,259.0,290.0,511.0,3095.0,16.0,13.0,5.8,159.0,398.0,1526.0,12.0,3.8,86.0,80.0,639.0,14.0,29.5,10.2,27.77
Indianapolis Colts,298.0,4975.0,983.0,5.1,26.0,11.0,305.0,329.0,481.0,3009.0,6.0,15.0,5.9,165.0,472.0,1966.0,18.0,4.2,119.0,68.0,543.0,21.0,37.3,17.0,-31.05
New England Patriots,309.0,4944.0,920.0,5.4,22.0,8.0,268.0,288.0,474.0,3222.0,27.0,14.0,6.4,176.0,415.0,1722.0,8.0,4.1,78.0,81.0,636.0,14.0,30.6,12.9,-23.69
Miami Dolphins,317.0,5264.0,979.0,5.4,30.0,12.0,296.0,320.0,551.0,3644.0,18.0,18.0,6.2,173.0,388.0,1620.0,11.0,4.2,96.0,86.0,615.0,27.0,35.2,16.4,-8.97
Tampa Bay Buccaneers,323.0,4898.0,945.0,5.2,30.0,8.0,259.0,276.0,475.0,2997.0,23.0,22.0,5.9,153.0,441.0,1901.0,8.0,4.3,87.0,88.0,660.0,19.0,30.7,14.6,77.11
Atlanta Falcons,325.0,5566.0,998.0,5.6,18.0,8.0,309.0,325.0,549.0,3526.0,20.0,10.0,6.0,189.0,415.0,2040.0,17.0,4.9,108.0,109.0,854.0,12.0,32.0,9.0,-46.95
Carolina Panthers,329.0,5299.0,1026.0,5.2,25.0,13.0,296.0,333.0,557.0,3387.0,19.0,12.0,5.7,178.0,432.0,1912.0,14.0,4.4,100.0,88.0,736.0,18.0,30.8,12.4,8.47
Minnesota Vikings,333.0,4679.0,946.0,4.9,25.0,13.0,255.0,324.0,530.0,3449.0,15.0,12.0,6.0,163.0,371.0,1230.0,10.0,3.3,72.0,109.0,1002.0,20.0,27.7,12.6,79.68
Buffalo Bills,342.0,5217.0,971.0,5.4,22.0,12.0,293.0,301.0,492.0,3271.0,14.0,10.0,6.3,167.0,455.0,1946.0,18.0,4.3,113.0,72.0,540.0,13.0,36.9,11.2,1.03
San Diego Chargers,347.0,5599.0,1041.0,5.4,24.0,9.0,339.0,411.0,605.0,3958.0,25.0,15.0,6.3,213.0,408.0,1641.0,11.0,4.0,98.0,78.0,708.0,28.0,35.5,13.0,-51.55
Chicago Bears,350.0,5355.0,1087.0,4.9,32.0,10.0,314.0,383.0,622.0,3859.0,21.0,22.0,5.9,208.0,437.0,1496.0,16.0,3.4,93.0,100.0,827.0,13.0,30.4,14.0,57.29
Cleveland Browns,350.0,5704.0,1004.0,5.7,31.0,8.0,315.0,286.0,446.0,3273.0,19.0,23.0,7.1,176.0,541.0,2431.0,16.0,4.5,125.0,95.0,770.0,14.0,31.6,17.5,-41.83
New York Jets,356.0,5270.0,1020.0,5.2,30.0,16.0,315.0,368.0,572.0,3752.0,23.0,14.0,6.1,209.0,407.0,1518.0,10.0,3.7,86.0,93.0,663.0,20.0,33.3,16.9,24.32
Cincinnati Bengals,364.0,5208.0,1013.0,5.1,24.0,12.0,296.0,315.0,506.0,3287.0,23.0,12.0,6.3,169.0,490.0,1921.0,15.0,3.9,106.0,102.0,772.0,21.0,32.6,12.0,-4.81
Dallas Cowboys,365.0,4709.0,969.0,4.9,22.0,14.0,276.0,308.0,508.0,3003.0,19.0,8.0,5.3,163.0,402.0,1706.0,11.0,4.2,85.0,87.0,601.0,28.0,36.8,10.8,29.16
Jacksonville Jaguars,367.0,5295.0,922.0,5.7,17.0,4.0,289.0,297.0,465.0,3586.0,25.0,13.0,7.3,166.0,428.0,1709.0,14.0,4.0,98.0,80.0,691.0,25.0,38.8,9.4,-70.01
Green Bay Packers,380.0,5349.0,1003.0,5.3,28.0,6.0,295.0,287.0,518.0,3244.0,22.0,22.0,6.0,141.0,458.0,2105.0,20.0,4.6,121.0,89.0,721.0,33.0,34.9,14.1,7.01
San Francisco 49ers,381.0,5216.0,1027.0,5.1,18.0,6.0,293.0,331.0,545.0,3507.0,22.0,12.0,6.1,170.0,452.0,1709.0,14.0,3.8,104.0,111.0,869.0,19.0,38.6,9.8,-17.81
Oakland Raiders,388.0,5775.0,1045.0,5.5,24.0,8.0,325.0,266.0,471.0,3220.0,20.0,16.0,6.4,166.0,542.0,2555.0,23.0,4.7,129.0,74.0,633.0,30.0,34.4,11.5,-81.16
Seattle Seahawks,392.0,6048.0,1058.0,5.7,20.0,11.0,324.0,366.0,566.0,4149.0,25.0,9.0,6.9,207.0,457.0,1899.0,13.0,4.2,98.0,81.0,671.0,19.0,40.1,10.2,-68.09
New Orleans Saints,393.0,5432.0,999.0,5.4,22.0,7.0,299.0,299.0,526.0,3547.0,21.0,15.0,6.4,180.0,445.0,1885.0,14.0,4.2,100.0,84.0,637.0,19.0,39.7,11.5,-64.42
Houston Texans,394.0,5385.0,935.0,5.8,22.0,10.0,300.0,294.0,471.0,3423.0,24.0,12.0,6.9,167.0,439.0,1962.0,18.0,4.5,114.0,81.0,659.0,19.0,38.3,12.0,-85.98
Arizona Cardinals,426.0,5304.0,993.0,5.3,30.0,17.0,312.0,323.0,517.0,3540.0,36.0,13.0,6.5,172.0,445.0,1764.0,13.0,4.0,117.0,98.0,816.0,23.0,38.7,15.5,-36.28
Kansas City Chiefs,440.0,6291.0,1041.0,6.0,29.0,16.0,344.0,348.0,522.0,3748.0,21.0,13.0,7.0,195.0,509.0,2543.0,25.0,5.0,133.0,81.0,588.0,16.0,43.6,15.5,-83.5
Denver Broncos,448.0,5993.0,990.0,6.1,13.0,7.0,327.0,333.0,495.0,3656.0,20.0,6.0,7.0,186.0,469.0,2337.0,26.0,5.0,122.0,83.0,738.0,19.0,46.4,7.7,-156.99
St. Louis Rams,465.0,5950.0,975.0,6.1,26.0,14.0,320.0,278.0,444.0,3475.0,20.0,12.0,7.3,158.0,501.0,2475.0,26.0,4.9,146.0,89.0,654.0,16.0,41.6,13.0,-91.58
Detroit Lions,517.0,6470.0,1009.0,6.4,20.0,16.0,350.0,303.0,443.0,3716.0,25.0,4.0,7.9,188.0,536.0,2754.0,31.0,5.1,147.0,91.0,753.0,15.0,45.3,8.4,-199.77
Avg Team,352.5,5235.8,990.0,5.3,24.8,10.3,294.8,315.0,516.4,3380.5,20.2,14.5,6.2,172.9,441.2,1855.3,14.9,4.2,101.6,89.625,712.59375,20.3,34.159375,12.878125,-2.982187499999998
