Tm,PF_Defense,TotalYds_Defense,Ply_Defense,Y/Play_Defense,TO_Defense,FL_Defense,1stD_Defense,Cmp_Defense,PassAtt_Defense,PassYds_Defense,PassTD_Defense,Int_Defense,NY/A_Defense,1stDpass_Defense,RushAtt_Defense,RushYds_Defense,RushTD_Defense,Y/Arun_Defense,1stDrun_Defense,Pen_Defense,PenYds_Defense,1stPy_Defense,Sc%_Defense,TO%_Defense
Kansas City Chiefs,232.0,4880.0,974.0,5.0,34.0,13.0,278.0,271.0,507.0,3259.0,15.0,21.0,5.8,158.0,413.0,1621.0,8.0,3.9,94.0,113.0,977.0,26.0,0.0,0.0
Tampa Bay Buccaneers,263.0,4628.0,982.0,4.7,26.0,13.0,265.0,325.0,518.0,3011.0,13.0,13.0,5.4,155.0,420.0,1617.0,10.0,3.9,96.0,93.0,814.0,14.0,0.0,0.0
New York Giants,265.0,5067.0,1082.0,4.7,44.0,17.0,310.0,325.0,596.0,3616.0,10.0,27.0,5.6,195.0,432.0,1451.0,17.0,3.4,82.0,122.0,1056.0,33.0,0.0,0.0
San Francisco 49ers,265.0,4013.0,949.0,4.2,41.0,16.0,242.0,258.0,509.0,2647.0,23.0,25.0,4.7,145.0,386.0,1366.0,5.0,3.5,67.0,91.0,742.0,30.0,0.0,0.0
Green Bay Packers,282.0,4827.0,1047.0,4.6,32.0,11.0,288.0,288.0,563.0,2951.0,10.0,21.0,4.9,156.0,443.0,1876.0,16.0,4.2,105.0,114.0,945.0,27.0,0.0,0.0
New York Jets,287.0,5320.0,1057.0,5.0,25.0,7.0,301.0,304.0,558.0,3421.0,23.0,18.0,5.8,177.0,470.0,1899.0,9.0,4.0,103.0,99.0,832.0,21.0,0.0,0.0
Denver Broncos,287.0,4671.0,951.0,4.9,31.0,13.0,258.0,290.0,526.0,2868.0,20.0,18.0,5.0,145.0,381.0,1803.0,10.0,4.7,83.0,130.0,1118.0,30.0,0.0,0.0
Washington Redskins,289.0,5030.0,1058.0,4.8,30.0,14.0,292.0,267.0,513.0,2818.0,14.0,16.0,5.1,149.0,508.0,2212.0,15.0,4.4,129.0,96.0,849.0,14.0,0.0,0.0
New England Patriots,289.0,5085.0,1100.0,4.6,32.0,13.0,322.0,368.0,619.0,3469.0,14.0,19.0,5.2,183.0,436.0,1616.0,16.0,3.7,114.0,106.0,763.0,25.0,0.0,0.0
Detroit Lions,306.0,4947.0,1021.0,4.8,25.0,8.0,268.0,281.0,507.0,3114.0,15.0,17.0,5.7,152.0,471.0,1833.0,15.0,3.9,98.0,112.0,841.0,18.0,0.0,0.0
Pittsburgh Steelers,307.0,4705.0,1005.0,4.7,34.0,14.0,285.0,295.0,554.0,3387.0,24.0,20.0,5.6,177.0,403.0,1318.0,5.0,3.3,82.0,90.0,708.0,26.0,0.0,0.0
Tennessee Oilers,310.0,5231.0,992.0,5.3,32.0,18.0,292.0,321.0,543.0,3658.0,21.0,14.0,6.3,193.0,414.0,1573.0,12.0,3.8,79.0,94.0,830.0,20.0,0.0,0.0
Carolina Panthers,314.0,4980.0,1023.0,4.9,22.0,11.0,290.0,260.0,490.0,3007.0,17.0,11.0,5.7,163.0,497.0,1973.0,12.0,4.0,112.0,97.0,757.0,15.0,0.0,0.0
Dallas Cowboys,314.0,4516.0,1022.0,4.4,19.0,12.0,281.0,253.0,473.0,2522.0,20.0,7.0,4.9,139.0,511.0,1994.0,12.0,3.9,104.0,99.0,757.0,38.0,0.0,0.0
Jacksonville Jaguars,318.0,5238.0,1035.0,5.1,29.0,15.0,318.0,320.0,532.0,3504.0,24.0,14.0,6.0,190.0,455.0,1734.0,12.0,3.8,107.0,90.0,800.0,21.0,0.0,0.0
New Orleans Saints,327.0,4645.0,1073.0,4.3,31.0,15.0,280.0,293.0,518.0,2881.0,21.0,16.0,5.0,168.0,496.0,1764.0,11.0,3.6,95.0,110.0,895.0,17.0,0.0,0.0
Miami Dolphins,327.0,5364.0,1004.0,5.3,27.0,17.0,299.0,329.0,530.0,3551.0,23.0,10.0,6.3,176.0,443.0,1813.0,9.0,4.1,106.0,92.0,892.0,17.0,0.0,0.0
Baltimore Ravens,345.0,5363.0,1068.0,5.0,28.0,11.0,306.0,332.0,556.0,3673.0,20.0,17.0,6.1,180.0,470.0,1690.0,17.0,3.6,101.0,106.0,828.0,25.0,0.0,0.0
Minnesota Vikings,359.0,5687.0,1028.0,5.5,27.0,15.0,325.0,336.0,542.0,3704.0,28.0,12.0,6.3,195.0,442.0,1983.0,13.0,4.5,104.0,81.0,668.0,26.0,0.0,0.0
St. Louis Rams,359.0,5066.0,1021.0,5.0,39.0,14.0,296.0,288.0,543.0,3379.0,26.0,25.0,5.8,177.0,440.0,1687.0,10.0,3.8,84.0,133.0,1064.0,35.0,0.0,0.0
Atlanta Falcons,361.0,5106.0,960.0,5.3,28.0,10.0,274.0,275.0,496.0,3440.0,24.0,18.0,6.2,180.0,409.0,1666.0,18.0,4.1,76.0,115.0,872.0,18.0,0.0,0.0
Seattle Seahawks,362.0,4849.0,959.0,5.1,29.0,16.0,286.0,276.0,462.0,3118.0,19.0,13.0,6.2,166.0,455.0,1731.0,10.0,3.8,96.0,100.0,820.0,24.0,0.0,0.0
Buffalo Bills,367.0,4853.0,1041.0,4.7,22.0,7.0,265.0,287.0,502.0,3061.0,17.0,15.0,5.6,160.0,493.0,1792.0,11.0,3.6,85.0,98.0,992.0,20.0,0.0,0.0
Philadelphia Eagles,372.0,4932.0,1009.0,4.9,26.0,12.0,286.0,259.0,490.0,2923.0,20.0,14.0,5.5,150.0,476.0,2009.0,16.0,4.2,115.0,86.0,708.0,21.0,0.0,0.0
Arizona Cardinals,379.0,5426.0,1049.0,5.2,20.0,5.0,298.0,279.0,491.0,3246.0,23.0,15.0,6.2,167.0,524.0,2180.0,13.0,4.2,112.0,113.0,981.0,19.0,0.0,0.0
Indianapolis Colts,401.0,4854.0,928.0,5.2,25.0,13.0,280.0,261.0,453.0,2820.0,26.0,12.0,5.8,163.0,438.0,2034.0,18.0,4.6,95.0,102.0,861.0,22.0,0.0,0.0
Cincinnati Bengals,405.0,5682.0,1091.0,5.2,23.0,10.0,351.0,309.0,542.0,3459.0,30.0,13.0,6.0,188.0,514.0,2223.0,15.0,4.3,141.0,107.0,951.0,22.0,0.0,0.0
Oakland Raiders,419.0,6116.0,1108.0,5.5,22.0,12.0,345.0,324.0,552.0,3870.0,21.0,10.0,6.6,199.0,525.0,2246.0,19.0,4.3,121.0,117.0,977.0,25.0,0.0,0.0
Chicago Bears,421.0,4888.0,935.0,5.2,30.0,17.0,281.0,273.0,476.0,3030.0,25.0,13.0,5.9,156.0,421.0,1858.0,18.0,4.4,97.0,93.0,763.0,28.0,0.0,0.0
San Diego Chargers,425.0,5166.0,1048.0,4.9,26.0,11.0,308.0,297.0,568.0,3468.0,31.0,15.0,5.8,181.0,453.0,1698.0,12.0,3.7,92.0,101.0,784.0,35.0,0.0,0.0
Avg Team,331.9,5037.8,1020.7,4.9,28.6,12.7,292.3,294.8,524.3,3229.2,20.6,16.0,5.7,169.4,454.6,1808.7,12.8,4.0,99.2,103.33333333333331,861.5,23.7,0.0,0.0
