Tm,PF_Defense,TotalYds_Defense,Ply_Defense,Y/Play_Defense,TO_Defense,FL_Defense,1stD_Defense,Cmp_Defense,PassAtt_Defense,PassYds_Defense,PassTD_Defense,Int_Defense,NY/A_Defense,1stDpass_Defense,RushAtt_Defense,RushYds_Defense,RushTD_Defense,Y/Arun_Defense,1stDrun_Defense,Pen_Defense,PenYds_Defense,1stPy_Defense,Sc%_Defense,TO%_Defense
New York Giants,205.0,4663.0,950.0,4.9,28.0,10.0,268.0,298.0,514.0,3116.0,13.0,18.0,5.6,161.0,395.0,1547.0,7.0,3.9,89.0,98.0,820.0,18.0,0.0,0.0
Dallas Cowboys,229.0,4767.0,1012.0,4.7,28.0,14.0,297.0,334.0,555.0,3116.0,14.0,14.0,5.3,176.0,423.0,1651.0,7.0,3.9,94.0,87.0,653.0,27.0,0.0,0.0
Chicago Bears,230.0,4653.0,1026.0,4.5,30.0,12.0,289.0,306.0,504.0,2818.0,12.0,18.0,5.1,163.0,476.0,1835.0,9.0,3.9,112.0,91.0,783.0,14.0,0.0,0.0
Houston Oilers,238.0,4874.0,1003.0,4.9,43.0,17.0,289.0,302.0,582.0,3601.0,16.0,26.0,5.7,184.0,369.0,1273.0,9.0,3.4,73.0,103.0,791.0,32.0,0.0,0.0
Buffalo Bills,242.0,5554.0,1119.0,5.0,47.0,24.0,331.0,323.0,582.0,3633.0,18.0,23.0,5.9,199.0,500.0,1921.0,7.0,3.8,114.0,99.0,681.0,18.0,0.0,0.0
New York Jets,247.0,4712.0,949.0,5.0,37.0,18.0,266.0,296.0,497.0,3239.0,15.0,19.0,6.1,161.0,420.0,1473.0,8.0,3.5,93.0,86.0,661.0,12.0,0.0,0.0
Phoenix Cardinals,269.0,5167.0,962.0,5.4,26.0,17.0,278.0,281.0,495.0,3306.0,14.0,9.0,6.2,158.0,433.0,1861.0,13.0,4.3,106.0,95.0,730.0,14.0,0.0,0.0
Pittsburgh Steelers,281.0,4531.0,962.0,4.7,38.0,14.0,267.0,277.0,521.0,3163.0,16.0,24.0,5.6,163.0,399.0,1368.0,6.0,3.4,74.0,77.0,652.0,30.0,0.0,0.0
Green Bay Packers,282.0,4482.0,999.0,4.5,33.0,15.0,261.0,290.0,529.0,2900.0,16.0,18.0,5.0,157.0,424.0,1582.0,6.0,3.7,88.0,85.0,712.0,16.0,0.0,0.0
Denver Broncos,284.0,5149.0,1005.0,5.1,31.0,13.0,280.0,314.0,562.0,3731.0,21.0,18.0,6.1,181.0,397.0,1418.0,6.0,3.6,86.0,128.0,1019.0,13.0,0.0,0.0
