Tm,PF_Defense,TotalYds_Defense,Ply_Defense,Y/Play_Defense,TO_Defense,FL_Defense,1stD_Defense,Cmp_Defense,PassAtt_Defense,PassYds_Defense,PassTD_Defense,Int_Defense,NY/A_Defense,1stDpass_Defense,RushAtt_Defense,RushYds_Defense,RushTD_Defense,Y/Arun_Defense,1stDrun_Defense,Pen_Defense,PenYds_Defense,1stPy_Defense,Sc%_Defense,TO%_Defense
New Orleans Saints,211.0,3933.0,875.0,4.5,48.0,19.0,214.0,259.0,491.0,2720.0,12.0,29.0,5.0,139.0,334.0,1213.0,6.0,3.6,63.0,95.0,711.0,12.0,0.0,0.0
Washington Redskins,224.0,4293.0,946.0,4.5,41.0,14.0,242.0,292.0,548.0,2947.0,13.0,27.0,4.9,151.0,348.0,1346.0,11.0,3.9,72.0,94.0,767.0,19.0,0.0,0.0
Denver Broncos,235.0,4549.0,939.0,4.8,33.0,10.0,242.0,246.0,476.0,2755.0,12.0,23.0,5.2,147.0,411.0,1794.0,8.0,4.4,81.0,105.0,848.0,14.0,0.0,0.0
San Francisco 49ers,239.0,4554.0,929.0,4.9,28.0,16.0,260.0,267.0,499.0,3042.0,16.0,12.0,5.7,155.0,399.0,1512.0,8.0,3.8,86.0,84.0,782.0,19.0,0.0,0.0
Philadelphia Eagles,244.0,3549.0,905.0,3.9,48.0,22.0,206.0,206.0,467.0,2413.0,16.0,26.0,4.6,133.0,383.0,1136.0,4.0,3.0,53.0,105.0,881.0,20.0,0.0,0.0
Houston Oilers,251.0,4748.0,984.0,4.8,38.0,18.0,280.0,310.0,532.0,3208.0,17.0,20.0,5.6,163.0,407.0,1540.0,8.0,3.8,94.0,109.0,797.0,23.0,0.0,0.0
Kansas City Chiefs,252.0,4998.0,927.0,5.4,33.0,18.0,275.0,279.0,471.0,3228.0,17.0,15.0,6.3,168.0,417.0,1770.0,8.0,4.2,88.0,110.0,827.0,19.0,0.0,0.0
Seattle Seahawks,261.0,4703.0,988.0,4.8,39.0,21.0,262.0,296.0,517.0,3019.0,18.0,18.0,5.5,159.0,435.0,1684.0,4.0,3.9,91.0,108.0,845.0,12.0,0.0,0.0
Chicago Bears,269.0,4507.0,942.0,4.8,30.0,13.0,254.0,286.0,513.0,2927.0,19.0,17.0,5.3,164.0,389.0,1580.0,9.0,4.1,77.0,94.0,891.0,13.0,0.0,0.0
New York Jets,293.0,4981.0,954.0,5.2,37.0,19.0,298.0,331.0,540.0,3539.0,21.0,18.0,6.2,185.0,379.0,1442.0,8.0,3.8,94.0,93.0,774.0,19.0,0.0,0.0
Detroit Lions,295.0,5046.0,1008.0,5.0,36.0,17.0,305.0,315.0,534.0,3286.0,16.0,19.0,5.8,189.0,444.0,1760.0,16.0,4.0,93.0,94.0,704.0,23.0,0.0,0.0
Los Angeles Raiders,297.0,5165.0,1002.0,5.2,31.0,13.0,305.0,295.0,513.0,3276.0,18.0,18.0,5.9,176.0,447.0,1889.0,13.0,4.2,108.0,111.0,905.0,21.0,0.0,0.0
New York Giants,297.0,4600.0,888.0,5.2,21.0,9.0,257.0,251.0,440.0,2874.0,17.0,12.0,6.1,138.0,414.0,1726.0,11.0,4.2,103.0,80.0,622.0,16.0,0.0,0.0
Cleveland Browns,298.0,5084.0,1004.0,5.1,33.0,18.0,298.0,312.0,522.0,3209.0,20.0,15.0,5.8,179.0,447.0,1875.0,12.0,4.2,100.0,103.0,770.0,19.0,0.0,0.0
