Tm,PF_Defense,TotalYds_Defense,Ply_Defense,Y/Play_Defense,TO_Defense,FL_Defense,1stD_Defense,Cmp_Defense,PassAtt_Defense,PassYds_Defense,PassTD_Defense,Int_Defense,NY/A_Defense,1stDpass_Defense,RushAtt_Defense,RushYds_Defense,RushTD_Defense,Y/Arun_Defense,1stDrun_Defense,Pen_Defense,PenYds_Defense,1stPy_Defense,Sc%_Defense,TO%_Defense,ExpectedPoints_Defense
Tampa Bay Buccaneers,196.0,4044.0,963.0,4.2,38.0,7.0,236.0,259.0,510.0,2490.0,10.0,31.0,4.5,131.0,410.0,1554.0,8.0,3.8,79.0,93.0,749.0,26.0,17.8,18.3,285.85
Philadelphia Eagles,241.0,4754.0,1009.0,4.7,38.0,23.0,272.0,333.0,563.0,3094.0,18.0,15.0,5.0,160.0,390.0,1660.0,5.0,4.3,83.0,112.0,969.0,29.0,20.6,18.0,171.25
New York Giants,279.0,4949.0,985.0,5.0,25.0,14.0,266.0,311.0,541.0,3119.0,17.0,11.0,5.4,162.0,407.0,1830.0,12.0,4.5,87.0,120.0,897.0,17.0,27.0,12.4,25.8
Miami Dolphins,301.0,4656.0,974.0,4.8,30.0,9.0,285.0,294.0,520.0,3102.0,20.0,21.0,5.5,162.0,407.0,1554.0,9.0,3.8,86.0,106.0,826.0,37.0,30.3,14.4,82.46
Carolina Panthers,302.0,4646.0,1022.0,4.5,33.0,16.0,271.0,293.0,522.0,2993.0,18.0,17.0,5.2,155.0,448.0,1653.0,12.0,3.7,95.0,98.0,782.0,21.0,25.5,14.2,137.99
Oakland Raiders,304.0,4979.0,997.0,5.0,31.0,10.0,319.0,346.0,570.0,3526.0,21.0,21.0,5.8,189.0,384.0,1453.0,14.0,3.8,96.0,103.0,787.0,34.0,28.7,16.6,44.85
Indianapolis Colts,313.0,4909.0,963.0,5.1,27.0,17.0,279.0,288.0,468.0,2917.0,19.0,10.0,5.8,148.0,459.0,1992.0,16.0,4.3,114.0,102.0,746.0,17.0,31.5,12.4,3.66
Atlanta Falcons,314.0,5334.0,1002.0,5.3,39.0,15.0,288.0,285.0,514.0,3287.0,23.0,24.0,5.9,171.0,441.0,2047.0,12.0,4.6,97.0,112.0,920.0,20.0,27.9,19.5,41.54
Jacksonville Jaguars,315.0,5335.0,1042.0,5.1,27.0,13.0,324.0,314.0,519.0,3264.0,19.0,14.0,5.9,188.0,487.0,2071.0,14.0,4.3,112.0,96.0,717.0,24.0,31.8,14.8,0.26
Cleveland Browns,320.0,5348.0,1024.0,5.2,29.0,12.0,291.0,299.0,513.0,3269.0,20.0,17.0,6.0,164.0,483.0,2079.0,12.0,4.3,107.0,91.0,726.0,20.0,31.7,13.2,-12.96
Tennessee Titans,324.0,4964.0,974.0,5.1,29.0,11.0,297.0,339.0,562.0,3540.0,27.0,18.0,5.9,197.0,372.0,1424.0,7.0,3.8,75.0,99.0,853.0,25.0,27.1,14.7,-2.71
Green Bay Packers,328.0,4985.0,987.0,5.1,45.0,21.0,294.0,287.0,531.0,2987.0,24.0,24.0,5.2,143.0,413.0,1998.0,14.0,4.8,122.0,98.0,945.0,29.0,27.3,21.7,87.72
Dallas Cowboys,329.0,5267.0,1079.0,4.9,30.0,11.0,291.0,334.0,574.0,3449.0,22.0,19.0,5.8,178.0,481.0,1818.0,10.0,3.8,90.0,119.0,919.0,23.0,28.2,13.9,61.73
New York Jets,336.0,5463.0,1008.0,5.4,23.0,8.0,313.0,359.0,551.0,3490.0,17.0,15.0,6.0,178.0,427.0,1973.0,17.0,4.6,116.0,99.0,809.0,19.0,36.4,12.7,-46.65
Denver Broncos,344.0,4826.0,985.0,4.9,22.0,13.0,298.0,360.0,566.0,3337.0,15.0,9.0,5.5,176.0,379.0,1489.0,21.0,3.9,100.0,99.0,829.0,22.0,34.5,10.7,-17.95
Pittsburgh Steelers,345.0,4835.0,982.0,4.9,36.0,17.0,279.0,336.0,573.0,3460.0,19.0,19.0,5.6,178.0,359.0,1375.0,16.0,3.8,77.0,106.0,927.0,24.0,29.8,16.5,53.01
New England Patriots,346.0,5377.0,1032.0,5.2,29.0,11.0,315.0,314.0,531.0,3179.0,23.0,18.0,5.6,158.0,467.0,2198.0,17.0,4.7,129.0,99.0,928.0,28.0,32.1,15.5,-5.88
San Francisco 49ers,351.0,5158.0,978.0,5.3,27.0,8.0,307.0,340.0,552.0,3506.0,23.0,19.0,6.0,188.0,394.0,1652.0,14.0,4.2,96.0,82.0,681.0,23.0,34.9,14.8,-60.4
