Tm,PF_Defense,TotalYds_Defense,Ply_Defense,Y/Play_Defense,TO_Defense,FL_Defense,1stD_Defense,Cmp_Defense,PassAtt_Defense,PassYds_Defense,PassTD_Defense,Int_Defense,NY/A_Defense,1stDpass_Defense,RushAtt_Defense,RushYds_Defense,RushTD_Defense,Y/Arun_Defense,1stDrun_Defense,Pen_Defense,PenYds_Defense,1stPy_Defense,Sc%_Defense,TO%_Defense,ExpectedPoints_Defense
Indianapolis Colts,262.0,4475.0,980.0,4.6,37.0,15.0,288.0,325.0,498.0,2764.0,16.0,22.0,5.3,162.0,454.0,1711.0,10.0,3.8,111.0,85.0,722.0,15.0,25.3,21.6,42.77
Pittsburgh Steelers,269.0,4262.0,933.0,4.6,25.0,14.0,249.0,292.0,536.0,2824.0,22.0,11.0,4.9,158.0,361.0,1438.0,6.0,4.0,74.0,73.0,556.0,17.0,26.3,13.1,86.45
Tampa Bay Buccaneers,270.0,4451.0,977.0,4.6,35.0,19.0,258.0,297.0,490.0,2725.0,18.0,16.0,5.2,158.0,454.0,1726.0,11.0,3.8,93.0,86.0,706.0,7.0,24.2,18.7,87.4
New England Patriots,274.0,4613.0,933.0,4.9,31.0,12.0,278.0,314.0,526.0,3041.0,23.0,19.0,5.3,172.0,360.0,1572.0,7.0,4.4,91.0,96.0,764.0,15.0,24.0,16.6,47.8
San Diego Chargers,284.0,5124.0,1013.0,5.1,48.0,18.0,297.0,338.0,555.0,3412.0,20.0,30.0,5.7,185.0,416.0,1712.0,11.0,4.1,89.0,86.0,665.0,23.0,23.8,22.7,86.33
Green Bay Packers,291.0,5013.0,994.0,5.0,28.0,9.0,297.0,295.0,534.0,3366.0,23.0,19.0,5.9,176.0,424.0,1647.0,6.0,3.9,77.0,118.0,908.0,44.0,29.1,13.2,65.77
Seattle Seahawks,291.0,5149.0,1035.0,5.0,34.0,14.0,278.0,333.0,568.0,3505.0,15.0,20.0,5.7,183.0,422.0,1644.0,16.0,3.9,78.0,99.0,756.0,17.0,25.5,15.9,118.05
Tennessee Titans,297.0,4665.0,978.0,4.8,34.0,12.0,268.0,349.0,569.0,3187.0,21.0,22.0,5.2,165.0,369.0,1478.0,11.0,4.0,80.0,90.0,745.0,23.0,27.3,15.8,56.4
Philadelphia Eagles,300.0,4982.0,979.0,5.1,19.0,8.0,279.0,312.0,539.0,3449.0,16.0,11.0,6.0,177.0,403.0,1533.0,10.0,3.8,80.0,81.0,616.0,22.0,30.5,10.2,26.05
Jacksonville Jaguars,304.0,5021.0,970.0,5.2,30.0,10.0,286.0,319.0,543.0,3416.0,20.0,20.0,5.9,181.0,390.0,1605.0,12.0,4.1,92.0,82.0,636.0,13.0,29.2,17.0,0.71
Washington Redskins,310.0,4884.0,1026.0,4.8,24.0,10.0,291.0,351.0,602.0,3424.0,20.0,14.0,5.4,174.0,391.0,1460.0,10.0,3.7,89.0,88.0,684.0,28.0,29.5,12.4,57.1
