Tm,PF_Defense,TotalYds_Defense,Ply_Defense,Y/Play_Defense,TO_Defense,FL_Defense,1stD_Defense,Cmp_Defense,PassAtt_Defense,PassYds_Defense,PassTD_Defense,Int_Defense,NY/A_Defense,1stDpass_Defense,RushAtt_Defense,RushYds_Defense,RushTD_Defense,Y/Arun_Defense,1stDrun_Defense,Pen_Defense,PenYds_Defense,1stPy_Defense,Sc%_Defense,TO%_Defense,ExpectedPoints_Defense
Seattle Seahawks,245.0,4899.0,968.0,5.1,31.0,13.0,295.0,327.0,564.0,3250.0,15.0,18.0,5.4,186.0,368.0,1649.0,8.0,4.5,80.0,102.0,902.0,29.0,27.2,16.0,27.33
San Francisco 49ers,273.0,4710.0,1012.0,4.7,25.0,11.0,284.0,337.0,567.0,3203.0,19.0,14.0,5.3,178.0,407.0,1507.0,7.0,3.7,72.0,93.0,758.0,34.0,26.7,12.8,25.05
Chicago Bears,277.0,5050.0,1021.0,4.9,44.0,20.0,286.0,350.0,592.0,3423.0,19.0,24.0,5.4,186.0,388.0,1627.0,6.0,4.2,75.0,78.0,704.0,25.0,25.1,20.5,124.14
Denver Broncos,289.0,4652.0,1015.0,4.6,24.0,8.0,287.0,321.0,559.0,3194.0,25.0,16.0,5.2,183.0,404.0,1458.0,5.0,3.6,73.0,123.0,951.0,31.0,26.9,11.9,91.32
Atlanta Falcons,299.0,5849.0,991.0,5.9,31.0,11.0,298.0,337.0,551.0,3878.0,14.0,20.0,6.7,189.0,411.0,1971.0,16.0,4.8,99.0,83.0,641.0,10.0,31.7,17.2,-42.48
Pittsburgh Steelers,314.0,4413.0,951.0,4.6,20.0,10.0,273.0,299.0,523.0,2963.0,19.0,10.0,5.3,169.0,391.0,1450.0,9.0,3.7,78.0,100.0,882.0,26.0,30.8,10.4,37.01
Miami Dolphins,317.0,5708.0,1073.0,5.3,16.0,6.0,320.0,353.0,600.0,3974.0,18.0,10.0,6.2,215.0,431.0,1734.0,10.0,4.0,79.0,121.0,1045.0,26.0,32.2,8.2,-21.88
Cincinnati Bengals,320.0,5115.0,1034.0,4.9,30.0,16.0,307.0,346.0,560.0,3400.0,16.0,14.0,5.6,183.0,423.0,1715.0,13.0,4.1,99.0,90.0,779.0,25.0,29.3,14.1,51.85
New England Patriots,331.0,5972.0,1046.0,5.7,41.0,21.0,340.0,369.0,594.0,4342.0,27.0,20.0,6.9,207.0,415.0,1630.0,10.0,3.9,100.0,101.0,932.0,33.0,30.1,20.4,-21.24
Houston Texans,331.0,5172.0,1015.0,5.1,29.0,14.0,292.0,308.0,581.0,3612.0,29.0,15.0,5.8,167.0,390.0,1560.0,5.0,4.0,94.0,90.0,863.0,31.0,28.0,14.5,53.85
Green Bay Packers,336.0,5388.0,1033.0,5.2,23.0,5.0,308.0,313.0,568.0,3492.0,24.0,18.0,5.7,191.0,418.0,1896.0,12.0,4.5,83.0,123.0,1055.0,34.0,33.2,11.8,-34.23
Baltimore Ravens,344.0,5615.0,1086.0,5.2,25.0,12.0,326.0,335.0,557.0,3650.0,15.0,13.0,6.1,187.0,492.0,1965.0,15.0,4.0,105.0,107.0,929.0,34.0,34.9,12.0,-10.19
