Tm,PF_Defense,TotalYds_Defense,Ply_Defense,Y/Play_Defense,TO_Defense,FL_Defense,1stD_Defense,Cmp_Defense,PassAtt_Defense,PassYds_Defense,PassTD_Defense,Int_Defense,NY/A_Defense,1stDpass_Defense,RushAtt_Defense,RushYds_Defense,RushTD_Defense,Y/Arun_Defense,1stDrun_Defense,Pen_Defense,PenYds_Defense,1stPy_Defense,Sc%_Defense,TO%_Defense,ExpectedPoints_Defense
New England Patriots,250.0,5223.0,998.0,5.2,23.0,10.0,294.0,368.0,596.0,3806.0,21.0,13.0,6.0,190.0,368.0,1417.0,6.0,3.9,81.0,113.0,930.0,23.0,27.0,12.1,23.42
New York Giants,284.0,5435.0,1062.0,5.1,25.0,8.0,298.0,369.0,630.0,4018.0,15.0,17.0,6.0,191.0,397.0,1417.0,10.0,3.6,82.0,104.0,853.0,25.0,30.8,11.4,37.91
Seattle Seahawks,292.0,5099.0,1020.0,5.0,19.0,8.0,307.0,331.0,537.0,3612.0,16.0,11.0,6.2,180.0,441.0,1487.0,16.0,3.4,94.0,103.0,925.0,33.0,29.6,9.4,-4.32
Denver Broncos,297.0,5057.0,1076.0,4.7,27.0,13.0,306.0,306.0,552.0,2972.0,13.0,14.0,5.0,169.0,482.0,2085.0,15.0,4.3,101.0,110.0,990.0,36.0,29.1,12.2,92.4
Dallas Cowboys,306.0,5503.0,1009.0,5.5,20.0,11.0,330.0,425.0,633.0,4167.0,25.0,9.0,6.2,226.0,340.0,1336.0,9.0,3.9,79.0,90.0,784.0,25.0,36.5,11.2,-86.95
Minnesota Vikings,307.0,5038.0,993.0,5.1,27.0,13.0,304.0,332.0,548.0,3327.0,22.0,14.0,5.6,186.0,404.0,1711.0,9.0,4.2,87.0,99.0,825.0,31.0,33.3,14.1,23.66
Kansas City Chiefs,311.0,5896.0,1063.0,5.5,33.0,15.0,342.0,350.0,598.0,3958.0,23.0,18.0,6.3,209.0,437.0,1938.0,10.0,4.4,102.0,109.0,797.0,31.0,33.5,15.7,-5.71
Cincinnati Bengals,315.0,5612.0,1038.0,5.4,20.0,3.0,327.0,374.0,593.0,3800.0,22.0,17.0,6.1,196.0,412.0,1812.0,12.0,4.4,95.0,105.0,950.0,36.0,34.7,11.4,-52.04
Baltimore Ravens,321.0,5154.0,993.0,5.2,28.0,10.0,294.0,369.0,578.0,3724.0,28.0,18.0,6.1,190.0,384.0,1430.0,10.0,3.7,74.0,94.0,900.0,30.0,28.3,13.6,-5.6
Pittsburgh Steelers,327.0,5482.0,997.0,5.5,23.0,10.0,313.0,381.0,590.0,3882.0,20.0,13.0,6.2,184.0,369.0,1600.0,15.0,4.3,95.0,109.0,920.0,34.0,35.7,12.6,-49.01
Houston Texans,328.0,4821.0,950.0,5.1,17.0,6.0,272.0,319.0,522.0,3226.0,20.0,11.0,5.8,157.0,397.0,1595.0,13.0,4.0,87.0,114.0,949.0,28.0,30.4,10.3,32.65
Philadelphia Eagles,331.0,5484.0,978.0,5.6,26.0,10.0,300.0,333.0,553.0,3832.0,25.0,16.0,6.5,177.0,391.0,1652.0,10.0,4.2,89.0,99.0,837.0,34.0,33.9,13.4,-11.72
Detroit Lions,358.0,5676.0,964.0,5.9,14.0,4.0,333.0,399.0,549.0,3975.0,33.0,10.0,6.9,206.0,389.0,1701.0,8.0,4.4,99.0,122.0,979.0,28.0,40.0,8.2,-152.76
Arizona Cardinals,362.0,4883.0,1019.0,4.8,28.0,14.0,293.0,344.0,547.0,3365.0,21.0,14.0,5.7,175.0,424.0,1518.0,16.0,3.6,90.0,123.0,1010.0,28.0,32.1,13.0,53.96
Tampa Bay Buccaneers,369.0,5887.0,1013.0,5.8,29.0,12.0,326.0,347.0,548.0,4012.0,24.0,17.0,6.8,203.0,427.0,1875.0,15.0,4.4,102.0,121.0,1061.0,21.0,35.9,14.7,-41.58
Buffalo Bills,378.0,5712.0,1019.0,5.6,18.0,6.0,338.0,306.0,511.0,3582.0,19.0,12.0,6.5,183.0,469.0,2130.0,21.0,4.5,122.0,106.0,884.0,33.0,38.5,9.3,-60.14
Tennessee Titans,378.0,5720.0,1031.0,5.5,18.0,6.0,324.0,388.0,635.0,4307.0,25.0,12.0,6.4,227.0,356.0,1413.0,10.0,4.0,70.0,137.0,1191.0,27.0,35.0,9.0,-63.76
Miami Dolphins,380.0,6122.0,1088.0,5.6,25.0,9.0,349.0,368.0,591.0,3875.0,30.0,16.0,6.2,199.0,464.0,2247.0,12.0,4.8,109.0,109.0,919.0,41.0,35.6,13.2,-80.0
Washington Redskins,383.0,6046.0,1050.0,5.8,21.0,8.0,368.0,387.0,589.0,4130.0,22.0,13.0,6.6,225.0,423.0,1916.0,19.0,4.5,109.0,100.0,1023.0,34.0,38.5,11.8,-116.87
Oakland Raiders,385.0,6001.0,987.0,6.1,30.0,14.0,318.0,328.0,541.0,4120.0,27.0,16.0,7.3,188.0,421.0,1881.0,18.0,4.5,94.0,115.0,1062.0,36.0,35.0,13.1,-81.26
Green Bay Packers,388.0,5823.0,987.0,5.9,25.0,8.0,329.0,370.0,571.0,4308.0,32.0,17.0,7.1,227.0,376.0,1515.0,11.0,4.0,80.0,109.0,964.0,22.0,42.6,13.4,-139.64
Indianapolis Colts,392.0,6126.0,1024.0,6.0,17.0,9.0,353.0,378.0,582.0,4200.0,27.0,8.0,6.8,225.0,409.0,1926.0,12.0,4.7,93.0,125.0,1155.0,35.0,41.5,9.7,-116.08
Los Angeles Rams,394.0,5392.0,1037.0,5.2,18.0,8.0,325.0,378.0,582.0,3732.0,32.0,10.0,6.1,194.0,424.0,1660.0,12.0,3.9,91.0,108.0,920.0,40.0,31.3,9.4,-59.12
Chicago Bears,399.0,5548.0,1012.0,5.5,11.0,3.0,322.0,342.0,530.0,3598.0,22.0,8.0,6.3,188.0,445.0,1950.0,18.0,4.4,99.0,103.0,959.0,35.0,42.0,6.3,-101.61
Jacksonville Jaguars,400.0,5147.0,1030.0,5.0,13.0,6.0,305.0,345.0,551.0,3444.0,20.0,7.0,5.9,174.0,446.0,1703.0,17.0,3.8,93.0,101.0,948.0,38.0,39.3,5.8,-26.26
Carolina Panthers,402.0,5756.0,1035.0,5.6,27.0,10.0,329.0,409.0,612.0,4291.0,27.0,17.0,6.5,223.0,376.0,1465.0,11.0,3.9,90.0,112.0,907.0,16.0,36.2,13.8,-33.98
Atlanta Falcons,406.0,5939.0,1059.0,5.6,22.0,10.0,358.0,422.0,655.0,4267.0,31.0,12.0,6.2,232.0,370.0,1672.0,15.0,4.5,95.0,113.0,974.0,31.0,39.4,12.5,-125.47
New York Jets,409.0,5479.0,1000.0,5.5,14.0,6.0,318.0,347.0,545.0,3898.0,30.0,8.0,6.8,203.0,428.0,1581.0,11.0,3.7,86.0,74.0,651.0,29.0,37.6,7.2,-83.73
San Diego Chargers,423.0,5554.0,1025.0,5.4,28.0,10.0,329.0,364.0,580.0,3987.0,21.0,18.0,6.5,204.0,410.0,1567.0,20.0,3.8,98.0,119.0,837.0,27.0,39.8,14.5,-12.66
Cleveland Browns,452.0,6279.0,1067.0,5.9,13.0,3.0,364.0,347.0,543.0,3996.0,36.0,10.0,7.0,220.0,498.0,2283.0,18.0,4.6,121.0,104.0,930.0,23.0,40.8,6.1,-185.58
New Orleans Saints,454.0,6006.0,1008.0,6.0,21.0,12.0,353.0,378.0,582.0,4380.0,27.0,9.0,7.2,230.0,396.0,1626.0,19.0,4.1,91.0,104.0,881.0,32.0,45.1,12.1,-140.39
San Francisco 49ers,480.0,6502.0,1102.0,5.9,20.0,10.0,358.0,322.0,521.0,3848.0,30.0,10.0,6.9,187.0,548.0,2654.0,25.0,4.8,140.0,93.0,780.0,31.0,41.6,8.9,-141.42
Avg Team,364.4,5606.3,1022.9,5.5,21.9,8.9,324.3,360.2,571.7,3863.7,24.6,13.0,6.4,199.0,416.3,1742.6,13.8,4.2,94.9,107.71875,927.96875,30.4,35.95624999999999,11.23125,-53.55187500000001
