Tm,PF_Defense,TotalYds_Defense,Ply_Defense,Y/Play_Defense,TO_Defense,FL_Defense,1stD_Defense,Cmp_Defense,PassAtt_Defense,PassYds_Defense,PassTD_Defense,Int_Defense,NY/A_Defense,1stDpass_Defense,RushAtt_Defense,RushYds_Defense,RushTD_Defense,Y/Arun_Defense,1stDrun_Defense,Pen_Defense,PenYds_Defense,1stPy_Defense,Sc%_Defense,TO%_Defense
Miami Dolphins,265.0,4435.0,944.0,4.7,36.0,7.0,257.0,252.0,504.0,2924.0,17.0,29.0,5.3,148.0,395.0,1511.0,6.0,3.8,75.0,97.0,875.0,34.0,26.2,17.6
New York Jets,266.0,4699.0,980.0,4.8,30.0,9.0,263.0,285.0,544.0,3040.0,16.0,21.0,5.2,150.0,400.0,1659.0,11.0,4.1,87.0,109.0,967.0,26.0,25.8,15.8
Dallas Cowboys,275.0,5164.0,988.0,5.2,26.0,12.0,276.0,290.0,553.0,3545.0,21.0,14.0,6.0,162.0,401.0,1619.0,10.0,4.0,84.0,120.0,917.0,30.0,25.9,13.8
Atlanta Falcons,289.0,4734.0,950.0,5.0,44.0,25.0,267.0,311.0,551.0,3531.0,22.0,19.0,6.0,172.0,361.0,1203.0,7.0,3.3,65.0,118.0,858.0,30.0,27.7,25.8
Tampa Bay Buccaneers,295.0,4345.0,925.0,4.7,26.0,14.0,244.0,274.0,473.0,2762.0,15.0,12.0,5.4,148.0,415.0,1583.0,12.0,3.8,75.0,88.0,669.0,21.0,28.1,11.4
Minnesota Vikings,296.0,5066.0,997.0,5.1,34.0,15.0,300.0,320.0,555.0,3452.0,17.0,19.0,5.8,171.0,404.0,1614.0,12.0,4.0,102.0,132.0,1167.0,27.0,26.7,18.0
Pittsburgh Steelers,303.0,4963.0,1002.0,5.0,29.0,13.0,266.0,268.0,482.0,3321.0,17.0,16.0,6.3,155.0,479.0,1642.0,8.0,3.4,88.0,106.0,854.0,23.0,27.7,15.0
New York Giants,309.0,5171.0,1051.0,4.9,26.0,7.0,286.0,282.0,521.0,3167.0,17.0,19.0,5.5,163.0,476.0,2004.0,13.0,4.2,103.0,124.0,967.0,20.0,25.8,13.5
Denver Broncos,309.0,4935.0,999.0,4.9,30.0,11.0,283.0,345.0,596.0,3648.0,28.0,19.0,5.7,183.0,356.0,1287.0,8.0,3.6,80.0,113.0,865.0,20.0,23.9,16.9
Seattle Seahawks,310.0,5689.0,1137.0,5.0,42.0,18.0,337.0,343.0,597.0,3690.0,18.0,24.0,5.7,197.0,487.0,1999.0,13.0,4.1,111.0,130.0,1157.0,29.0,27.6,19.6
Green Bay Packers,319.0,4507.0,980.0,4.6,23.0,10.0,246.0,296.0,540.0,3065.0,23.0,13.0,5.2,166.0,390.0,1442.0,7.0,3.7,67.0,94.0,828.0,13.0,29.9,13.2
