Tm,PF_Defense,TotalYds_Defense,Ply_Defense,Y/Play_Defense,TO_Defense,FL_Defense,1stD_Defense,Cmp_Defense,PassAtt_Defense,PassYds_Defense,PassTD_Defense,Int_Defense,NY/A_Defense,1stDpass_Defense,RushAtt_Defense,RushYds_Defense,RushTD_Defense,Y/Arun_Defense,1stDrun_Defense,Pen_Defense,PenYds_Defense,1stPy_Defense,Sc%_Defense,TO%_Defense
Chicago Bears,215.0,4360.0,977.0,4.5,35.0,9.0,264.0,245.0,545.0,3034.0,18.0,26.0,5.2,158.0,389.0,1326.0,5.0,3.4,76.0,102.0,804.0,30.0,0.0,0.0
Minnesota Vikings,233.0,4091.0,952.0,4.3,53.0,17.0,243.0,219.0,480.0,2489.0,12.0,36.0,4.8,132.0,435.0,1602.0,10.0,3.7,85.0,91.0,753.0,26.0,0.0,0.0
Buffalo Bills,237.0,4578.0,971.0,4.7,32.0,17.0,299.0,250.0,448.0,2724.0,14.0,15.0,5.5,146.0,477.0,1854.0,14.0,3.9,114.0,90.0,713.0,39.0,0.0,0.0
New Orleans Saints,283.0,5106.0,978.0,5.2,32.0,15.0,286.0,277.0,505.0,3327.0,19.0,17.0,6.2,167.0,442.0,1779.0,7.0,4.0,97.0,77.0,628.0,22.0,0.0,0.0
New England Patriots,284.0,4681.0,961.0,4.9,35.0,15.0,272.0,234.0,436.0,2582.0,13.0,20.0,5.6,138.0,496.0,2099.0,20.0,4.2,119.0,108.0,858.0,15.0,0.0,0.0
Cleveland Browns,288.0,4767.0,1009.0,4.7,31.0,11.0,301.0,245.0,474.0,2847.0,13.0,20.0,5.6,162.0,498.0,1920.0,13.0,3.9,114.0,100.0,789.0,25.0,0.0,0.0
Los Angeles Rams,293.0,4986.0,1041.0,4.8,37.0,15.0,289.0,307.0,571.0,3300.0,17.0,22.0,5.3,166.0,414.0,1686.0,12.0,4.1,100.0,111.0,937.0,23.0,0.0,0.0
San Francisco 49ers,294.0,4575.0,1013.0,4.5,38.0,16.0,277.0,292.0,530.0,2987.0,25.0,22.0,5.2,160.0,441.0,1588.0,8.0,3.6,90.0,76.0,603.0,27.0,0.0,0.0
New York Giants,304.0,5086.0,1072.0,4.7,33.0,18.0,291.0,294.0,566.0,3327.0,23.0,15.0,5.4,177.0,454.0,1759.0,8.0,3.9,95.0,116.0,902.0,19.0,0.0,0.0
Detroit Lions,313.0,5316.0,1071.0,5.0,36.0,21.0,334.0,337.0,513.0,3279.0,17.0,15.0,5.9,179.0,511.0,2037.0,16.0,4.0,128.0,106.0,869.0,27.0,0.0,0.0
