Tm,PF_Defense,TotalYds_Defense,Ply_Defense,Y/Play_Defense,TO_Defense,FL_Defense,1stD_Defense,Cmp_Defense,PassAtt_Defense,PassYds_Defense,PassTD_Defense,Int_Defense,NY/A_Defense,1stDpass_Defense,RushAtt_Defense,RushYds_Defense,RushTD_Defense,Y/Arun_Defense,1stDrun_Defense,Pen_Defense,PenYds_Defense,1stPy_Defense,Sc%_Defense,TO%_Defense,ExpectedPoints_Defense
Chicago Bears,203.0,4978.0,1023.0,4.9,37.0,17.0,277.0,355.0,602.0,3665.0,12.0,20.0,5.6,191.0,373.0,1313.0,6.0,3.5,71.0,97.0,808.0,15.0,18.7,18.7,168.01
Philadelphia Eagles,208.0,4701.0,1017.0,4.6,33.0,19.0,262.0,288.0,517.0,2864.0,13.0,14.0,5.1,150.0,455.0,1837.0,6.0,4.0,88.0,85.0,741.0,24.0,21.1,14.1,163.9
Pittsburgh Steelers,212.0,4137.0,919.0,4.5,28.0,12.0,254.0,295.0,525.0,2942.0,19.0,16.0,5.1,160.0,339.0,1195.0,5.0,3.5,70.0,71.0,585.0,24.0,18.5,13.5,152.39
Baltimore Ravens,265.0,4446.0,1010.0,4.4,28.0,12.0,262.0,321.0,555.0,3035.0,16.0,16.0,5.1,161.0,410.0,1411.0,10.0,3.4,81.0,105.0,903.0,20.0,22.1,13.2,161.58
Green Bay Packers,266.0,4937.0,1041.0,4.7,39.0,19.0,278.0,341.0,583.0,3168.0,14.0,20.0,5.0,176.0,406.0,1769.0,10.0,4.4,83.0,104.0,921.0,19.0,23.7,17.5,106.79
New England Patriots,272.0,5352.0,1016.0,5.3,35.0,13.0,303.0,299.0,546.0,3497.0,15.0,22.0,6.0,171.0,429.0,1855.0,7.0,4.3,99.0,93.0,839.0,33.0,27.7,17.6,101.11
St. Louis Rams,273.0,4471.0,952.0,4.7,34.0,13.0,256.0,314.0,541.0,3097.0,16.0,21.0,5.3,153.0,366.0,1374.0,11.0,3.8,77.0,100.0,830.0,26.0,25.5,18.1,185.45
Tampa Bay Buccaneers,280.0,4653.0,950.0,4.9,39.0,11.0,262.0,273.0,493.0,2951.0,20.0,28.0,5.5,156.0,415.0,1702.0,8.0,4.1,86.0,91.0,742.0,20.0,27.9,18.9,96.69
San Francisco 49ers,282.0,4954.0,988.0,5.0,34.0,10.0,289.0,332.0,567.0,3383.0,18.0,24.0,5.6,179.0,389.0,1571.0,9.0,4.0,89.0,95.0,812.0,21.0,28.4,18.8,42.37
Jacksonville Jaguars,286.0,5070.0,1056.0,4.8,24.0,12.0,300.0,354.0,544.0,3459.0,13.0,12.0,5.9,193.0,469.0,1611.0,15.0,3.4,89.0,96.0,834.0,18.0,28.9,11.8,60.71
Miami Dolphins,290.0,4608.0,957.0,4.8,28.0,11.0,283.0,262.0,467.0,2829.0,22.0,17.0,5.6,148.0,453.0,1779.0,9.0,3.9,97.0,82.0,623.0,38.0,25.3,13.4,62.56
New York Jets,295.0,5153.0,1030.0,5.0,39.0,19.0,284.0,313.0,516.0,2999.0,14.0,20.0,5.5,155.0,481.0,2154.0,15.0,4.5,116.0,85.0,700.0,13.0,28.0,20.9,47.55
Washington Redskins,303.0,4846.0,982.0,4.9,34.0,11.0,271.0,262.0,473.0,2977.0,19.0,23.0,6.0,149.0,484.0,1869.0,10.0,3.9,103.0,83.0,672.0,19.0,27.9,16.8,84.96
Cincinnati Bengals,309.0,4832.0,1013.0,4.8,28.0,15.0,281.0,311.0,512.0,3157.0,23.0,13.0,5.6,173.0,453.0,1675.0,10.0,3.7,86.0,101.0,837.0,22.0,27.8,13.1,77.73
Cleveland Browns,319.0,5297.0,1089.0,4.9,42.0,9.0,295.0,309.0,552.0,3089.0,18.0,33.0,5.2,161.0,494.0,2208.0,11.0,4.5,112.0,103.0,779.0,22.0,26.5,20.1,129.54
New York Giants,321.0,4975.0,995.0,5.0,28.0,13.0,268.0,298.0,521.0,3430.0,25.0,15.0,6.0,161.0,428.0,1545.0,7.0,3.6,83.0,100.0,695.0,24.0,27.6,13.6,63.94
San Diego Chargers,321.0,4904.0,1025.0,4.8,31.0,12.0,290.0,317.0,535.0,3400.0,24.0,19.0,5.9,166.0,449.0,1504.0,10.0,3.3,99.0,79.0,632.0,25.0,30.2,15.1,50.54
Seattle Seahawks,324.0,5206.0,1028.0,5.1,27.0,13.0,300.0,339.0,563.0,3485.0,20.0,14.0,5.8,186.0,427.0,1721.0,9.0,4.0,91.0,101.0,805.0,23.0,32.1,13.6,15.74
Oakland Raiders,327.0,5071.0,1002.0,5.1,24.0,7.0,296.0,290.0,528.0,3083.0,16.0,17.0,5.4,166.0,433.0,1988.0,17.0,4.6,104.0,81.0,621.0,26.0,30.4,12.0,7.51
Dallas Cowboys,338.0,4599.0,985.0,4.7,25.0,16.0,272.0,287.0,489.0,2889.0,20.0,9.0,5.6,160.0,472.0,1710.0,12.0,3.6,90.0,69.0,634.0,22.0,31.7,10.2,47.49
Denver Broncos,339.0,4774.0,960.0,5.0,37.0,15.0,292.0,308.0,515.0,3282.0,23.0,22.0,5.9,176.0,406.0,1492.0,9.0,3.7,86.0,100.0,853.0,30.0,30.5,17.1,40.99
