Tm,PF_Defense,TotalYds_Defense,Ply_Defense,Y/Play_Defense,TO_Defense,FL_Defense,1stD_Defense,Cmp_Defense,PassAtt_Defense,PassYds_Defense,PassTD_Defense,Int_Defense,NY/A_Defense,1stDpass_Defense,RushAtt_Defense,RushYds_Defense,RushTD_Defense,Y/Arun_Defense,1stDrun_Defense,Pen_Defense,PenYds_Defense,1stPy_Defense,Sc%_Defense,TO%_Defense,ExpectedPoints_Defense
Baltimore Ravens,165.0,3967.0,924.0,4.3,49.0,26.0,216.0,295.0,528.0,2997.0,11.0,23.0,5.3,135.0,361.0,970.0,5.0,2.7,59.0,84.0,535.0,22.0,15.5,23.7,359.48
Tennessee Titans,191.0,3813.0,908.0,4.2,30.0,13.0,215.0,242.0,466.0,2423.0,10.0,17.0,4.7,134.0,387.0,1390.0,7.0,3.6,62.0,97.0,778.0,19.0,18.1,13.8,208.33
Miami Dolphins,226.0,4636.0,995.0,4.7,41.0,13.0,289.0,282.0,530.0,2900.0,13.0,28.0,5.0,156.0,417.0,1736.0,9.0,4.2,92.0,86.0,793.0,41.0,22.8,19.7,121.02
Philadelphia Eagles,245.0,4820.0,1055.0,4.6,31.0,12.0,295.0,314.0,552.0,2990.0,11.0,19.0,5.0,159.0,453.0,1830.0,10.0,4.0,105.0,111.0,936.0,31.0,25.1,14.9,125.05
New York Giants,246.0,4546.0,988.0,4.6,31.0,11.0,274.0,327.0,585.0,3390.0,23.0,20.0,5.4,181.0,359.0,1156.0,7.0,3.2,62.0,80.0,728.0,31.0,22.6,15.3,155.08
Pittsburgh Steelers,255.0,4713.0,985.0,4.8,35.0,18.0,252.0,280.0,521.0,3020.0,13.0,17.0,5.4,153.0,425.0,1693.0,9.0,4.0,82.0,105.0,876.0,17.0,26.7,16.8,124.47
Washington Redskins,269.0,4474.0,937.0,4.8,33.0,16.0,254.0,254.0,462.0,2621.0,12.0,17.0,5.2,134.0,430.0,1853.0,9.0,4.3,97.0,106.0,790.0,23.0,28.3,16.7,86.12
Tampa Bay Buccaneers,269.0,4800.0,1047.0,4.6,41.0,16.0,283.0,339.0,594.0,3152.0,15.0,25.0,4.9,180.0,398.0,1648.0,12.0,4.1,84.0,95.0,688.0,19.0,24.1,19.7,141.19
Oakland Raiders,299.0,5249.0,1014.0,5.2,37.0,16.0,320.0,359.0,588.0,3698.0,25.0,21.0,5.9,202.0,383.0,1551.0,8.0,4.0,85.0,117.0,912.0,33.0,26.9,18.7,106.37
New Orleans Saints,305.0,4743.0,949.0,5.0,35.0,15.0,279.0,285.0,488.0,3071.0,17.0,20.0,5.5,159.0,395.0,1672.0,14.0,4.2,95.0,105.0,837.0,25.0,27.7,17.5,43.3
Detroit Lions,307.0,5033.0,993.0,5.1,42.0,17.0,279.0,311.0,544.0,3210.0,16.0,25.0,5.6,159.0,421.0,1823.0,14.0,4.3,96.0,112.0,913.0,24.0,27.7,19.3,103.55
Carolina Panthers,310.0,5656.0,1005.0,5.6,38.0,21.0,304.0,352.0,552.0,3712.0,19.0,17.0,6.4,184.0,426.0,1944.0,12.0,4.6,107.0,128.0,1073.0,13.0,28.7,19.1,26.32
New York Jets,321.0,4820.0,1033.0,4.7,35.0,14.0,267.0,265.0,517.0,2932.0,17.0,21.0,5.3,152.0,476.0,1888.0,9.0,4.0,98.0,100.0,832.0,17.0,27.7,16.3,111.46
Green Bay Packers,323.0,5069.0,1012.0,5.0,28.0,7.0,284.0,307.0,557.0,3451.0,28.0,21.0,5.8,186.0,417.0,1618.0,7.0,3.9,84.0,101.0,992.0,14.0,28.6,12.8,45.64
Indianapolis Colts,326.0,5357.0,1018.0,5.3,22.0,8.0,310.0,317.0,530.0,3422.0,22.0,14.0,6.0,177.0,446.0,1935.0,13.0,4.3,109.0,103.0,820.0,24.0,31.1,11.7,-42.59
Jacksonville Jaguars,327.0,4845.0,934.0,5.2,30.0,18.0,252.0,258.0,458.0,3160.0,23.0,12.0,6.3,144.0,436.0,1685.0,14.0,3.9,85.0,96.0,814.0,23.0,27.6,13.8,45.25
New England Patriots,338.0,5353.0,1068.0,5.0,23.0,13.0,326.0,321.0,544.0,3522.0,23.0,10.0,6.1,184.0,495.0,1831.0,12.0,3.7,108.0,95.0,897.0,34.0,31.2,11.6,-25.74
Buffalo Bills,350.0,4426.0,966.0,4.6,29.0,13.0,252.0,283.0,480.0,2867.0,18.0,16.0,5.5,153.0,444.0,1559.0,13.0,3.5,76.0,103.0,905.0,23.0,30.2,14.1,94.01
Kansas City Chiefs,354.0,5280.0,1041.0,5.1,29.0,14.0,330.0,358.0,549.0,3471.0,25.0,15.0,5.8,201.0,441.0,1809.0,13.0,4.1,103.0,108.0,1020.0,26.0,30.3,14.4,0.51
Chicago Bears,355.0,5234.0,1035.0,5.1,20.0,9.0,297.0,332.0,530.0,3407.0,25.0,11.0,6.0,172.0,469.0,1827.0,15.0,3.9,106.0,78.0,727.0,19.0,29.7,9.7,14.04
Cincinnati Bengals,359.0,5487.0,1068.0,5.1,21.0,12.0,307.0,318.0,538.0,3562.0,26.0,9.0,6.3,182.0,504.0,1925.0,12.0,3.8,101.0,115.0,924.0,24.0,32.8,9.7,2.74
Dallas Cowboys,361.0,5329.0,1021.0,5.2,25.0,9.0,309.0,277.0,458.0,2693.0,20.0,16.0,5.6,145.0,538.0,2636.0,17.0,4.9,137.0,108.0,999.0,27.0,34.2,12.5,-10.85
Denver Broncos,369.0,5544.0,962.0,5.8,44.0,17.0,294.0,310.0,574.0,3946.0,26.0,27.0,6.4,189.0,344.0,1598.0,13.0,4.6,80.0,109.0,898.0,25.0,30.2,20.8,33.36
Minnesota Vikings,371.0,5701.0,1011.0,5.6,18.0,10.0,344.0,369.0,584.0,3913.0,23.0,8.0,6.4,208.0,396.0,1788.0,17.0,4.5,110.0,104.0,747.0,26.0,38.2,9.4,-127.1
Seattle Seahawks,405.0,6391.0,1019.0,6.3,29.0,12.0,331.0,309.0,489.0,3937.0,23.0,17.0,7.6,185.0,503.0,2454.0,20.0,4.9,126.0,96.0,694.0,20.0,38.4,15.1,-84.99
Atlanta Falcons,413.0,5607.0,999.0,5.6,25.0,10.0,308.0,306.0,515.0,3624.0,23.0,15.0,6.6,175.0,453.0,1983.0,16.0,4.4,113.0,122.0,1010.0,20.0,37.0,12.5,-41.43
Cleveland Browns,419.0,5643.0,1122.0,5.0,25.0,13.0,343.0,262.0,486.0,3138.0,18.0,12.0,5.9,169.0,594.0,2505.0,26.0,4.2,147.0,71.0,626.0,27.0,39.1,10.9,-63.56
San Francisco 49ers,422.0,5709.0,1031.0,5.5,21.0,8.0,347.0,320.0,558.0,3915.0,25.0,13.0,6.6,194.0,435.0,1794.0,22.0,4.1,110.0,102.0,857.0,43.0,39.9,10.9,-106.95
San Diego Chargers,440.0,4959.0,1061.0,4.7,22.0,6.0,312.0,326.0,552.0,3537.0,33.0,16.0,6.0,195.0,470.0,1422.0,10.0,3.0,76.0,106.0,851.0,41.0,35.2,9.5,42.37
Arizona Cardinals,443.0,5737.0,1062.0,5.4,20.0,10.0,345.0,296.0,459.0,3128.0,19.0,10.0,6.5,175.0,578.0,2609.0,29.0,4.5,149.0,96.0,914.0,21.0,42.1,11.2,-101.68
St. Louis Rams,471.0,5494.0,968.0,5.7,25.0,6.0,321.0,323.0,534.0,3797.0,32.0,19.0,6.5,195.0,383.0,1697.0,18.0,4.4,95.0,101.0,747.0,31.0,40.9,12.4,-75.38
Avg Team,330.8,5110.8,1007.5,5.1,30.1,13.0,294.8,306.4,526.5,3309.9,20.5,17.1,5.8,171.5,441.2,1800.9,13.3,4.1,98.0,101.29032258064517,843.0,25.3,30.277419354838713,14.661290322580646,42.23838709677419
