Tm,PF_Defense,TotalYds_Defense,Ply_Defense,Y/Play_Defense,TO_Defense,FL_Defense,1stD_Defense,Cmp_Defense,PassAtt_Defense,PassYds_Defense,PassTD_Defense,Int_Defense,NY/A_Defense,1stDpass_Defense,RushAtt_Defense,RushYds_Defense,RushTD_Defense,Y/Arun_Defense,1stDrun_Defense,Pen_Defense,PenYds_Defense,1stPy_Defense,Sc%_Defense,TO%_Defense
Cleveland Browns,204.0,4826.0,1090.0,4.4,31.0,13.0,304.0,325.0,587.0,3157.0,13.0,18.0,5.1,173.0,465.0,1669.0,9.0,3.6,98.0,129.0,1139.0,33.0,0.0,0.0
Pittsburgh Steelers,234.0,4326.0,1008.0,4.3,31.0,14.0,262.0,280.0,532.0,2874.0,12.0,17.0,4.9,156.0,421.0,1452.0,7.0,3.4,76.0,91.0,763.0,30.0,0.0,0.0
Dallas Cowboys,248.0,4313.0,1006.0,4.3,31.0,9.0,273.0,269.0,522.0,2752.0,19.0,22.0,4.8,157.0,437.0,1561.0,8.0,3.6,86.0,102.0,826.0,30.0,0.0,0.0
Arizona Cardinals,267.0,4408.0,909.0,4.8,36.0,13.0,245.0,234.0,465.0,3038.0,19.0,23.0,6.1,144.0,409.0,1370.0,7.0,3.3,71.0,108.0,800.0,30.0,0.0,0.0
Green Bay Packers,287.0,4764.0,1023.0,4.7,33.0,12.0,281.0,337.0,605.0,3401.0,20.0,21.0,5.3,182.0,381.0,1363.0,9.0,3.6,82.0,82.0,675.0,17.0,0.0,0.0
San Francisco 49ers,296.0,4839.0,996.0,4.9,35.0,12.0,285.0,329.0,583.0,3501.0,15.0,23.0,5.6,182.0,375.0,1338.0,16.0,3.6,82.0,108.0,912.0,21.0,0.0,0.0
Kansas City Chiefs,298.0,5000.0,989.0,5.1,38.0,26.0,289.0,300.0,504.0,3266.0,23.0,12.0,6.0,164.0,446.0,1734.0,11.0,3.9,93.0,119.0,925.0,32.0,0.0,0.0
New York Giants,305.0,4950.0,973.0,5.1,32.0,16.0,280.0,289.0,500.0,3222.0,16.0,16.0,6.1,166.0,447.0,1728.0,11.0,3.9,92.0,130.0,1122.0,22.0,0.0,0.0
San Diego Chargers,306.0,5062.0,1005.0,5.0,32.0,15.0,308.0,363.0,577.0,3658.0,20.0,17.0,5.9,191.0,385.0,1404.0,11.0,3.6,89.0,109.0,989.0,28.0,0.0,0.0
Chicago Bears,307.0,5009.0,982.0,5.1,22.0,10.0,275.0,295.0,522.0,3087.0,16.0,12.0,5.6,163.0,432.0,1922.0,10.0,4.4,100.0,80.0,645.0,12.0,0.0,0.0
Philadelphia Eagles,308.0,4710.0,981.0,4.8,35.0,14.0,275.0,251.0,490.0,3094.0,20.0,21.0,5.8,151.0,449.0,1616.0,11.0,3.6,94.0,98.0,844.0,30.0,0.0,0.0
New England Patriots,312.0,5207.0,1006.0,5.2,40.0,18.0,280.0,298.0,545.0,3447.0,21.0,22.0,5.9,173.0,422.0,1760.0,11.0,4.2,86.0,110.0,795.0,21.0,0.0,0.0
Minnesota Vikings,314.0,4742.0,988.0,4.8,34.0,16.0,287.0,368.0,597.0,3652.0,25.0,18.0,5.8,195.0,355.0,1090.0,9.0,3.1,65.0,83.0,614.0,27.0,0.0,0.0
