Tm,PF_Defense,TotalYds_Defense,Ply_Defense,Y/Play_Defense,TO_Defense,FL_Defense,1stD_Defense,Cmp_Defense,PassAtt_Defense,PassYds_Defense,PassTD_Defense,Int_Defense,NY/A_Defense,1stDpass_Defense,RushAtt_Defense,RushYds_Defense,RushTD_Defense,Y/Arun_Defense,1stDrun_Defense,Pen_Defense,PenYds_Defense,1stPy_Defense,Sc%_Defense,TO%_Defense
Chicago Bears,187.0,4130.0,1002.0,4.1,47.0,16.0,241.0,243.0,513.0,2667.0,12.0,31.0,4.6,151.0,427.0,1463.0,4.0,3.4,67.0,111.0,866.0,23.0,0.0,0.0
New York Giants,236.0,4757.0,996.0,4.8,43.0,19.0,284.0,334.0,587.0,3473.0,15.0,24.0,5.4,177.0,350.0,1284.0,10.0,3.7,78.0,119.0,988.0,29.0,0.0,0.0
San Francisco 49ers,247.0,4880.0,1061.0,4.6,49.0,10.0,285.0,324.0,604.0,3325.0,18.0,39.0,5.1,169.0,406.0,1555.0,8.0,3.8,97.0,89.0,653.0,19.0,0.0,0.0
Los Angeles Rams,267.0,4871.0,1038.0,4.7,43.0,15.0,272.0,313.0,539.0,3190.0,17.0,28.0,5.5,169.0,460.0,1681.0,9.0,3.7,93.0,92.0,804.0,10.0,0.0,0.0
Minnesota Vikings,273.0,5012.0,1013.0,4.9,42.0,18.0,286.0,276.0,494.0,3216.0,16.0,24.0,6.0,155.0,481.0,1796.0,10.0,3.7,106.0,99.0,806.0,25.0,0.0,0.0
Atlanta Falcons,280.0,4908.0,964.0,5.1,36.0,14.0,268.0,241.0,453.0,2992.0,19.0,22.0,6.2,139.0,485.0,1916.0,10.0,4.0,111.0,106.0,834.0,18.0,0.0,0.0
New Orleans Saints,287.0,5102.0,1109.0,4.6,43.0,17.0,331.0,331.0,576.0,3543.0,21.0,26.0,5.7,197.0,486.0,1559.0,11.0,3.2,104.0,104.0,791.0,30.0,0.0,0.0
Seattle Seahawks,293.0,5341.0,1053.0,5.1,36.0,14.0,310.0,301.0,535.0,3582.0,20.0,22.0,6.2,192.0,471.0,1759.0,12.0,3.7,93.0,81.0,652.0,25.0,0.0,0.0
Washington Redskins,296.0,5297.0,1046.0,5.1,28.0,9.0,316.0,302.0,532.0,3492.0,21.0,19.0,5.9,181.0,459.0,1805.0,14.0,3.9,103.0,115.0,1026.0,32.0,0.0,0.0
New England Patriots,307.0,5181.0,1031.0,5.0,40.0,19.0,286.0,255.0,473.0,2978.0,15.0,21.0,5.7,153.0,510.0,2203.0,19.0,4.3,118.0,106.0,866.0,15.0,0.0,0.0
Cleveland Browns,310.0,5269.0,1047.0,5.0,37.0,19.0,302.0,291.0,518.0,3288.0,21.0,18.0,5.9,171.0,494.0,1981.0,12.0,4.0,113.0,101.0,754.0,18.0,0.0,0.0
Philadelphia Eagles,312.0,5224.0,1043.0,5.0,36.0,13.0,278.0,260.0,532.0,3235.0,21.0,23.0,5.5,156.0,458.0,1989.0,14.0,4.3,97.0,115.0,884.0,25.0,0.0,0.0
Kansas City Chiefs,326.0,4934.0,1098.0,4.5,49.0,18.0,310.0,303.0,569.0,3195.0,21.0,31.0,5.2,173.0,485.0,1739.0,13.0,3.6,111.0,114.0,965.0,26.0,0.0,0.0
Detroit Lions,326.0,5149.0,1028.0,5.0,41.0,19.0,298.0,279.0,468.0,2800.0,14.0,22.0,5.5,148.0,519.0,2349.0,15.0,4.5,134.0,99.0,781.0,16.0,0.0,0.0
Denver Broncos,327.0,4947.0,1026.0,4.8,35.0,17.0,291.0,301.0,545.0,3296.0,21.0,18.0,5.5,177.0,432.0,1651.0,13.0,3.8,93.0,127.0,1034.0,21.0,0.0,0.0
Houston Oilers,329.0,5034.0,1054.0,4.8,32.0,16.0,285.0,228.0,490.0,2999.0,25.0,16.0,5.7,137.0,532.0,2035.0,13.0,3.8,102.0,85.0,674.0,46.0,0.0,0.0
Pittsburgh Steelers,336.0,5252.0,1050.0,5.0,33.0,13.0,303.0,311.0,536.0,3380.0,22.0,20.0,5.8,176.0,471.0,1872.0,10.0,4.0,97.0,109.0,904.0,30.0,0.0,0.0
Dallas Cowboys,337.0,4985.0,1017.0,4.9,35.0,18.0,286.0,226.0,464.0,2785.0,21.0,17.0,5.4,148.0,500.0,2200.0,17.0,4.4,118.0,91.0,822.0,20.0,0.0,0.0
Los Angeles Raiders,346.0,4804.0,1003.0,4.8,38.0,12.0,283.0,271.0,501.0,3076.0,21.0,26.0,5.5,168.0,439.0,1728.0,19.0,3.9,85.0,118.0,868.0,30.0,0.0,0.0
Buffalo Bills,348.0,5523.0,1071.0,5.2,18.0,8.0,334.0,343.0,570.0,3802.0,21.0,10.0,6.3,204.0,465.0,1721.0,18.0,3.7,100.0,128.0,1098.0,30.0,0.0,0.0
St. Louis Cardinals,351.0,4864.0,1037.0,4.7,22.0,12.0,304.0,215.0,436.0,2637.0,21.0,10.0,5.5,149.0,560.0,2227.0,17.0,4.0,125.0,86.0,682.0,30.0,0.0,0.0
New York Jets,386.0,6050.0,1081.0,5.6,38.0,18.0,349.0,348.0,603.0,4389.0,35.0,20.0,7.0,216.0,450.0,1661.0,12.0,3.7,92.0,102.0,795.0,41.0,0.0,0.0
Cincinnati Bengals,394.0,5274.0,1051.0,5.0,28.0,11.0,336.0,278.0,495.0,3152.0,17.0,17.0,5.9,171.0,514.0,2122.0,23.0,4.1,134.0,93.0,840.0,31.0,0.0,0.0
San Diego Chargers,396.0,5366.0,1046.0,5.1,37.0,22.0,308.0,288.0,509.0,3688.0,27.0,15.0,6.5,182.0,475.0,1678.0,14.0,3.5,104.0,108.0,918.0,22.0,0.0,0.0
Indianapolis Colts,400.0,5701.0,1051.0,5.4,35.0,19.0,334.0,306.0,510.0,3739.0,28.0,16.0,7.0,185.0,517.0,1962.0,14.0,3.8,123.0,100.0,728.0,26.0,0.0,0.0
Miami Dolphins,405.0,6050.0,1058.0,5.7,27.0,14.0,337.0,290.0,485.0,3557.0,22.0,13.0,6.9,177.0,540.0,2493.0,23.0,4.6,144.0,82.0,596.0,16.0,0.0,0.0
Green Bay Packers,418.0,5015.0,1041.0,4.8,32.0,12.0,313.0,267.0,448.0,2920.0,31.0,20.0,6.1,151.0,565.0,2095.0,16.0,3.7,135.0,79.0,657.0,27.0,0.0,0.0
Tampa Bay Buccaneers,473.0,6333.0,1061.0,6.0,32.0,19.0,362.0,289.0,484.0,3685.0,23.0,13.0,7.3,177.0,558.0,2648.0,31.0,4.7,162.0,116.0,941.0,23.0,0.0,0.0
Avg Team,328.3,5187.6,1042.0,5.0,36.1,15.4,303.3,286.2,516.8,3288.6,20.9,20.8,5.9,169.6,482.5,1899.0,14.3,3.9,108.5,102.67857142857143,829.5357142857142,25.1,0.0,0.0
