Tm,PF_Defense,TotalYds_Defense,Ply_Defense,Y/Play_Defense,TO_Defense,FL_Defense,1stD_Defense,Cmp_Defense,PassAtt_Defense,PassYds_Defense,PassTD_Defense,Int_Defense,NY/A_Defense,1stDpass_Defense,RushAtt_Defense,RushYds_Defense,RushTD_Defense,Y/Arun_Defense,1stDrun_Defense,Pen_Defense,PenYds_Defense,1stPy_Defense,Sc%_Defense,TO%_Defense,ExpectedPoints_Defense
Pittsburgh Steelers,251.0,4134.0,882.0,4.7,32.0,13.0,248.0,269.0,484.0,2835.0,14.0,19.0,5.4,146.0,357.0,1299.0,8.0,3.6,79.0,104.0,875.0,23.0,25.9,17.2,112.87
New England Patriots,260.0,4972.0,988.0,5.0,36.0,16.0,290.0,315.0,538.0,3400.0,18.0,20.0,5.8,177.0,405.0,1572.0,9.0,3.9,83.0,118.0,1014.0,30.0,24.0,20.0,103.85
Philadelphia Eagles,260.0,5115.0,1039.0,4.9,28.0,11.0,299.0,334.0,550.0,3212.0,16.0,17.0,5.4,165.0,442.0,1903.0,13.0,4.3,101.0,119.0,1001.0,33.0,25.1,13.1,46.14
New York Jets,261.0,4878.0,966.0,5.0,33.0,14.0,282.0,289.0,497.0,3312.0,21.0,19.0,6.2,169.0,432.0,1566.0,8.0,3.6,87.0,86.0,720.0,26.0,25.3,16.9,55.74
Washington Redskins,265.0,4281.0,974.0,4.4,26.0,8.0,251.0,294.0,515.0,2977.0,17.0,18.0,5.4,153.0,419.0,1304.0,7.0,3.1,67.0,97.0,797.0,31.0,20.7,12.6,130.16
Baltimore Ravens,268.0,4803.0,1009.0,4.8,34.0,13.0,272.0,276.0,501.0,3122.0,14.0,21.0,5.8,158.0,469.0,1681.0,9.0,3.6,88.0,101.0,796.0,26.0,24.6,16.6,171.7
Jacksonville Jaguars,280.0,5134.0,972.0,5.3,28.0,12.0,290.0,306.0,497.0,3357.0,18.0,16.0,6.3,181.0,438.0,1777.0,7.0,4.1,83.0,118.0,966.0,26.0,26.4,16.1,0.68
Buffalo Bills,284.0,4228.0,978.0,4.3,39.0,15.0,258.0,261.0,486.0,2624.0,20.0,24.0,4.9,150.0,447.0,1604.0,6.0,3.6,79.0,120.0,865.0,29.0,27.6,19.3,147.87
Denver Broncos,304.0,4459.0,918.0,4.9,20.0,8.0,235.0,272.0,484.0,2947.0,17.0,12.0,5.6,130.0,396.0,1512.0,16.0,3.8,83.0,120.0,1062.0,22.0,28.1,9.9,50.52
Tampa Bay Buccaneers,304.0,4552.0,961.0,4.7,27.0,11.0,258.0,247.0,436.0,2579.0,21.0,16.0,5.4,131.0,480.0,1973.0,8.0,4.1,101.0,112.0,897.0,26.0,26.2,13.4,91.42
San Diego Chargers,313.0,5360.0,991.0,5.4,33.0,10.0,320.0,372.0,607.0,4053.0,19.0,23.0,6.4,200.0,355.0,1307.0,15.0,3.7,79.0,109.0,940.0,41.0,29.5,17.5,-7.48
