Rk,Tm,G,#Dr,Plays,Sc%,TO%,Plays,Yds,Start,Time,Pts
1,Chicago Bears,16,203,1021,30.5,11.3,5.0,23.3,Own 33.4,2:15,1.63
2,Philadelphia Eagles,16,200,1096,35.5,11.5,5.5,28.0,Own 31.2,2:31,1.83
3,Baltimore Ravens,16,194,1093,33.0,10.8,5.6,26.6,Own 32.3,2:45,1.73
4,Carolina Panthers,16,192,969,38.0,9.9,5.0,29.2,Own 31.8,2:27,2.08
5,Tennessee Titans,16,191,1006,34.6,8.9,5.3,26.1,Own 32.4,2:27,1.81
6,Minnesota Vikings,16,190,1048,34.7,14.7,5.5,27.7,Own 29.3,2:38,1.82
7,Pittsburgh Steelers,16,190,1046,32.6,12.6,5.5,26.1,Own 31.1,2:40,1.72
8,Dallas Cowboys,16,190,1001,32.1,16.3,5.3,28.9,Own 29.5,2:32,1.83
9,St. Louis Rams,16,190,1018,26.3,16.3,5.4,24.2,Own 27.2,2:29,1.19
10,Tampa Bay Buccaneers,16,189,1083,33.3,12.7,5.7,28.8,Own 32.4,2:43,1.66
11,Oakland Raiders,16,187,949,24.6,11.8,5.1,23.0,Own 30.3,2:26,1.21
12,Detroit Lions,16,187,936,26.2,15.0,5.0,22.9,Own 27.9,2:19,1.39
13,Cincinnati Bengals,16,186,1010,21.0,13.4,5.4,21.0,Own 30.1,2:31,0.99
14,San Francisco 49ers,16,185,994,33.0,18.4,5.4,26.7,Own 29.2,2:33,1.68
15,Green Bay Packers,16,179,1045,36.9,11.2,5.8,31.2,Own 28.2,2:50,1.98
16,New York Giants,16,178,1060,43.8,7.3,6.0,32.0,Own 32.3,3:00,2.26
17,New Orleans Saints,16,178,1074,42.7,14.0,6.0,36.7,Own 29.9,2:44,2.49
18,Washington Redskins,16,178,1062,29.2,9.6,6.0,28.7,Own 31.8,2:50,1.46
19,Kansas City Chiefs,16,178,979,27.0,12.4,5.5,27.6,Own 27.8,2:31,1.53
20,Arizona Cardinals,16,178,1025,39.3,15.7,5.8,32.9,Own 30.8,2:43,2.19
21,New York Jets,16,177,1010,37.3,16.9,5.7,29.8,Own 31.4,2:49,2.07
22,Buffalo Bills,16,176,994,34.1,16.5,5.6,27.7,Own 32.1,2:44,1.70
23,Seattle Seahawks,16,176,955,29.5,13.6,5.4,25.0,Own 30.9,2:25,1.52
24,Atlanta Falcons,16,174,1042,39.7,10.3,6.0,33.1,Own 30.6,2:52,2.11
25,Miami Dolphins,16,174,990,33.9,6.9,5.7,31.6,Own 29.2,2:51,1.89
26,New England Patriots,16,174,1135,44.8,11.5,6.5,33.5,Own 33.3,2:59,2.31
27,Houston Texans,16,173,1052,38.2,17.3,6.1,35.3,Own 29.8,2:58,2.00
28,Jacksonville Jaguars,16,172,1030,29.7,12.8,6.0,29.7,Own 27.3,2:56,1.63
29,Cleveland Browns,16,172,958,27.3,14.5,5.6,23.1,Own 29.8,2:34,1.22
30,San Diego Chargers,16,170,956,43.5,10.6,5.6,32.8,Own 30.6,2:43,2.41
31,Denver Broncos,16,167,1053,38.9,17.4,6.3,37.9,Own 26.0,2:45,2.13
32,Indianapolis Colts,16,150,994,40.7,10.0,6.6,35.8,Own 28.2,3:03,2.31
,League Total,,5798,32684,34.0,12.9,5.6,28.8,Own 30.3,2:40,1.80
