Rk,Tm,G,#Dr,Plays,Sc%,TO%,Plays,Yds,Start,Time,Pts
1,Baltimore Ravens,16,217,1049,31.8,16.6,4.8,22.7,Own 35.0,2:16,1.60
2,New England Patriots,16,204,1076,27.9,11.3,5.3,24.6,Own 33.3,2:29,1.47
3,Dallas Cowboys,16,203,1091,25.1,13.8,5.4,25.2,Own 30.4,2:35,1.31
4,Atlanta Falcons,16,201,957,24.9,12.9,4.8,21.6,Own 29.7,2:13,1.36
5,St. Louis Rams,16,197,1096,41.1,16.8,5.6,27.6,Own 34.1,2:36,2.09
6,New York Giants,16,196,1075,21.4,18.4,5.5,25.1,Own 30.8,2:21,1.09
7,Carolina Panthers,16,195,1046,30.8,14.9,5.4,26.3,Own 31.7,2:33,1.50
8,San Francisco 49ers,16,194,1076,35.1,12.4,5.5,29.3,Own 34.0,2:34,1.92
9,Green Bay Packers,16,192,1025,38.0,15.6,5.3,30.2,Own 32.3,2:35,2.18
10,Pittsburgh Steelers,16,192,1052,27.1,13.5,5.5,24.9,Own 32.9,2:34,1.42
11,Miami Dolphins,16,192,997,28.1,17.2,5.2,23.9,Own 32.1,2:31,1.51
12,Washington Redskins,16,191,1024,28.3,13.6,5.4,24.5,Own 31.8,2:25,1.46
13,San Diego Chargers,16,191,991,27.2,15.7,5.2,27.0,Own 30.9,2:21,1.59
14,Detroit Lions,16,190,998,23.2,13.7,5.3,22.4,Own 32.4,2:23,1.16
15,Oakland Raiders,16,189,1013,24.3,12.2,5.4,24.1,Own 31.0,2:23,1.24
16,Kansas City Chiefs,16,188,1023,38.3,8.5,5.4,31.3,Own 32.3,2:31,2.34
17,Houston Texans,16,188,920,24.5,13.8,4.9,22.9,Own 30.4,2:23,1.33
18,Tennessee Titans,16,188,1050,39.4,9.6,5.6,29.4,Own 34.1,2:48,2.07
19,Tampa Bay Buccaneers,16,188,1062,25.5,16.0,5.6,29.0,Own 29.8,2:45,1.45
20,Buffalo Bills,16,187,1004,21.9,17.6,5.4,23.0,Own 30.3,2:33,1.17
21,Philadelphia Eagles,16,187,973,34.2,10.2,5.2,26.9,Own 32.5,2:25,1.88
22,New Orleans Saints,16,186,1050,31.2,14.5,5.6,29.1,Own 30.7,2:38,1.71
23,Chicago Bears,16,186,1039,27.4,14.5,5.6,23.4,Own 33.0,2:33,1.36
24,Seattle Seahawks,16,185,1047,36.2,13.5,5.7,30.4,Own 32.2,2:29,2.06
25,Arizona Cardinals,16,185,1007,22.2,18.4,5.4,24.1,Own 30.3,2:35,1.16
26,Jacksonville Jaguars,16,183,1057,27.3,15.8,5.8,29.2,Own 29.5,2:38,1.48
27,Denver Broncos,16,183,1079,36.6,12.0,5.9,30.6,Own 30.5,2:59,1.95
28,Minnesota Vikings,16,183,1081,35.5,13.1,5.9,34.3,Own 29.9,2:52,2.09
29,Cleveland Browns,16,180,989,26.7,17.2,5.5,24.9,Own 30.2,2:37,1.36
30,Cincinnati Bengals,16,180,1063,33.3,11.1,5.9,29.6,Own 29.0,2:45,1.84
31,Indianapolis Colts,16,177,1078,46.3,10.2,6.1,33.2,Own 31.8,2:51,2.41
32,New York Jets,16,170,968,32.4,11.8,5.7,29.0,Own 30.4,2:41,1.63
,League Total,,6068,33056,30.4,14.0,5.4,26.8,Own 31.5,2:33,1.63
