Rk,Tm,G,#Dr,Plays,Sc%,TO%,Plays,Yds,Start,Time,Pts
1,Indianapolis Colts,16,205,1136,39.5,14.6,5.5,31.6,Own 28.7,2:29,2.18
2,Philadelphia Eagles,16,203,1163,36.9,17.2,5.7,31.1,Own 30.0,2:06,1.96
3,Oakland Raiders,16,198,1016,22.7,13.6,5.1,22.6,Own 24.2,2:17,1.21
4,Denver Broncos,16,198,1096,39.9,9.6,5.5,32.6,Own 28.9,2:29,2.31
5,Buffalo Bills,16,197,1058,32.5,11.2,5.4,25.8,Own 30.2,2:25,1.58
6,Jacksonville Jaguars,16,195,1014,22.6,12.8,5.2,23.7,Own 25.7,2:14,1.17
7,Houston Texans,16,194,1097,33.0,11.3,5.7,28.2,Own 27.7,2:34,1.69
8,Cleveland Browns,16,193,1042,28.0,10.9,5.4,26.8,Own 26.8,2:20,1.44
9,New York Giants,16,193,1112,34.7,12.4,5.8,30.3,Own 28.2,2:33,1.93
10,Washington Redskins,16,192,1033,29.7,15.6,5.4,29.9,Own 25.1,2:34,1.58
11,Tennessee Titans,16,191,941,23.6,12.6,4.9,25.3,Own 25.8,2:18,1.25
12,Cincinnati Bengals,16,191,1051,34.0,13.1,5.5,29.1,Own 30.3,2:33,1.84
13,New York Jets,16,186,1091,31.7,11.8,5.9,28.0,Own 27.8,2:40,1.53
14,St. Louis Rams,16,186,987,29.6,14.0,5.3,26.9,Own 28.0,2:31,1.55
15,Baltimore Ravens,16,182,1055,39.6,9.9,5.8,32.0,Own 28.7,2:36,2.13
16,New England Patriots,16,181,1110,45.3,7.2,6.1,32.3,Own 30.6,2:37,2.40
17,Miami Dolphins,16,181,1077,37.6,10.5,6.0,30.9,Own 31.1,2:40,1.99
18,Arizona Cardinals,16,181,1026,30.9,9.4,5.7,28.3,Own 26.9,2:38,1.52
19,Chicago Bears,16,180,1021,27.8,16.1,5.7,29.0,Own 25.9,2:41,1.68
20,Tampa Bay Buccaneers,16,180,960,26.7,17.2,5.3,25.8,Own 26.6,2:26,1.42
21,Detroit Lions,16,179,1083,32.4,9.5,6.1,30.4,Own 29.9,2:50,1.71
22,Dallas Cowboys,16,179,1043,43.6,12.8,5.8,34.1,Own 28.9,2:56,2.49
23,San Francisco 49ers,16,178,1040,30.9,11.8,5.8,29.4,Own 27.8,2:51,1.60
24,Carolina Panthers,16,178,1095,34.8,11.8,6.2,31.0,Own 27.7,2:54,1.79
25,Minnesota Vikings,16,176,1016,31.8,10.8,5.8,28.5,Own 27.3,2:37,1.64
26,Seattle Seahawks,16,175,1058,40.6,6.9,6.0,34.2,Own 30.5,2:58,2.13
27,Atlanta Falcons,16,175,1067,38.9,13.1,6.1,34.6,Own 26.5,2:42,2.06
28,Pittsburgh Steelers,16,174,1100,41.4,11.5,6.3,37.5,Own 25.7,2:59,2.23
29,New Orleans Saints,16,174,1117,39.1,16.7,6.4,37.7,Own 25.5,2:49,2.30
30,San Diego Chargers,16,174,1035,33.9,12.6,5.9,31.3,Own 26.4,2:51,1.87
31,Kansas City Chiefs,16,173,992,35.8,9.2,5.7,29.4,Own 29.3,2:46,1.93
32,Green Bay Packers,16,169,1034,46.7,7.1,6.1,36.5,Own 28.5,2:53,2.63
,League Total,,5911,33766,34.1,12.1,5.7,30.1,Own 27.9,2:37,1.83
