Rk,Tm,G,#Dr,Plays,Sc%,TO%,Plays,Yds,Start,Time,Pts
1,Arizona Cardinals,16,209,1046,22.0,14.8,5.0,20.1,Own 30.4,2:15,1.06
2,Houston Texans,16,202,1128,35.6,8.4,5.6,29.5,Own 27.0,2:40,1.88
3,Detroit Lions,16,197,1196,36.0,15.2,6.1,33.2,Own 25.1,2:36,1.87
4,Jacksonville Jaguars,16,196,1022,25.5,12.8,5.2,24.4,Own 26.6,2:17,1.28
5,Chicago Bears,16,195,1032,30.3,11.8,5.3,25.4,Own 31.1,2:37,1.56
6,Cincinnati Bengals,16,195,1052,35.4,12.8,5.4,27.2,Own 31.2,2:30,1.86
7,New York Jets,16,194,1061,24.2,17.5,5.5,24.6,Own 27.8,2:31,1.26
8,Baltimore Ravens,16,193,1075,35.8,7.8,5.6,29.2,Own 27.0,2:22,1.88
9,Tampa Bay Buccaneers,16,193,1041,35.2,10.9,5.4,30.1,Own 29.0,2:31,1.89
10,Cleveland Browns,16,191,1029,29.8,12.0,5.4,26.2,Own 29.0,2:22,1.48
11,Buffalo Bills,16,190,1007,30.0,17.4,5.3,28.8,Own 27.3,2:32,1.66
12,New Orleans Saints,16,190,1089,37.4,12.1,5.7,34.7,Own 24.2,2:26,2.24
13,Denver Broncos,16,188,1122,39.9,12.2,6.0,33.9,Own 29.1,2:40,2.24
14,Tennessee Titans,16,188,988,27.7,14.9,5.3,26.6,Own 25.4,2:21,1.40
15,Oakland Raiders,16,188,1066,31.4,12.8,5.7,29.0,Own 26.0,2:31,1.54
16,Miami Dolphins,16,186,1011,27.4,12.9,5.4,26.8,Own 25.3,2:30,1.42
17,Kansas City Chiefs,16,186,1049,24.2,18.8,5.6,27.4,Own 26.4,2:37,1.09
18,Green Bay Packers,16,186,1075,37.6,8.1,5.8,30.9,Own 31.2,2:37,2.18
19,Pittsburgh Steelers,16,186,1054,33.9,15.6,5.7,28.6,Own 26.8,2:46,1.77
20,New England Patriots,16,185,1226,48.1,8.1,6.6,37.0,Own 28.4,2:40,2.74
21,Philadelphia Eagles,16,184,1110,29.9,17.9,6.0,30.4,Own 25.6,2:35,1.51
22,Washington Redskins,16,183,1024,39.3,7.7,5.6,33.6,Own 27.5,2:44,2.23
23,St. Louis Rams,16,182,1033,27.5,11.0,5.7,28.9,Own 24.4,2:37,1.42
24,Minnesota Vikings,16,182,1039,37.9,12.6,5.7,29.5,Own 27.4,2:32,1.88
25,Dallas Cowboys,16,180,1080,36.7,15.0,6.0,33.2,Own 27.2,2:45,1.92
26,Indianapolis Colts,16,180,1142,33.3,13.9,6.3,32.2,Own 24.8,2:44,1.76
27,San Diego Chargers,16,180,1015,30.6,13.9,5.6,26.4,Own 28.9,2:49,1.58
28,San Francisco 49ers,16,178,1011,39.3,7.9,5.7,32.5,Own 31.8,2:51,2.10
29,New York Giants,16,176,1007,43.8,11.9,5.7,32.3,Own 31.4,2:39,2.31
30,Carolina Panthers,16,175,1009,32.6,10.3,5.8,32.9,Own 25.8,2:44,1.91
31,Atlanta Falcons,16,175,1059,44.0,10.3,6.1,33.7,Own 29.0,2:49,2.33
32,Seattle Seahawks,16,170,1001,39.4,10.0,5.9,32.9,Own 29.4,3:00,2.19
,League Total,,5983,33899,33.7,12.5,5.7,29.7,Own 27.7,2:35,1.79
