Rk,Tm,G,#Dr,Plays,Sc%,TO%,Plays,Yds,Start,Time,Pts
1,Miami Dolphins,16,210,1047,22.9,18.6,5.0,21.0,Own 31.4,2:09,1.24
2,Chicago Bears,16,207,992,16.4,16.4,4.8,18.3,Own 32.3,2:12,0.86
3,Cincinnati Bengals,16,202,1036,31.7,15.8,5.1,25.4,Own 32.1,2:19,1.68
4,Tennessee Titans,16,200,1080,29.0,15.0,5.4,27.4,Own 30.0,2:32,1.65
5,Arizona Cardinals,16,200,1077,25.5,13.5,5.4,22.7,Own 30.7,2:30,1.35
6,San Francisco 49ers,16,200,1049,22.0,20.0,5.2,22.8,Own 28.7,2:21,1.18
7,Washington Redskins,16,198,1050,21.7,13.1,5.3,22.1,Own 31.7,2:32,1.14
8,Cleveland Browns,16,198,950,25.8,18.2,4.8,22.3,Own 32.6,2:17,1.32
9,Tampa Bay Buccaneers,16,194,974,24.7,18.6,5.0,25.5,Own 30.1,2:27,1.42
10,Seattle Seahawks,16,193,1060,32.6,14.0,5.5,29.2,Own 29.7,2:25,1.81
11,New Orleans Saints,16,193,1016,30.1,13.0,5.3,26.8,Own 30.5,2:22,1.65
12,Baltimore Ravens,16,192,1025,27.6,10.9,5.3,22.8,Own 34.2,2:29,1.33
13,Philadelphia Eagles,16,192,993,35.9,10.9,5.2,29.2,Own 31.1,2:24,1.95
14,Denver Broncos,16,191,1104,36.1,14.7,5.8,33.1,Own 29.0,2:44,1.92
15,Detroit Lions,16,188,977,26.6,10.1,5.2,24.9,Own 29.7,2:24,1.35
16,Dallas Cowboys,16,187,1030,28.3,19.3,5.5,27.7,Own 31.2,2:37,1.56
17,Buffalo Bills,16,187,1014,32.1,14.4,5.4,24.8,Own 36.2,2:36,1.73
18,Oakland Raiders,16,184,968,32.1,17.4,5.3,27.9,Own 30.4,2:20,1.70
19,Atlanta Falcons,16,184,992,28.8,15.8,5.4,27.6,Own 31.1,2:33,1.63
20,Green Bay Packers,16,182,1081,37.9,15.4,5.9,34.9,Own 28.6,2:41,2.13
21,New York Giants,16,182,980,28.6,12.1,5.4,25.9,Own 32.3,2:32,1.52
22,Carolina Panthers,16,182,1016,32.4,12.6,5.6,28.6,Own 31.8,2:38,1.83
23,Kansas City Chiefs,16,182,1112,41.2,14.3,6.1,36.7,Own 31.2,2:50,2.51
24,San Diego Chargers,16,179,1022,40.8,8.9,5.7,30.9,Own 33.1,2:49,2.41
25,Pittsburgh Steelers,16,179,1047,35.8,11.7,5.8,28.9,Own 33.4,3:02,1.88
26,Jacksonville Jaguars,16,178,1023,28.1,11.8,5.7,27.9,Own 28.7,2:45,1.43
27,New England Patriots,16,178,1069,42.1,14.6,6.0,32.1,Own 31.4,2:49,2.25
28,Houston Texans,16,177,1026,27.7,13.6,5.8,28.9,Own 30.6,2:44,1.55
29,Indianapolis Colts,16,175,995,46.3,9.7,5.7,36.9,Own 31.0,2:38,2.78
30,St. Louis Rams,16,175,1035,30.3,20.6,5.9,33.6,Own 26.0,2:54,1.69
31,New York Jets,16,174,1025,33.3,8.6,5.9,31.2,Own 30.4,2:59,1.78
32,Minnesota Vikings,16,167,1007,38.9,12.0,6.0,37.6,Own 27.3,2:54,2.29
,League Total,,6010,32872,30.8,14.3,5.5,27.8,Own 30.9,2:34,1.69
