Rk,Tm,G,#Dr,Plays,Sc%,TO%,Plays,Yds,Start,Time,Pts
1,Buffalo Bills,16,214,1152,29.9,12.1,5.4,25.2,Own 26.8,2:09,1.48
2,Baltimore Ravens,16,207,1131,30.9,13.5,5.5,23.7,Own 29.1,2:21,1.43
3,New York Giants,16,204,1014,25.5,20.1,5.0,23.9,Own 27.1,2:18,1.33
4,Denver Broncos,16,202,1182,47.5,10.4,5.9,36.2,Own 28.3,2:25,2.83
5,Philadelphia Eagles,16,201,1082,36.8,9.0,5.4,33.1,Own 27.9,2:06,2.12
6,Cincinnati Bengals,16,201,1119,32.3,14.9,5.6,29.2,Own 26.9,2:37,1.91
7,Houston Texans,16,201,1124,25.9,14.9,5.6,27.6,Own 25.8,2:30,1.29
8,New England Patriots,16,201,1179,40.8,10.0,5.9,30.6,Own 30.0,2:25,2.10
9,Arizona Cardinals,16,200,1073,33.0,15.5,5.4,27.7,Own 28.9,2:29,1.71
10,Washington Redskins,16,199,1133,27.6,16.6,5.7,29.5,Own 25.3,2:29,1.51
11,Kansas City Chiefs,16,197,1057,32.0,9.1,5.4,27.3,Own 33.4,2:31,1.79
12,Detroit Lions,16,196,1126,32.1,17.3,5.7,31.8,Own 27.1,2:38,1.86
13,New York Jets,16,196,1056,29.6,14.8,5.4,25.8,Own 26.0,2:28,1.40
14,Minnesota Vikings,16,195,1043,34.4,14.9,5.3,28.3,Own 28.1,2:20,1.87
15,Jacksonville Jaguars,16,195,1045,23.6,13.8,5.4,24.0,Own 28.2,2:15,1.18
16,Cleveland Browns,16,195,1104,26.2,13.8,5.7,27.8,Own 26.4,2:21,1.40
17,Miami Dolphins,16,194,1035,29.9,13.4,5.3,25.6,Own 27.9,2:22,1.56
18,Oakland Raiders,16,194,1030,27.8,14.9,5.3,27.4,Own 26.5,2:28,1.52
19,Pittsburgh Steelers,16,189,1055,35.4,12.7,5.6,28.6,Own 29.8,2:37,1.85
20,Indianapolis Colts,16,188,1063,38.8,6.9,5.7,29.1,Own 28.0,2:32,1.97
21,Tampa Bay Buccaneers,16,188,1010,27.1,9.6,5.4,23.4,Own 26.8,2:31,1.41
22,San Francisco 49ers,16,188,997,37.8,9.0,5.3,27.5,Own 31.6,2:36,1.96
23,Green Bay Packers,16,186,1111,40.9,12.4,6.0,34.5,Own 28.2,2:39,2.15
24,St. Louis Rams,16,184,996,31.5,11.4,5.4,26.5,Own 26.3,2:32,1.64
25,Tennessee Titans,16,184,1061,34.2,11.4,5.8,29.1,Own 27.9,2:38,1.85
26,Dallas Cowboys,16,183,987,39.9,9.8,5.4,29.7,Own 29.7,2:32,2.18
27,Chicago Bears,16,182,1042,39.0,12.1,5.7,33.5,Own 28.5,2:44,2.16
28,Seattle Seahawks,16,182,1008,40.7,9.3,5.5,29.7,Own 31.0,2:41,2.12
29,New Orleans Saints,16,181,1111,40.3,8.3,6.1,35.3,Own 27.8,2:53,2.29
30,Atlanta Falcons,16,179,1051,34.1,14.5,5.9,30.7,Own 26.2,2:43,1.85
31,Carolina Panthers,16,170,1026,36.5,9.4,6.0,29.8,Own 29.4,3:00,1.99
32,San Diego Chargers,16,167,1097,44.9,11.4,6.6,37.7,Own 27.3,3:13,2.33
,League Total,,6143,34300,33.8,12.5,5.6,29.0,Own 28.1,2:31,1.81
