Rk,Tm,G,#Dr,Plays,Sc%,TO%,Plays,Yds,Start,Time,Pts
1,Kansas City Chiefs,16,202,1048,25.2,12.4,5.2,23.7,Own 28.5,2:13,1.27
2,Arizona Cardinals,16,199,1004,30.7,17.1,5.0,27.6,Own 29.9,2:24,1.78
3,New York Jets,16,198,1066,31.8,15.2,5.4,25.9,Own 32.4,2:36,1.62
4,San Francisco 49ers,16,196,963,27.6,10.2,4.9,23.8,Own 29.1,2:26,1.54
5,Oakland Raiders,16,194,973,22.2,16.5,5.0,21.9,Own 27.1,2:20,1.02
6,Tampa Bay Buccaneers,16,194,987,20.1,17.5,5.1,23.6,Own 30.4,2:22,1.08
7,Seattle Seahawks,16,194,1071,26.3,15.5,5.5,25.8,Own 28.4,2:16,1.35
8,Detroit Lions,16,194,1065,23.7,20.1,5.5,24.6,Own 27.7,2:23,1.23
9,Carolina Panthers,16,193,1051,29.0,15.0,5.4,27.4,Own 28.2,2:30,1.58
10,Chicago Bears,16,193,999,29.5,16.6,5.2,25.7,Own 32.4,2:22,1.57
11,Philadelphia Eagles,16,192,1012,38.0,10.4,5.3,29.8,Own 30.6,2:21,1.99
12,Green Bay Packers,16,191,1078,40.3,7.9,5.6,31.7,Own 32.3,2:46,2.26
13,Cleveland Browns,16,189,996,23.3,16.4,5.3,21.9,Own 30.5,2:27,1.14
14,Denver Broncos,16,189,1067,31.7,11.6,5.6,28.9,Own 29.0,2:33,1.59
15,Buffalo Bills,16,188,944,27.1,13.8,5.0,23.3,Own 30.3,2:24,1.30
16,Minnesota Vikings,16,188,1082,42.0,9.0,5.8,32.2,Own 32.5,2:48,2.39
17,Houston Texans,16,187,1075,33.7,15.0,5.7,32.8,Own 30.2,2:44,1.91
18,Tennessee Titans,16,187,1022,33.2,15.0,5.5,29.9,Own 27.1,2:27,1.74
19,New Orleans Saints,16,185,1060,41.6,13.5,5.7,34.9,Own 31.4,2:44,2.44
20,New York Giants,16,183,1049,37.7,15.3,5.7,32.0,Own 30.5,2:46,2.05
21,Pittsburgh Steelers,16,183,1045,35.5,12.6,5.7,32.4,Own 29.5,2:52,1.90
22,Baltimore Ravens,16,183,1044,35.0,10.9,5.7,30.7,Own 31.8,2:35,1.99
23,Miami Dolphins,16,181,1116,34.3,15.5,6.2,29.7,Own 28.4,2:50,1.85
24,St. Louis Rams,16,181,1022,19.3,16.6,5.6,24.6,Own 28.1,2:35,0.93
25,Dallas Cowboys,16,179,1051,33.5,9.5,5.9,35.7,Own 27.6,2:53,1.90
26,New England Patriots,16,178,1107,41.0,12.4,6.2,35.7,Own 30.0,2:58,2.29
27,Cincinnati Bengals,16,177,1039,29.9,13.0,5.9,27.8,Own 29.7,2:56,1.58
28,Jacksonville Jaguars,16,176,1038,29.5,12.5,5.9,30.6,Own 28.5,2:46,1.66
29,Indianapolis Colts,16,174,1001,37.9,13.2,5.8,33.4,Own 28.0,2:33,2.29
30,Washington Redskins,16,172,995,29.7,13.4,5.8,28.9,Own 28.7,2:42,1.56
31,San Diego Chargers,16,170,1007,45.9,9.4,5.9,33.9,Own 30.8,2:49,2.46
32,Atlanta Falcons,16,170,1077,35.3,13.5,6.3,32.1,Own 30.6,2:49,2.02
,League Total,,5960,33154,31.8,13.7,5.6,28.7,Own 29.7,2:35,1.72
