Rk,Tm,G,#Dr,Plays,Sc%,TO%,Plays,Yds,Start,Time,Pts
1,Philadelphia Eagles,16,218,1057,24.8,14.7,4.8,23.3,Own 30.4,2:06,1.33
2,Miami Dolphins,16,202,1057,28.7,14.4,5.2,25.4,Own 31.5,2:10,1.51
3,New York Giants,16,201,1097,37.8,11.4,5.5,28.7,Own 33.8,2:29,1.95
4,San Francisco 49ers,16,196,894,21.9,16.3,4.6,18.2,Own 27.6,2:15,1.01
5,Chicago Bears,16,195,969,22.6,12.8,5.0,21.0,Own 33.8,2:22,1.13
6,St. Louis Rams,16,195,1056,32.3,18.5,5.4,28.5,Own 30.6,2:30,1.71
7,Arizona Cardinals,16,194,1120,34.0,18.0,5.8,28.7,Own 29.5,2:35,1.49
8,Dallas Cowboys,16,194,1099,28.9,15.5,5.7,26.7,Own 31.1,2:41,1.61
9,Tennessee Titans,16,193,1050,26.4,13.5,5.4,26.5,Own 32.4,2:35,1.37
10,Jacksonville Jaguars,16,193,1051,32.1,8.3,5.4,26.7,Own 34.3,2:38,1.77
11,Washington Redskins,16,192,1058,29.7,13.0,5.5,27.5,Own 30.0,2:39,1.72
12,Baltimore Ravens,16,191,1091,27.2,18.3,5.7,24.5,Own 30.0,2:34,1.28
13,Minnesota Vikings,16,190,979,27.9,14.2,5.2,24.3,Own 31.6,2:25,1.43
14,Tampa Bay Buccaneers,16,190,1012,27.4,11.6,5.3,24.8,Own 29.6,2:38,1.45
15,Atlanta Falcons,16,190,1048,31.6,13.2,5.5,27.5,Own 30.3,2:34,1.71
16,Carolina Panthers,16,190,998,35.8,12.6,5.3,26.1,Own 33.0,2:36,1.96
17,Green Bay Packers,16,189,1078,27.0,22.2,5.7,26.8,Own 28.6,2:37,1.47
18,Denver Broncos,16,186,1062,36.0,8.1,5.7,30.9,Own 31.8,2:49,2.01
19,Seattle Seahawks,16,185,1045,38.9,8.1,5.6,31.9,Own 31.6,2:35,2.34
20,New England Patriots,16,184,1056,34.8,13.0,5.7,30.6,Own 30.0,2:38,2.00
21,Oakland Raiders,16,183,1028,28.4,11.5,5.6,27.0,Own 29.3,2:27,1.55
22,Pittsburgh Steelers,16,183,990,36.1,10.9,5.4,28.1,Own 33.2,2:46,2.00
23,Kansas City Chiefs,16,183,1092,38.3,11.5,6.0,33.8,Own 30.6,2:48,2.09
24,New Orleans Saints,16,182,1051,26.4,20.3,5.8,27.6,Own 28.5,2:41,1.30
25,Detroit Lions,16,179,979,24.6,15.6,5.5,24.2,Own 30.5,2:38,1.30
26,Cincinnati Bengals,16,179,1050,41.9,11.2,5.9,32.0,Own 34.3,2:45,2.31
27,San Diego Chargers,16,178,1046,39.3,13.5,5.9,31.3,Own 29.9,2:50,2.28
28,Cleveland Browns,16,178,967,25.8,16.9,5.4,25.4,Own 30.5,2:31,1.20
29,Buffalo Bills,16,177,965,29.9,14.1,5.5,23.1,Own 33.8,2:37,1.44
30,Houston Texans,16,173,988,28.9,12.7,5.7,23.3,Own 32.6,2:39,1.42
31,New York Jets,16,168,935,25.6,16.7,5.6,23.3,Own 31.5,2:33,1.27
32,Indianapolis Colts,16,165,1026,43.6,9.1,6.2,35.1,Own 31.2,2:57,2.50
,League Total,,5996,32994,31.0,13.8,5.5,26.9,Own 31.2,2:34,1.65
