Rk,Tm,G,#Dr,Plays,Sc%,TO%,Plays,Yds,Start,Time,Pts
1,New England Patriots,16,219,1319,43.8,5.5,6.0,34.4,Own 30.3,2:44,2.45
2,Houston Texans,16,215,1249,31.2,11.2,5.8,26.1,Own 29.5,2:39,1.44
3,Pittsburgh Steelers,16,213,1244,39.4,10.8,5.8,33.2,Own 27.7,2:44,2.16
4,Green Bay Packers,16,209,1252,44.0,9.1,6.0,33.9,Own 29.3,2:49,2.53
5,Oakland Raiders,16,209,1148,36.8,8.1,5.5,29.4,Own 31.4,2:33,2.02
6,New York Giants,16,206,1101,27.2,13.1,5.3,27.5,Own 27.5,2:19,1.46
7,Seattle Seahawks,16,205,1176,38.0,9.8,5.7,31.2,Own 29.2,2:39,1.94
8,Atlanta Falcons,16,204,1205,52.9,5.9,5.9,38.7,Own 29.5,2:50,2.98
9,Arizona Cardinals,16,197,1111,35.0,14.2,5.6,29.5,Own 29.7,2:31,2.03
10,Denver Broncos,16,197,1046,30.5,11.2,5.3,26.2,Own 28.7,2:21,1.54
11,San Francisco 49ers,16,197,1017,27.4,10.7,5.2,25.0,Own 27.2,2:11,1.55
12,Miami Dolphins,16,197,990,30.5,12.2,5.0,28.4,Own 29.4,2:31,1.77
13,Los Angeles Rams,16,193,979,21.8,14.5,5.1,21.7,Own 27.4,2:26,1.13
14,Carolina Panthers,16,193,1083,34.7,14.0,5.6,28.5,Own 30.4,2:33,1.81
15,Baltimore Ravens,16,192,1110,35.4,10.4,5.8,29.0,Own 28.8,2:34,1.69
16,Jacksonville Jaguars,16,190,1083,31.1,13.7,5.7,28.2,Own 26.2,2:27,1.61
17,Kansas City Chiefs,16,186,1071,36.6,9.7,5.8,30.6,Own 29.9,2:46,1.87
18,New York Jets,16,184,1031,29.3,17.9,5.6,28.7,Own 27.1,2:40,1.47
19,Tennessee Titans,16,184,1024,36.4,9.8,5.6,31.0,Own 28.2,2:39,2.07
20,Tampa Bay Buccaneers,16,183,1087,32.2,14.8,5.9,30.2,Own 28.3,2:42,1.78
21,Dallas Cowboys,16,182,1105,45.1,8.8,6.1,35.4,Own 28.8,2:58,2.49
22,San Diego Chargers,16,181,1044,38.1,18.2,5.8,31.4,Own 28.1,2:42,2.09
23,New Orleans Saints,16,181,1134,45.9,12.7,6.3,37.8,Own 27.4,2:44,2.59
24,Cleveland Browns,16,180,1005,27.2,13.3,5.6,27.4,Own 23.4,2:31,1.44
25,Indianapolis Colts,16,179,1068,40.2,12.3,6.0,32.5,Own 27.9,2:45,2.21
26,Philadelphia Eagles,16,178,1119,37.6,11.2,6.3,30.1,Own 30.3,2:55,1.85
27,Buffalo Bills,16,177,1034,36.7,6.8,5.8,31.8,Own 28.9,2:42,2.14
28,Cincinnati Bengals,16,176,1076,35.8,8.5,6.1,32.4,Own 26.8,2:45,1.87
29,Washington Redskins,16,175,1048,43.4,11.4,6.0,36.9,Own 27.4,2:45,2.26
30,Minnesota Vikings,16,173,1032,32.4,7.5,6.0,29.1,Own 30.8,2:50,1.64
31,Chicago Bears,16,171,985,27.5,17.0,5.8,33.2,Own 25.1,2:38,1.50
32,Detroit Lions,16,165,1063,40.0,8.5,6.4,34.3,Own 25.4,3:04,2.00
,League Total,,6091,35039,35.8,11.3,5.8,30.7,Own 28.3,2:39,1.92
