Rk,Tm,G,#Dr,Plays,Sc%,TO%,Plays,Yds,Start,Time,Pts
1,Chicago Bears,16,201,1078,34.8,15.9,5.4,25.8,Own 32.6,2:28,1.80
2,Green Bay Packers,16,199,1120,26.6,16.1,5.6,27.3,Own 30.4,2:28,1.34
3,Minnesota Vikings,16,197,1050,23.9,15.7,5.3,25.1,Own 29.9,2:35,1.24
4,Carolina Panthers,16,197,1021,25.4,12.7,5.2,25.0,Own 27.1,2:28,1.29
5,Seattle Seahawks,16,197,1076,29.9,17.3,5.5,25.3,Own 31.1,2:25,1.59
6,Baltimore Ravens,16,192,1047,31.3,11.5,5.5,26.2,Own 33.5,2:44,1.60
7,Denver Broncos,16,192,1002,30.7,14.6,5.2,25.7,Own 27.0,2:32,1.59
8,New Orleans Saints,16,190,1101,36.8,12.1,5.8,33.0,Own 29.2,2:41,2.09
9,Miami Dolphins,16,190,1070,25.8,12.6,5.6,26.0,Own 31.5,2:32,1.26
10,New York Giants,16,190,1031,32.6,13.7,5.4,27.5,Own 32.2,2:31,1.80
11,San Diego Chargers,16,190,1045,43.2,6.8,5.5,30.6,Own 32.1,2:40,2.47
12,Tampa Bay Buccaneers,16,190,994,19.5,16.3,5.2,22.7,Own 29.0,2:24,1.01
13,New England Patriots,16,189,1081,34.4,13.8,5.7,28.5,Own 32.6,2:40,1.98
14,San Francisco 49ers,16,189,953,30.2,15.3,5.0,25.7,Own 30.0,2:27,1.50
15,Cincinnati Bengals,16,188,1025,35.6,12.2,5.5,29.0,Own 31.0,2:26,1.96
16,Jacksonville Jaguars,16,188,1021,35.1,11.2,5.4,28.8,Own 33.2,2:45,1.90
17,Cleveland Browns,16,188,968,22.9,21.3,5.1,22.5,Own 31.3,2:31,1.15
18,Pittsburgh Steelers,16,188,1068,31.4,18.1,5.7,30.3,Own 28.0,2:41,1.77
19,Tennessee Titans,16,187,973,26.7,13.9,5.2,25.6,Own 30.0,2:21,1.40
20,Buffalo Bills,16,186,923,27.4,15.1,5.0,22.8,Own 31.2,2:25,1.42
21,Detroit Lions,16,185,996,31.9,21.1,5.4,26.7,Own 29.7,2:24,1.61
22,Atlanta Falcons,16,184,1032,28.8,10.9,5.6,28.8,Own 30.3,2:37,1.52
23,Philadelphia Eagles,16,183,1011,33.9,11.5,5.5,33.2,Own 30.0,2:32,1.98
24,St. Louis Rams,16,183,1102,37.7,8.7,6.0,31.4,Own 28.1,2:44,1.94
25,Kansas City Chiefs,16,182,1035,32.4,12.6,5.7,28.0,Own 31.8,2:41,1.74
26,Oakland Raiders,16,180,974,16.7,25.0,5.4,21.6,Own 30.9,2:30,0.77
27,Washington Redskins,16,179,1009,30.2,9.5,5.6,29.2,Own 29.1,2:42,1.62
28,Arizona Cardinals,16,177,1036,32.2,15.3,5.9,28.1,Own 29.8,2:43,1.62
29,Dallas Cowboys,16,176,1043,38.1,15.3,5.9,32.6,Own 31.7,2:49,2.21
30,New York Jets,16,176,1041,31.8,13.6,5.9,27.7,Own 30.8,2:49,1.68
31,Houston Texans,16,169,980,27.2,13.6,5.8,26.4,Own 28.0,2:47,1.46
32,Indianapolis Colts,16,156,1040,47.4,10.9,6.7,38.9,Own 28.8,3:02,2.65
,League Total,,5958,32946,30.9,14.2,5.5,27.6,Own 30.4,2:35,1.65
