Tm,TFGA_Defense,TFGM_Defense,FG%_Defense,XPA_Defense,XPM_Defense,XP%_Defense,Pnt_Defense,PntYds_Defense,PntBlck_Defense,Y/Pnt_Defense
Buffalo Bills,20.0,16.0,80.0,15.0,14.0,93.3,44.0,1729.0,0.0,39.3
Denver Broncos,24.0,17.0,70.8,25.0,25.0,100.0,42.0,1655.0,0.0,39.4
New Orleans Saints,12.0,9.0,75.0,19.0,19.0,100.0,51.0,2096.0,0.0,41.1
Cincinnati Bengals,12.0,10.0,83.3,20.0,19.0,95.0,37.0,1484.0,0.0,40.1
Baltimore Colts,19.0,14.0,73.7,28.0,26.0,92.9,41.0,1636.0,0.0,39.9
Miami Dolphins,15.0,9.0,60.0,15.0,14.0,93.3,40.0,1604.0,0.0,40.1
Seattle Seahawks,15.0,6.0,40.0,18.0,17.0,94.4,50.0,2030.0,0.0,40.6
Tampa Bay Buccaneers,17.0,12.0,70.6,21.0,16.0,76.2,42.0,1823.0,0.0,43.4
Philadelphia Eagles,22.0,20.0,90.9,19.0,19.0,100.0,38.0,1398.0,0.0,36.8
Houston Oilers,18.0,11.0,61.1,30.0,30.0,100.0,38.0,1634.0,0.0,43.0
New England Patriots,15.0,10.0,66.7,18.0,17.0,94.4,43.0,1707.0,0.0,39.7
Atlanta Falcons,12.0,6.0,50.0,26.0,25.0,96.2,38.0,1585.0,0.0,41.7
San Diego Chargers,19.0,16.0,84.2,25.0,23.0,92.0,27.0,1212.0,0.0,44.9
Kansas City Chiefs,14.0,10.0,71.4,22.0,20.0,90.9,37.0,1469.0,0.0,39.7
Dallas Cowboys,15.0,9.0,60.0,17.0,16.0,94.1,49.0,2082.0,0.0,42.5
Cleveland Browns,11.0,7.0,63.6,23.0,21.0,91.3,40.0,1552.0,0.0,38.8
Pittsburgh Steelers,14.0,9.0,64.3,17.0,17.0,100.0,53.0,2019.0,0.0,38.1
St. Louis Cardinals,18.0,8.0,44.4,21.0,20.0,95.2,51.0,2101.0,0.0,41.2
New York Jets,15.0,9.0,60.0,20.0,19.0,95.0,42.0,1768.0,0.0,42.1
Detroit Lions,21.0,12.0,57.1,20.0,20.0,100.0,46.0,1831.0,0.0,39.8
Los Angeles Rams,19.0,14.0,73.7,30.0,28.0,93.3,42.0,1600.0,0.0,38.1
San Francisco 49ers,19.0,13.0,68.4,24.0,23.0,95.8,50.0,2135.0,0.0,42.7
Green Bay Packers,18.0,12.0,66.7,19.0,17.0,89.5,46.0,1923.0,0.0,41.8
New York Giants,13.0,12.0,92.3,18.0,16.0,88.9,59.0,2419.0,0.0,41.0
Washington Redskins,9.0,6.0,66.7,16.0,14.0,87.5,56.0,2246.0,0.0,40.1
Chicago Bears,17.0,12.0,70.6,20.0,18.0,90.0,49.0,2038.0,0.0,41.6
Minnesota Vikings,19.0,11.0,57.9,24.0,21.0,87.5,50.0,2095.0,0.0,41.9
Los Angeles Raiders,14.0,11.0,78.6,24.0,23.0,95.8,49.0,1877.0,0.0,38.3
Avg Team,16.3,11.1,68.2,21.0,19.9,94.9,44.6,1824.2,0.3,40.9
