Tm,TFGA_Defense,TFGM_Defense,FG%_Defense,XPA_Defense,XPM_Defense,XP%_Defense,Pnt_Defense,PntYds_Defense,PntBlck_Defense,Y/Pnt_Defense
New Orleans Saints,39.0,31.0,79.5,43.0,43.0,100.0,76.0,3466.0,0.0,45.6
New York Jets,35.0,30.0,85.7,37.0,37.0,100.0,62.0,2790.0,0.0,45.0
Green Bay Packers,34.0,29.0,85.3,35.0,33.0,94.3,85.0,3595.0,0.0,42.3
Indianapolis Colts,27.0,19.0,70.4,24.0,24.0,100.0,67.0,2794.0,0.0,41.7
Cleveland Browns,35.0,28.0,80.0,31.0,31.0,100.0,72.0,3060.0,0.0,42.5
Buffalo Bills,25.0,19.0,76.0,44.0,44.0,100.0,62.0,2492.0,0.0,40.2
Houston Texans,32.0,28.0,87.5,47.0,47.0,100.0,63.0,2526.0,0.0,40.1
Detroit Lions,30.0,24.0,80.0,37.0,37.0,100.0,72.0,2902.0,0.0,40.3
Arizona Cardinals,24.0,21.0,87.5,45.0,44.0,97.8,85.0,3748.0,0.0,44.1
Tennessee Titans,27.0,21.0,77.8,49.0,48.0,98.0,85.0,3748.0,0.0,44.1
St. Louis Rams,33.0,26.0,78.8,49.0,49.0,100.0,68.0,2720.0,0.0,40.0
Cincinnati Bengals,28.0,25.0,89.3,37.0,37.0,100.0,50.0,2105.0,0.0,42.1
Atlanta Falcons,30.0,25.0,83.3,38.0,38.0,100.0,79.0,3405.0,0.0,43.1
Oakland Raiders,38.0,35.0,92.1,37.0,34.0,91.9,76.0,3154.0,0.0,41.5
Pittsburgh Steelers,30.0,24.0,80.0,25.0,24.0,96.0,80.0,3464.0,0.0,43.3
Kansas City Chiefs,26.0,20.0,76.9,33.0,33.0,100.0,69.0,3153.0,0.0,45.7
Baltimore Ravens,31.0,29.0,93.5,29.0,28.0,96.6,89.0,3604.0,0.0,40.5
San Diego Chargers,29.0,20.0,69.0,35.0,34.0,97.1,78.0,3276.0,0.0,42.0
New England Patriots,30.0,24.0,80.0,34.0,34.0,100.0,81.0,3540.0,0.0,43.7
Dallas Cowboys,27.0,21.0,77.8,35.0,35.0,100.0,95.0,3895.0,0.0,41.0
Minnesota Vikings,33.0,28.0,84.8,34.0,34.0,100.0,72.0,3010.0,0.0,41.8
Tampa Bay Buccaneers,33.0,26.0,78.8,27.0,26.0,96.3,80.0,3512.0,0.0,43.9
Denver Broncos,18.0,14.0,77.8,30.0,30.0,100.0,81.0,3637.0,0.0,44.9
Washington Redskins,31.0,22.0,71.0,29.0,29.0,100.0,88.0,3634.0,0.0,41.3
Carolina Panthers,27.0,23.0,85.2,22.0,22.0,100.0,79.0,3563.0,0.0,45.1
Jacksonville Jaguars,27.0,20.0,74.1,30.0,29.0,96.7,88.0,3766.0,0.0,42.8
Miami Dolphins,24.0,24.0,100.0,32.0,31.0,96.9,92.0,3956.0,0.0,43.0
Chicago Bears,29.0,21.0,72.4,20.0,19.0,95.0,97.0,3987.0,0.0,41.1
San Francisco 49ers,36.0,29.0,80.6,44.0,43.0,97.7,71.0,2847.0,0.0,40.1
New York Giants,30.0,21.0,70.0,35.0,35.0,100.0,88.0,3652.0,0.0,41.5
Philadelphia Eagles,27.0,22.0,81.5,46.0,46.0,100.0,104.0,4358.0,0.0,41.9
Seattle Seahawks,42.0,34.0,81.0,21.0,21.0,100.0,77.0,3088.0,0.0,40.1
Avg Team,30.2,24.5,81.0,34.8,34.3,98.7,78.5,3337.9,0.3,42.5
