Tm,TFGA_Defense,TFGM_Defense,FG%_Defense,XPA_Defense,XPM_Defense,XP%_Defense,Pnt_Defense,PntYds_Defense,PntBlck_Defense,Y/Pnt_Defense
Miami Dolphins,18.0,11.0,61.1,40.0,40.0,100.0,68.0,2836.0,0.0,41.7
Los Angeles Rams,29.0,23.0,79.3,38.0,38.0,100.0,74.0,3108.0,0.0,42.0
Tampa Bay Buccaneers,26.0,23.0,88.5,38.0,38.0,100.0,68.0,2904.0,0.0,42.7
Chicago Bears,41.0,30.0,73.2,26.0,25.0,96.2,72.0,2808.0,0.0,39.0
Detroit Lions,28.0,21.0,75.0,38.0,37.0,97.4,66.0,2963.0,0.0,44.9
Buffalo Bills,30.0,26.0,86.7,36.0,34.0,94.4,69.0,2919.0,0.0,42.3
New York Jets,27.0,21.0,77.8,32.0,31.0,96.9,62.0,2672.0,0.0,43.1
Houston Oilers,31.0,30.0,96.8,35.0,34.0,97.1,82.0,3444.0,0.0,42.0
Indianapolis Colts,34.0,27.0,79.4,29.0,29.0,100.0,72.0,3038.0,0.0,42.2
Los Angeles Raiders,29.0,21.0,72.4,35.0,34.0,97.1,84.0,3410.0,0.0,40.6
San Francisco 49ers,21.0,15.0,71.4,23.0,23.0,100.0,77.0,3272.0,0.0,42.5
Atlanta Falcons,33.0,26.0,78.8,40.0,39.0,97.5,62.0,2660.0,0.0,42.9
New Orleans Saints,37.0,30.0,81.1,41.0,41.0,100.0,60.0,2556.0,0.0,42.6
Cincinnati Bengals,35.0,31.0,88.6,41.0,41.0,100.0,87.0,3532.0,0.0,40.6
New England Patriots,25.0,20.0,80.0,33.0,32.0,97.0,83.0,3337.0,0.0,40.2
Cleveland Browns,26.0,17.0,65.4,19.0,19.0,100.0,97.0,3880.0,0.0,40.0
Seattle Seahawks,33.0,27.0,81.8,28.0,28.0,100.0,78.0,3190.0,0.0,40.9
Washington Redskins,28.0,17.0,60.7,47.0,47.0,100.0,87.0,3506.0,0.0,40.3
Denver Broncos,37.0,31.0,83.8,35.0,35.0,100.0,76.0,3306.0,0.0,43.5
San Diego Chargers,27.0,22.0,81.5,30.0,30.0,100.0,76.0,3291.0,0.0,43.3
Kansas City Chiefs,23.0,18.0,78.3,30.0,30.0,100.0,85.0,3825.0,0.0,45.0
New York Giants,34.0,29.0,85.3,30.0,30.0,100.0,69.0,2794.0,0.0,40.5
Minnesota Vikings,30.0,19.0,63.3,31.0,31.0,100.0,86.0,3483.0,0.0,40.5
Dallas Cowboys,25.0,20.0,80.0,24.0,24.0,100.0,84.0,3637.0,0.0,43.3
Arizona Cardinals,24.0,15.0,62.5,29.0,28.0,96.6,90.0,3681.0,0.0,40.9
Philadelphia Eagles,26.0,25.0,96.2,28.0,27.0,96.4,90.0,3573.0,0.0,39.7
Green Bay Packers,25.0,21.0,84.0,24.0,24.0,100.0,88.0,3494.0,0.0,39.7
Pittsburgh Steelers,29.0,24.0,82.8,22.0,22.0,100.0,97.0,4093.0,0.0,42.2
Avg Team,29.0,22.9,78.9,32.2,31.8,98.8,78.2,3264.4,0.2,41.8
