Tm,TFGA_Defense,TFGM_Defense,FG%_Defense,XPA_Defense,XPM_Defense,XP%_Defense,Pnt_Defense,PntYds_Defense,PntBlck_Defense,Y/Pnt_Defense
Arizona Cardinals,34.0,27.0,79.4,51.0,50.0,98.0,59.0,2425.0,0.0,41.1
Dallas Cowboys,31.0,26.0,83.9,37.0,37.0,100.0,70.0,2835.0,0.0,40.5
St. Louis Rams,31.0,26.0,83.9,50.0,49.0,98.0,67.0,2827.0,0.0,42.2
Minnesota Vikings,29.0,25.0,86.2,38.0,38.0,100.0,65.0,2594.0,0.0,39.9
Carolina Panthers,30.0,20.0,66.7,31.0,30.0,96.8,58.0,2308.0,0.0,39.8
Seattle Seahawks,33.0,28.0,84.8,45.0,45.0,100.0,62.0,2573.0,0.0,41.5
Cincinnati Bengals,36.0,26.0,72.2,40.0,39.0,97.5,80.0,3336.0,0.0,41.7
San Francisco 49ers,31.0,26.0,83.9,46.0,46.0,100.0,65.0,2776.0,0.0,42.7
Washington Redskins,34.0,30.0,88.2,23.0,23.0,100.0,79.0,3389.0,0.0,42.9
Indianapolis Colts,28.0,21.0,75.0,33.0,33.0,100.0,82.0,3501.0,0.0,42.7
Atlanta Falcons,31.0,29.0,93.5,38.0,38.0,100.0,70.0,2933.0,0.0,41.9
New Orleans Saints,24.0,18.0,75.0,31.0,31.0,100.0,74.0,3027.0,0.0,40.9
Cleveland Browns,34.0,31.0,91.2,44.0,44.0,100.0,68.0,2870.0,0.0,42.2
New York Giants,24.0,13.0,54.2,27.0,25.0,92.6,86.0,3569.0,0.0,41.5
Chicago Bears,26.0,18.0,69.2,41.0,41.0,100.0,91.0,3631.0,0.0,39.9
San Diego Chargers,34.0,30.0,88.2,46.0,46.0,100.0,91.0,3776.0,0.0,41.5
Kansas City Chiefs,30.0,21.0,70.0,39.0,39.0,100.0,78.0,3362.0,0.0,43.1
Tennessee Titans,22.0,17.0,77.3,20.0,20.0,100.0,105.0,4484.0,0.0,42.7
New England Patriots,32.0,24.0,75.0,34.0,34.0,100.0,87.0,3515.0,0.0,40.4
Green Bay Packers,25.0,21.0,84.0,36.0,36.0,100.0,94.0,3892.0,0.0,41.4
Denver Broncos,23.0,19.0,82.6,43.0,42.0,97.7,73.0,3197.0,0.0,43.8
New York Jets,34.0,29.0,85.3,32.0,32.0,100.0,88.0,3520.0,0.0,40.0
Jacksonville Jaguars,24.0,17.0,70.8,36.0,36.0,100.0,90.0,3825.0,0.0,42.5
Pittsburgh Steelers,34.0,29.0,85.3,24.0,24.0,100.0,84.0,3637.0,0.0,43.3
Detroit Lions,31.0,26.0,83.9,31.0,31.0,100.0,84.0,3503.0,0.0,41.7
Baltimore Ravens,19.0,14.0,73.7,18.0,15.0,83.3,87.0,3872.0,0.0,44.5
Philadelphia Eagles,33.0,28.0,84.8,21.0,21.0,100.0,87.0,3515.0,0.0,40.4
Oakland Raiders,25.0,19.0,76.0,30.0,30.0,100.0,79.0,3286.0,0.0,41.6
Miami Dolphins,30.0,22.0,73.3,20.0,20.0,100.0,87.0,3532.0,0.0,40.6
Tampa Bay Buccaneers,32.0,22.0,68.8,25.0,25.0,100.0,89.0,3560.0,0.0,40.0
Buffalo Bills,33.0,29.0,87.9,33.0,33.0,100.0,92.0,3864.0,0.0,42.0
Avg Team,29.6,23.6,79.7,34.3,34.0,99.1,79.7,3338.8,0.5,41.9
