Tm,TFGA_Defense,TFGM_Defense,FG%_Defense,XPA_Defense,XPM_Defense,XP%_Defense,Pnt_Defense,PntYds_Defense,PntBlck_Defense,Y/Pnt_Defense
Detroit Lions,34.0,31.0,91.2,55.0,55.0,100.0,66.0,2878.0,0.0,43.6
Washington Redskins,36.0,31.0,86.1,31.0,31.0,100.0,70.0,2926.0,0.0,41.8
St. Louis Rams,22.0,19.0,86.4,52.0,51.0,98.1,75.0,3322.0,0.0,44.3
Jacksonville Jaguars,28.0,24.0,85.7,38.0,38.0,100.0,62.0,2784.0,0.0,44.9
New England Patriots,20.0,14.0,70.0,34.0,33.0,97.1,79.0,3271.0,0.0,41.4
Atlanta Falcons,28.0,20.0,71.4,38.0,37.0,97.4,62.0,2635.0,0.0,42.5
Indianapolis Colts,36.0,30.0,83.3,27.0,27.0,100.0,65.0,2886.0,0.0,44.4
Carolina Panthers,27.0,19.0,70.4,33.0,33.0,100.0,74.0,3315.0,0.0,44.8
Tampa Bay Buccaneers,32.0,26.0,81.3,46.0,44.0,95.7,72.0,3082.0,0.0,42.8
Chicago Bears,33.0,25.0,75.8,40.0,38.0,95.0,71.0,3025.0,0.0,42.6
Tennessee Titans,27.0,22.0,81.5,47.0,46.0,97.9,76.0,3367.0,0.0,44.3
San Diego Chargers,29.0,25.0,86.2,33.0,33.0,100.0,63.0,2709.0,0.0,43.0
New York Giants,21.0,18.0,85.7,51.0,47.0,92.2,72.0,3168.0,0.0,44.0
Miami Dolphins,39.0,33.0,84.6,37.0,35.0,94.6,67.0,2955.0,0.0,44.1
Oakland Raiders,40.0,30.0,75.0,41.0,41.0,100.0,77.0,3296.0,0.0,42.8
Cleveland Browns,36.0,30.0,83.3,41.0,39.0,95.1,77.0,3319.0,0.0,43.1
Seattle Seahawks,31.0,22.0,71.0,44.0,44.0,100.0,82.0,3870.0,0.0,47.2
Cincinnati Bengals,29.0,23.0,79.3,30.0,30.0,100.0,83.0,3644.0,0.0,43.9
Houston Texans,23.0,20.0,87.0,39.0,39.0,100.0,76.0,3557.0,0.0,46.8
Pittsburgh Steelers,29.0,22.0,75.9,32.0,32.0,100.0,86.0,3681.0,0.0,42.8
Dallas Cowboys,26.0,18.0,69.2,28.0,28.0,100.0,92.0,4085.0,0.0,44.4
Denver Broncos,31.0,29.0,93.5,34.0,33.0,97.1,76.0,3519.0,0.0,46.3
Buffalo Bills,28.0,22.0,78.6,32.0,32.0,100.0,78.0,3214.0,0.0,41.2
New York Jets,23.0,19.0,82.6,24.0,23.0,95.8,99.0,4277.0,0.0,43.2
New Orleans Saints,32.0,27.0,84.4,36.0,36.0,100.0,71.0,3053.0,0.0,43.0
Baltimore Ravens,27.0,24.0,88.9,27.0,27.0,100.0,79.0,3429.0,0.0,43.4
Arizona Cardinals,25.0,19.0,76.0,38.0,38.0,100.0,84.0,3772.0,0.0,44.9
Green Bay Packers,17.0,13.0,76.5,34.0,34.0,100.0,74.0,3330.0,0.0,45.0
Kansas City Chiefs,37.0,29.0,78.4,47.0,47.0,100.0,79.0,3484.0,0.0,44.1
Minnesota Vikings,26.0,22.0,84.6,31.0,30.0,96.8,89.0,3978.0,0.0,44.7
Philadelphia Eagles,24.0,21.0,87.5,38.0,38.0,100.0,80.0,3600.0,0.0,45.0
San Francisco 49ers,34.0,29.0,85.3,27.0,26.0,96.3,95.0,4294.0,0.0,45.2
Avg Team,29.1,23.6,81.3,37.0,36.4,98.3,76.6,3374.8,0.2,44.1
