Tm,TFGA_Defense,TFGM_Defense,FG%_Defense,XPA_Defense,XPM_Defense,XP%_Defense,Pnt_Defense,PntYds_Defense,PntBlck_Defense,Y/Pnt_Defense
Atlanta Falcons,30.0,16.0,53.3,48.0,46.0,95.8,60.0,2496.0,0.0,41.6
New Orleans Saints,33.0,24.0,72.7,41.0,41.0,100.0,84.0,3494.0,0.0,41.6
Houston Oilers,30.0,22.0,73.3,53.0,51.0,96.2,64.0,2701.0,0.0,42.2
Tampa Bay Buccaneers,27.0,18.0,66.7,46.0,44.0,95.7,68.0,2788.0,0.0,41.0
Detroit Lions,29.0,24.0,82.8,48.0,48.0,100.0,73.0,2920.0,0.0,40.0
Cincinnati Bengals,27.0,22.0,81.5,39.0,37.0,94.9,67.0,2774.0,0.0,41.4
Cleveland Browns,33.0,29.0,87.9,30.0,30.0,100.0,77.0,3126.0,0.0,40.6
Minnesota Vikings,28.0,24.0,85.7,59.0,58.0,98.3,68.0,2774.0,0.0,40.8
New York Jets,37.0,26.0,70.3,41.0,40.0,97.6,67.0,2854.0,0.0,42.6
Miami Dolphins,17.0,9.0,52.9,38.0,37.0,97.4,83.0,3478.0,0.0,41.9
Buffalo Bills,28.0,20.0,71.4,56.0,56.0,100.0,72.0,2815.0,0.0,39.1
San Diego Chargers,25.0,19.0,76.0,51.0,50.0,98.0,73.0,2891.0,0.0,39.6
Los Angeles Rams,31.0,22.0,71.0,36.0,32.0,88.9,71.0,2946.0,0.0,41.5
Pittsburgh Steelers,28.0,22.0,78.6,35.0,34.0,97.1,90.0,3816.0,0.0,42.4
Indianapolis Colts,23.0,21.0,91.3,50.0,47.0,94.0,80.0,3360.0,0.0,42.0
Chicago Bears,22.0,16.0,72.7,29.0,26.0,89.7,100.0,4160.0,0.0,41.6
San Francisco 49ers,25.0,19.0,76.0,24.0,24.0,100.0,80.0,3240.0,0.0,40.5
St. Louis Cardinals,38.0,25.0,65.8,39.0,36.0,92.3,81.0,3159.0,0.0,39.0
Green Bay Packers,31.0,24.0,77.4,34.0,33.0,97.1,89.0,3640.0,0.0,40.9
Washington Redskins,20.0,13.0,65.0,39.0,37.0,94.9,78.0,3112.0,0.0,39.9
Philadelphia Eagles,35.0,22.0,62.9,36.0,36.0,100.0,89.0,3498.0,0.0,39.3
Los Angeles Raiders,21.0,17.0,81.0,33.0,29.0,87.9,117.0,5066.0,0.0,43.3
New York Giants,26.0,17.0,65.4,35.0,34.0,97.1,92.0,3680.0,0.0,40.0
New England Patriots,31.0,21.0,67.7,42.0,37.0,88.1,83.0,3345.0,0.0,40.3
Denver Broncos,33.0,19.0,57.6,26.0,26.0,100.0,81.0,3362.0,0.0,41.5
Kansas City Chiefs,27.0,19.0,70.4,38.0,37.0,97.4,91.0,3640.0,0.0,40.0
Seattle Seahawks,22.0,14.0,63.6,34.0,34.0,100.0,83.0,3345.0,0.0,40.3
Dallas Cowboys,28.0,19.0,67.9,36.0,35.0,97.2,99.0,4237.0,0.0,42.8
Avg Team,28.0,20.1,71.7,39.5,38.4,97.3,80.7,3336.4,0.6,41.3
